date,level,isin
2019-05-07,1000.00,DE000SL0JKC0
2019-05-08,1002.72,DE000SL0JKC0
2019-05-09,1013.00,DE000SL0JKC0
2019-05-10,1018.25,DE000SL0JKC0
2019-05-13,993.15,DE000SL0JKC0
2019-05-14,998.15,DE000SL0JKC0
2019-05-15,1001.12,DE000SL0JKC0
2019-05-16,1012.27,DE000SL0JKC0
2019-05-17,1004.88,DE000SL0JKC0
2019-05-20,1007.41,DE000SL0JKC0
2019-05-21,1018.31,DE000SL0JKC0
2019-05-22,1012.77,DE000SL0JKC0
2019-05-23,991.61,DE000SL0JKC0
2019-05-24,993.89,DE000SL0JKC0
2019-05-27,991.50,DE000SL0JKC0
2019-05-28,979.91,DE000SL0JKC0
2019-05-29,965.30,DE000SL0JKC0
2019-05-30,969.43,DE000SL0JKC0
2019-05-31,964.81,DE000SL0JKC0
2019-06-03,978.38,DE000SL0JKC0
2019-06-04,995.49,DE000SL0JKC0
2019-06-05,1007.50,DE000SL0JKC0
2019-06-06,1008.77,DE000SL0JKC0
2019-06-07,1024.89,DE000SL0JKC0
2019-06-10,1019.37,DE000SL0JKC0
2019-06-11,1007.94,DE000SL0JKC0
2019-06-12,1011.70,DE000SL0JKC0
2019-06-13,1017.82,DE000SL0JKC0
2019-06-14,1010.78,DE000SL0JKC0
2019-06-17,1017.16,DE000SL0JKC0
2019-06-18,1026.11,DE000SL0JKC0
2019-06-19,1030.16,DE000SL0JKC0
2019-06-20,1045.55,DE000SL0JKC0
2019-06-21,1041.01,DE000SL0JKC0
2019-06-24,1050.04,DE000SL0JKC0
2019-06-25,1050.78,DE000SL0JKC0
2019-06-26,1047.48,DE000SL0JKC0
2019-06-27,1042.26,DE000SL0JKC0
2019-06-28,1052.55,DE000SL0JKC0
2019-07-01,1052.28,DE000SL0JKC0
2019-07-02,1054.82,DE000SL0JKC0
2019-07-03,1061.98,DE000SL0JKC0
2019-07-04,1062.81,DE000SL0JKC0
2019-07-05,1053.67,DE000SL0JKC0
2019-07-08,1045.40,DE000SL0JKC0
2019-07-09,1041.75,DE000SL0JKC0
2019-07-10,1048.27,DE000SL0JKC0
2019-07-11,1052.48,DE000SL0JKC0
2019-07-12,1064.67,DE000SL0JKC0
2019-07-15,1064.18,DE000SL0JKC0
2019-07-16,1065.30,DE000SL0JKC0
2019-07-17,1052.54,DE000SL0JKC0
2019-07-18,1047.42,DE000SL0JKC0
2019-07-19,1053.86,DE000SL0JKC0
2019-07-22,1056.17,DE000SL0JKC0
2019-07-23,1066.54,DE000SL0JKC0
2019-07-24,1083.44,DE000SL0JKC0
2019-07-25,1127.42,DE000SL0JKC0
2019-07-26,1128.77,DE000SL0JKC0
2019-07-29,1124.17,DE000SL0JKC0
2019-07-30,1109.15,DE000SL0JKC0
2019-07-31,1101.35,DE000SL0JKC0
2019-08-01,1102.72,DE000SL0JKC0
2019-08-02,1090.53,DE000SL0JKC0
2019-08-05,1077.57,DE000SL0JKC0
2019-08-06,1086.97,DE000SL0JKC0
2019-08-07,1096.96,DE000SL0JKC0
2019-08-08,1116.27,DE000SL0JKC0
2019-08-09,1104.71,DE000SL0JKC0
2019-08-12,1097.14,DE000SL0JKC0
2019-08-13,1099.83,DE000SL0JKC0
2019-08-14,1076.32,DE000SL0JKC0
2019-08-15,1074.91,DE000SL0JKC0
2019-08-16,1087.33,DE000SL0JKC0
2019-08-19,1097.65,DE000SL0JKC0
2019-08-20,1098.95,DE000SL0JKC0
2019-08-21,1111.36,DE000SL0JKC0
2019-08-22,1109.65,DE000SL0JKC0
2019-08-23,1091.27,DE000SL0JKC0
2019-08-26,1097.41,DE000SL0JKC0
2019-08-27,1096.92,DE000SL0JKC0
2019-08-28,1097.85,DE000SL0JKC0
2019-08-29,1115.67,DE000SL0JKC0
2019-08-30,1117.46,DE000SL0JKC0
2019-09-02,1120.08,DE000SL0JKC0
2019-09-03,1111.16,DE000SL0JKC0
2019-09-04,1133.34,DE000SL0JKC0
2019-09-05,1140.00,DE000SL0JKC0
2019-09-06,1146.34,DE000SL0JKC0
2019-09-09,1136.38,DE000SL0JKC0
2019-09-10,1136.40,DE000SL0JKC0
2019-09-11,1144.09,DE000SL0JKC0
2019-09-12,1149.14,DE000SL0JKC0
2019-09-13,1159.08,DE000SL0JKC0
2019-09-16,1164.19,DE000SL0JKC0
2019-09-17,1164.79,DE000SL0JKC0
2019-09-18,1163.52,DE000SL0JKC0
2019-09-19,1160.72,DE000SL0JKC0
2019-09-20,1145.20,DE000SL0JKC0
2019-09-23,1140.15,DE000SL0JKC0
2019-09-24,1137.41,DE000SL0JKC0
2019-09-25,1137.72,DE000SL0JKC0
2019-09-26,1142.88,DE000SL0JKC0
2019-09-27,1131.00,DE000SL0JKC0
2019-09-30,1133.82,DE000SL0JKC0
2019-10-01,1119.71,DE000SL0JKC0
2019-10-02,1100.28,DE000SL0JKC0
2019-10-03,1102.24,DE000SL0JKC0
2019-10-04,1108.73,DE000SL0JKC0
2019-10-07,1109.84,DE000SL0JKC0
2019-10-08,1099.51,DE000SL0JKC0
2019-10-09,1103.92,DE000SL0JKC0
2019-10-10,1105.52,DE000SL0JKC0
2019-10-11,1116.46,DE000SL0JKC0
2019-10-14,1115.76,DE000SL0JKC0
2019-10-15,1114.67,DE000SL0JKC0
2019-10-16,1114.24,DE000SL0JKC0
2019-10-17,1110.93,DE000SL0JKC0
2019-10-18,1096.78,DE000SL0JKC0
2019-10-21,1104.85,DE000SL0JKC0
2019-10-22,1106.53,DE000SL0JKC0
2019-10-23,1100.35,DE000SL0JKC0
2019-10-24,1113.98,DE000SL0JKC0
2019-10-25,1113.35,DE000SL0JKC0
2019-10-28,1120.03,DE000SL0JKC0
2019-10-29,1119.27,DE000SL0JKC0
2019-10-30,1127.93,DE000SL0JKC0
2019-10-31,1124.87,DE000SL0JKC0
