series,QQQ,SPMO,GDX,GLD,SLV,AIA,XLE,optimized,provided,benchmark
QQQ,1.0,0.8296558679117364,0.1692948401580375,0.07039144546955782,0.22096606613490133,0.593776824117361,0.28847972823006357,0.857793090644897,0.8257823348641934,0.9117140493421548
SPMO,0.8296558679117364,1.0,0.1419179221033945,0.011543439272802615,0.19303480216050883,0.4910133270250085,0.3333749885459311,0.8821761584963055,0.7460110884178864,0.8509438820836821
GDX,0.1692948401580375,0.1419179221033945,1.0,0.8396180424989345,0.7299043367061512,0.32869828565360626,0.19259550601851938,0.5109302537889412,0.5699773505809256,0.25158738697440153
GLD,0.07039144546955782,0.011543439272802615,0.8396180424989345,1.0,0.7605340679467951,0.3215962459091494,-0.024564761678206284,0.43470010386456326,0.41956598761176156,0.10013139786382488
SLV,0.22096606613490133,0.19303480216050883,0.7299043367061512,0.7605340679467951,1.0,0.39343369514866156,0.15675588099853643,0.5104457551106103,0.5917344940196474,0.2760689884313628
AIA,0.593776824117361,0.4910133270250085,0.32869828565360626,0.3215962459091494,0.39343369514866156,1.0,0.2702846363012282,0.6306047456380435,0.7447222123474455,0.5817743919649297
XLE,0.28847972823006357,0.3333749885459311,0.19259550601851938,-0.024564761678206284,0.15675588099853643,0.2702846363012282,1.0,0.37215325088357354,0.5663094100855777,0.5346886760739947
optimized,0.857793090644897,0.8821761584963055,0.5109302537889412,0.43470010386456326,0.5104457551106103,0.6306047456380435,0.37215325088357354,1.0,0.9258878987423521,0.87816253366474
provided,0.8257823348641934,0.7460110884178864,0.5699773505809256,0.41956598761176156,0.5917344940196474,0.7447222123474455,0.5663094100855777,0.9258878987423521,1.0,0.8804234658542002
benchmark,0.9117140493421548,0.8509438820836821,0.25158738697440153,0.10013139786382488,0.2760689884313628,0.5817743919649297,0.5346886760739947,0.87816253366474,0.8804234658542002,1.0
