portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2022-01-31,2022-09-30,2023-11-30,-0.2266595176216224,23
optimized,2,2020-02-29,2020-03-31,2020-05-31,-0.13347013830624765,4
optimized,3,2018-10-31,2018-12-31,2019-03-31,-0.11535974093484591,6
optimized,4,2020-09-30,2020-10-31,2020-12-31,-0.0748021098839895,4
optimized,5,2026-03-31,2026-03-31,2026-04-30,-0.07414767674238443,2
optimized,6,2026-06-30,2026-07-31,,-0.0690793421837842,2
optimized,7,2021-09-30,2021-09-30,2021-10-31,-0.04821796187853922,2
optimized,8,2016-10-31,2016-11-30,2017-01-31,-0.04721242688611982,4
optimized,9,2018-02-28,2018-03-31,2018-07-31,-0.04474201983771753,6
optimized,10,2019-05-31,2019-05-31,2019-06-30,-0.03514013232496904,2
optimized,11,2025-02-28,2025-03-31,2025-05-31,-0.032512505528480506,4
optimized,12,2024-04-30,2024-04-30,2024-05-31,-0.03069285349819717,2
optimized,13,2021-01-31,2021-02-28,2021-04-30,-0.02909783059691462,4
optimized,14,2024-12-31,2024-12-31,2025-01-31,-0.013005121636040173,2
optimized,15,2021-11-30,2021-11-30,2021-12-31,-0.009947018816325537,2
optimized,16,2017-06-30,2017-06-30,2017-07-31,-0.007714439773624071,2
optimized,17,2019-09-30,2019-09-30,2019-10-31,-0.005468184890498384,2
optimized,18,2017-09-30,2017-09-30,2017-10-31,-0.0036445045887435468,2
optimized,19,2017-03-31,2017-03-31,2017-04-30,-0.003551046198000174,2
provided,1,2022-04-30,2022-09-30,2023-07-31,-0.24622290053965845,16
provided,2,2020-01-31,2020-03-31,2020-06-30,-0.22186109958100209,6
provided,3,2018-10-31,2018-12-31,2019-04-30,-0.1378135591059878,7
provided,4,2023-08-31,2023-10-31,2023-12-31,-0.0998377958356983,5
provided,5,2026-06-30,2026-07-31,,-0.09306886843317874,2
provided,6,2020-09-30,2020-10-31,2020-11-30,-0.09249534319879371,3
provided,7,2026-03-31,2026-03-31,2026-04-30,-0.07233094221594605,2
provided,8,2019-05-31,2019-05-31,2019-06-30,-0.07028779645804806,2
provided,9,2018-02-28,2018-03-31,2018-08-31,-0.059593293507483436,7
provided,10,2021-07-31,2021-09-30,2021-10-31,-0.04645589167474018,4
provided,11,2025-02-28,2025-04-30,2025-05-31,-0.04415902664644911,4
provided,12,2016-10-31,2016-11-30,2017-01-31,-0.043056571951787026,4
provided,13,2022-01-31,2022-01-31,2022-03-31,-0.03634859691254655,3
provided,14,2024-12-31,2024-12-31,2025-01-31,-0.03443299189579796,2
provided,15,2024-04-30,2024-04-30,2024-05-31,-0.0189888051468875,2
provided,16,2019-08-31,2019-09-30,2019-10-31,-0.018984952793722143,3
provided,17,2017-06-30,2017-06-30,2017-07-31,-0.015313572360657224,2
provided,18,2024-01-31,2024-01-31,2024-02-29,-0.012798674313332037,2
provided,19,2021-11-30,2021-11-30,2021-12-31,-0.011679792774542785,2
provided,20,2021-03-31,2021-03-31,2021-04-30,-0.0038471137965526703,2
benchmark,1,2022-01-31,2022-09-30,2023-12-31,-0.23927165170841835,24
benchmark,2,2020-01-31,2020-03-31,2020-07-31,-0.19447693916322917,7
benchmark,3,2018-10-31,2018-12-31,2019-04-30,-0.1353213210016181,7
benchmark,4,2025-02-28,2025-04-30,2025-06-30,-0.07578993168738268,5
benchmark,5,2019-05-31,2019-05-31,2019-06-30,-0.06377163803312746,2
benchmark,6,2018-02-28,2018-03-31,2018-07-31,-0.06277402019850509,6
benchmark,7,2020-09-30,2020-10-31,2020-11-30,-0.06144374529869634,3
benchmark,8,2026-02-28,2026-03-31,2026-04-30,-0.05759487239239591,3
benchmark,9,2021-09-30,2021-09-30,2021-10-31,-0.04660547704326168,2
benchmark,10,2024-04-30,2024-04-30,2024-05-31,-0.04031974376591496,2
benchmark,11,2024-12-31,2024-12-31,2025-01-31,-0.02406017042926545,2
benchmark,12,2016-10-31,2016-10-31,2016-11-30,-0.017337273845075774,2
benchmark,13,2026-06-30,2026-07-31,,-0.01702520238919547,2
benchmark,14,2019-08-31,2019-08-31,2019-09-30,-0.01674334130667754,2
benchmark,15,2021-01-31,2021-01-31,2021-02-28,-0.010190452682016349,2
benchmark,16,2024-10-31,2024-10-31,2024-11-30,-0.008923755891704688,2
benchmark,17,2021-11-30,2021-11-30,2021-12-31,-0.008034916411653215,2
