portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-11-30,23,-22.665955624016753
optimized,2,2020-02-29,2020-03-31,2020-05-31,4,-13.347007973354508
optimized,3,2018-10-31,2018-12-31,2019-03-31,6,-11.535976563779805
optimized,4,2020-09-30,2020-10-31,2020-12-31,4,-7.480195241496168
optimized,5,2026-03-31,2026-03-31,2026-04-30,2,-7.414763985250206
optimized,6,2026-06-30,2026-07-31,,2,-6.907936776591573
optimized,7,2021-09-30,2021-09-30,2021-10-31,2,-4.821808950774509
optimized,8,2016-10-31,2016-11-30,2017-01-31,4,-4.721225233260162
optimized,9,2018-02-28,2018-03-31,2018-07-31,6,-4.474215323124275
optimized,10,2019-05-31,2019-05-31,2019-06-30,2,-3.5140311089249754
optimized,11,2025-02-28,2025-03-31,2025-05-31,4,-3.2512483941345427
optimized,12,2024-04-30,2024-04-30,2024-05-31,2,-3.069286497520529
optimized,13,2021-01-31,2021-02-28,2021-04-30,4,-2.9097779218767883
optimized,14,2024-12-31,2024-12-31,2025-01-31,2,-1.3005170077489914
optimized,15,2021-11-30,2021-11-30,2021-12-31,2,-0.9947108377115099
optimized,16,2017-06-30,2017-06-30,2017-07-31,2,-0.7714533739731744
optimized,17,2019-09-30,2019-09-30,2019-10-31,2,-0.5468267287629502
optimized,18,2017-09-30,2017-09-30,2017-10-31,2,-0.3644688926399908
optimized,19,2017-03-31,2017-03-31,2017-04-30,2,-0.355111896880278
provided,1,2022-04-30,2022-09-30,2023-07-31,16,-24.622284535502914
provided,2,2020-01-31,2020-03-31,2020-06-30,6,-22.18610989940385
provided,3,2018-10-31,2018-12-31,2019-04-30,7,-13.781357653569904
provided,4,2023-08-31,2023-10-31,2023-12-31,5,-9.983785859984607
provided,5,2026-06-30,2026-07-31,,2,-9.306886843317875
provided,6,2020-09-30,2020-10-31,2020-11-30,3,-9.249532885017286
provided,7,2026-03-31,2026-03-31,2026-04-30,2,-7.233093213733577
provided,8,2019-05-31,2019-05-31,2019-06-30,2,-7.028780935186763
provided,9,2018-02-28,2018-03-31,2018-08-31,7,-5.959345635837565
provided,10,2021-07-31,2021-09-30,2021-10-31,4,-4.64558555154505
provided,11,2025-02-28,2025-04-30,2025-05-31,4,-4.4159022445083735
provided,12,2016-10-31,2016-11-30,2017-01-31,4,-4.305655180891044
provided,13,2022-01-31,2022-01-31,2022-03-31,3,-3.6348531324452815
provided,14,2024-12-31,2024-12-31,2025-01-31,2,-3.443302700482176
provided,15,2024-04-30,2024-04-30,2024-05-31,2,-1.8988808509866617
provided,16,2019-08-31,2019-09-30,2019-10-31,3,-1.8984924623895227
provided,17,2017-06-30,2017-06-30,2017-07-31,2,-1.5313629167557519
provided,18,2024-01-31,2024-01-31,2024-02-29,2,-1.2798676327993919
provided,19,2021-11-30,2021-11-30,2021-12-31,2,-1.1679924864275604
provided,20,2021-03-31,2021-03-31,2021-04-30,2,-0.38472761460806026
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.92718402314563
benchmark,2,2020-01-31,2020-03-31,2020-07-31,7,-19.447688715318666
benchmark,3,2018-10-31,2018-12-31,2019-04-30,7,-13.532091277649371
benchmark,4,2025-02-28,2025-04-30,2025-06-30,5,-7.578984416954615
benchmark,5,2019-05-31,2019-05-31,2019-06-30,2,-6.377125582421583
benchmark,6,2018-02-28,2018-03-31,2018-07-31,6,-6.277425521270641
benchmark,7,2020-09-30,2020-10-31,2020-11-30,3,-6.144355556263903
benchmark,8,2026-02-28,2026-03-31,2026-04-30,3,-5.75948723923958
benchmark,9,2021-09-30,2021-09-30,2021-10-31,2,-4.660534253455628
benchmark,10,2024-04-30,2024-04-30,2024-05-31,2,-4.031956884641142
benchmark,11,2024-12-31,2024-12-31,2025-01-31,2,-2.4060478069008795
benchmark,12,2016-10-31,2016-10-31,2016-11-30,2,-1.7337106186479323
benchmark,13,2026-06-30,2026-07-31,,2,-1.7025202389195582
benchmark,14,2019-08-31,2019-08-31,2019-09-30,2,-1.6743795865717392
benchmark,15,2021-01-31,2021-01-31,2021-02-28,2,-1.0190540587581842
benchmark,16,2024-10-31,2024-10-31,2024-11-30,2,-0.8923538766048789
benchmark,17,2021-11-30,2021-11-30,2021-12-31,2,-0.8034915842206503
