metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,5.780388714555576,5.818547782808788,4.010314014261338
CAGR,pct,19.177893378264987,19.256335574370652,14.899420415783737
Annualized Return,pct,19.399943188284514,18.84558418616049,15.137787993040853
Expected Return,pct,19.399943188284514,18.845584186160487,15.137787993040853
Standard Deviation,pct,18.726708180707096,14.999999650839237,15.33200721553879
Best Year,pct,44.10508749119355,37.03439377579354,31.22382543506026
Worst Year,pct,-14.80060132189518,-15.474497275733135,-18.175368123865752
Maximum Drawdown,pct,-24.622288365414246,-22.665957232576474,-23.927184023145642
Sharpe Ratio (ex-post),ratio,0.909927309373019,1.099038971326785,0.8334060774567552
Sortino Ratio,ratio,1.5490337556659557,1.9371785256774683,1.312523871116795
