portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2022-01-31,2022-09-30,2023-07-31,-0.1830324101309474,19
optimized,2,2020-02-29,2020-03-31,2020-05-31,-0.12280385879257505,4
optimized,3,2018-10-31,2018-12-31,2019-03-31,-0.09943882572399798,6
optimized,4,2020-09-30,2020-10-31,2020-12-31,-0.068779201263647,4
optimized,5,2026-03-31,2026-03-31,2026-04-30,-0.0645230308774456,2
optimized,6,2026-06-30,2026-07-31,,-0.058198874737985795,2
optimized,7,2016-10-31,2016-11-30,2017-02-28,-0.04357043812525474,5
optimized,8,2018-02-28,2018-03-31,2018-07-31,-0.03947833229372777,6
optimized,9,2021-09-30,2021-09-30,2021-10-31,-0.039163385123366035,2
optimized,10,2023-09-30,2023-09-30,2023-11-30,-0.030647177455453534,3
optimized,11,2019-05-31,2019-05-31,2019-06-30,-0.029990304042822102,2
optimized,12,2024-04-30,2024-04-30,2024-05-31,-0.024505641254939148,2
optimized,13,2021-01-31,2021-02-28,2021-04-30,-0.021349208887517568,4
optimized,14,2025-02-28,2025-03-31,2025-04-30,-0.018151473204021662,3
optimized,15,2024-12-31,2024-12-31,2025-01-31,-0.014364804147053989,2
optimized,16,2021-11-30,2021-11-30,2021-12-31,-0.011430270877755722,2
optimized,17,2017-06-30,2017-06-30,2017-07-31,-0.005868351159020624,2
optimized,18,2019-09-30,2019-09-30,2019-10-31,-0.004898497569844507,2
optimized,19,2017-03-31,2017-03-31,2017-04-30,-0.004732571071631386,2
optimized,20,2017-09-30,2017-09-30,2017-10-31,-0.0012396719699809822,2
provided,1,2022-04-30,2022-09-30,2023-07-31,-0.24622281963446047,16
provided,2,2020-01-31,2020-03-31,2020-06-30,-0.22186115768395243,6
provided,3,2018-10-31,2018-12-31,2019-04-30,-0.13781358062081595,7
provided,4,2023-08-31,2023-10-31,2023-12-31,-0.0998378229702449,5
provided,5,2026-06-30,2026-07-31,,-0.09306886843317863,2
provided,6,2020-09-30,2020-10-31,2020-11-30,-0.09249537541458552,3
provided,7,2026-03-31,2026-03-31,2026-04-30,-0.07233093987223715,2
provided,8,2019-05-31,2019-05-31,2019-06-30,-0.07028771407064638,2
provided,9,2018-02-28,2018-03-31,2018-08-31,-0.059593448848556,7
provided,10,2021-07-31,2021-09-30,2021-10-31,-0.04645587515357752,4
provided,11,2025-02-28,2025-04-30,2025-05-31,-0.044158999396729404,4
provided,12,2016-10-31,2016-11-30,2017-01-31,-0.04305642742065763,4
provided,13,2022-01-31,2022-01-31,2022-03-31,-0.03634868036609973,3
provided,14,2024-12-31,2024-12-31,2025-01-31,-0.034433002784533095,2
provided,15,2024-04-30,2024-04-30,2024-05-31,-0.018988809315050315,2
provided,16,2019-08-31,2019-09-30,2019-10-31,-0.01898501944675335,3
provided,17,2017-06-30,2017-06-30,2017-07-31,-0.015313564673561264,2
provided,18,2024-01-31,2024-01-31,2024-02-29,-0.012798608769288622,2
provided,19,2021-11-30,2021-11-30,2021-12-31,-0.01167986111749253,2
provided,20,2021-03-31,2021-03-31,2021-04-30,-0.003847182443803221,2
benchmark,1,2022-01-31,2022-09-30,2023-12-31,-0.23927177194402838,24
benchmark,2,2020-01-31,2020-03-31,2020-07-31,-0.19447707496383482,7
benchmark,3,2018-10-31,2018-12-31,2019-04-30,-0.13532099886114846,7
benchmark,4,2025-02-28,2025-04-30,2025-06-30,-0.07578974101565716,5
benchmark,5,2019-05-31,2019-05-31,2019-06-30,-0.06377114767399839,2
benchmark,6,2018-02-28,2018-03-31,2018-07-31,-0.06277431299863423,6
benchmark,7,2020-09-30,2020-10-31,2020-11-30,-0.06144346652363086,3
benchmark,8,2026-02-28,2026-03-31,2026-04-30,-0.05759487239239591,3
benchmark,9,2021-09-30,2021-09-30,2021-10-31,-0.04660562166197402,2
benchmark,10,2024-04-30,2024-04-30,2024-05-31,-0.040319571262241505,2
benchmark,11,2024-12-31,2024-12-31,2025-01-31,-0.0240599661651395,2
benchmark,12,2016-10-31,2016-10-31,2016-11-30,-0.017337188587174146,2
benchmark,13,2026-06-30,2026-07-31,,-0.01702520238919558,2
benchmark,14,2019-08-31,2019-08-31,2019-09-30,-0.01674345875188299,2
benchmark,15,2021-01-31,2021-01-31,2021-02-28,-0.010190364776450855,2
benchmark,16,2024-10-31,2024-10-31,2024-11-30,-0.008923538766048789,2
benchmark,17,2021-11-30,2021-11-30,2021-12-31,-0.008034986713717718,2
