point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_GDX,weight_GLD,weight_SLV,weight_AIA,weight_XLE,weight_PTF,weight_QLD
1,0.1621771042898801,0.12746066345964033,1.0875324239448396,0.0571596964087763,0.4326954766194138,0.0,0.3,0.0,0.10277785712025907,0.10736696985155078,0.0,0.0
2,0.16356965172201351,0.12752840311061886,1.0978742641399493,0.08252999351200782,0.43112426225553613,0.0,0.3,0.0,0.08481357462782158,0.10153216960463454,0.0,0.0
3,0.1649621991541469,0.1277314065179857,1.1070315673243303,0.1079002906152402,0.4295530478916576,0.0,0.3,0.0,0.06684929213538376,0.09569736935771846,0.0,0.0
4,0.16635474658628027,0.1280690304598538,1.114986551186883,0.1332705877184723,0.42798183352777974,0.0,0.3,0.0,0.04888500964294574,0.08986256911080215,0.0,0.0
5,0.16774729401841365,0.12854021415703573,1.1217329530994984,0.15864088482170385,0.4264106191639019,0.0,0.3,0.0,0.030920727150508177,0.08402776886388606,0.0,0.0
6,0.16913984145054708,0.12914349572817002,1.1272758308863997,0.1840111819249359,0.42483940480002413,0.0,0.3,0.0,0.012956444658070155,0.07819296861696977,0.0,0.0
7,0.17053238888268046,0.12988544212465752,1.1315578287951875,0.2107597596449047,0.4210937414390134,0.0,0.3,0.0,0.0,0.06814649891608189,0.0,0.0
8,0.17192493631481384,0.13091428083460432,1.1333021528969562,0.24107427083250732,0.41172227128773276,0.0,0.3,0.0,0.0,0.04720345787975997,0.0,0.0
9,0.17331748374694725,0.13227858607407036,1.132140796115625,0.27138878202010913,0.4023508011364527,0.0,0.3,0.0,0.0,0.026260416843438165,0.0,0.0
10,0.17471003117908057,0.1338846278875249,1.128961058218428,0.2695215199637951,0.40322907149405346,0.0,0.3,0.0,0.0,0.02048059340358284,0.0,0.006768815138568619
11,0.17610257861121398,0.13550560931453637,1.1257325758163275,0.25554360570738327,0.4079645265227241,0.0,0.3,0.0,0.0,0.020406995445878234,0.0,0.016084872324014506
12,0.1774951260433474,0.13712945486633246,1.1225569750379072,0.24156569145097015,0.4126999815513958,0.0,0.3,0.0,0.0,0.02033339748817359,0.0,0.02540092950946047
13,0.1788876734754808,0.13875606398742463,1.119433407173888,0.22758777719455747,0.417435436580067,0.0,0.3,0.0,0.0,0.02025979953046909,0.0,0.03471698669490646
14,0.18028022090761414,0.14038534061552874,1.1163610119152174,0.21360986293814413,0.4221708916087392,0.0,0.3,0.0,0.0,0.020186201572764385,0.0,0.044033043880352236
15,0.18167276833974755,0.14201719294263204,1.1133389208982432,0.1996319486817323,0.42690634663741,0.0,0.3,0.0,0.0,0.02011260361505983,0.0,0.05334910106579791
16,0.18306531577188095,0.14365153319050422,1.110366260834484,0.18565403442531891,0.43164180166608185,0.0,0.3,0.0,0.0,0.020039005657355148,0.0,0.06266515825124407
17,0.1844578632040143,0.14528827739969694,1.1074421562682106,0.17167612016890646,0.436377256694753,0.0,0.3,0.0,0.0,0.01996540769965059,0.0,0.07198121543668988
18,0.1858504106361477,0.14692734523114154,1.1045657320006474,0.15769820591249442,0.4411127117234238,0.0,0.3,0.0,0.0,0.019891809741945952,0.0,0.0812972726221358
19,0.18724295806828112,0.14856865977951678,1.1017361152156548,0.14372029165608236,0.44584816675209477,0.0,0.3,0.0,0.0,0.019818211784241348,0.0,0.09061332980758154
20,0.18863550550041452,0.1502121473976175,1.0989524373381854,0.12974237739966843,0.4505836217807673,0.0,0.3,0.0,0.0,0.019744613826536767,0.0,0.0999293869930276
21,0.19002805293254788,0.15185773753100737,1.0962138356536304,0.11576446314325704,0.4553190768094374,0.0,0.3,0.0,0.0,0.019671015868832117,0.0,0.10924544417847341
22,0.1914206003646813,0.15350536256228992,1.093519454713291,0.10178654888684398,0.4600545318381094,0.0,0.3,0.0,0.0,0.01959741791112749,0.0,0.11856150136391923
23,0.1928131477968147,0.1551549576643777,1.09086844754864,0.0878086346304318,0.4647899868667802,0.0,0.3,0.0,0.0,0.019523819953422953,0.0,0.12787755854936514
24,0.1942056952289481,0.1568064606621825,1.0882599767147434,0.07383072037401878,0.469525441895452,0.0,0.3,0.0,0.0,0.01945022199571827,0.0,0.13719361573481104
25,0.19559824266108153,0.15845981190218977,1.0856932151811047,0.05985280611760598,0.4742608969241233,0.0,0.3,0.0,0.0,0.01937662403801362,0.0,0.14650967292025713
26,0.1969907900932149,0.16011495412941643,1.0831673470863643,0.045874891861194304,0.47899635195279366,0.0,0.3,0.0,0.0,0.019303026080309125,0.0,0.15582573010570294
27,0.19838333752534823,0.16177183237128726,1.0806815683715874,0.031896977604781,0.48373180698146584,0.0,0.3,0.0,0.0,0.019229428122604572,0.0,0.16514178729114862
28,0.19977588495748166,0.16343039382799526,1.0782350873053834,0.017919063348368403,0.4884672620101372,0.0,0.3,0.0,0.0,0.019155830164899815,0.0,0.17445784447659465
29,0.20116843238961502,0.16509058776894087,1.075827124912746,0.003941149091956883,0.4932027170388079,0.0,0.3,0.0,0.0,0.01908223220719519,0.0,0.1837739016620401
30,0.20256097982174837,0.16675505558563344,1.0734395979366635,0.0,0.4897128294629922,0.0,0.3,0.0,0.0,0.018068025542088008,0.0,0.19221914499491974
31,0.20395352725388183,0.16843092805495313,1.0710267368177508,0.0,0.48299308635050425,0.0,0.3,0.0,0.0,0.01668446888300101,0.0,0.20032244476649474
32,0.2053460746860152,0.1701182747202,1.0685893387115906,0.0,0.4762733432380157,0.0,0.3,0.0,0.0,0.015300912223914168,0.0,0.20842574453807008
33,0.20673862211814856,0.17181675753063672,1.0661307124567625,0.0,0.4695536001255277,0.0,0.3,0.0,0.0,0.013917355564827115,0.0,0.21652904430964517
34,0.20813116955028194,0.17352604948290992,1.0636539591622516,0.0,0.4628338570130395,0.0,0.3,0.0,0.0,0.012533798905740287,0.0,0.22463234408122032
35,0.20952371698241534,0.17524583429054325,1.061161982738499,0.0,0.45611411390055095,0.0,0.3,0.0,0.0,0.011150242246653421,0.0,0.23273564385279566
36,0.2109162644145487,0.1769758060568486,1.0586575000786576,0.0,0.44939437078806277,0.0,0.3,0.0,0.0,0.00976668558756645,0.0,0.24083894362437075
37,0.21230881184668213,0.1787156689520916,1.056143050877538,0.0,0.44267462767557414,0.0,0.3,0.0,0.0,0.008383128928479616,0.0,0.2489422433959462
38,0.2137013592788155,0.1804651368956215,1.0536210070801149,0.0,0.4359548845630862,0.0,0.3,0.0,0.0,0.006999572269392698,0.0,0.25704554316752115
