date,optimized,optimized,provided,provided,benchmark,benchmark
,36m,60m,36m,60m,36m,60m
2016-08-31,,,,,,
2016-09-30,,,,,,
2016-10-31,,,,,,
2016-11-30,,,,,,
2016-12-31,,,,,,
2017-01-31,,,,,,
2017-02-28,,,,,,
2017-03-31,,,,,,
2017-04-30,,,,,,
2017-05-31,,,,,,
2017-06-30,,,,,,
2017-07-31,,,,,,
2017-08-31,,,,,,
2017-09-30,,,,,,
2017-10-31,,,,,,
2017-11-30,,,,,,
2017-12-31,,,,,,
2018-01-31,,,,,,
2018-02-28,,,,,,
2018-03-31,,,,,,
2018-04-30,,,,,,
2018-05-31,,,,,,
2018-06-30,,,,,,
2018-07-31,,,,,,
2018-08-31,,,,,,
2018-09-30,,,,,,
2018-10-31,,,,,,
2018-11-30,,,,,,
2018-12-31,,,,,,
2019-01-31,,,,,,
2019-02-28,,,,,,
2019-03-31,,,,,,
2019-04-30,,,,,,
2019-05-31,,,,,,
2019-06-30,,,,,,
2019-07-31,0.11803601392356544,,0.1232876742193656,,0.13237902416499003,
2019-08-31,0.12556628414683613,,0.12740263367414428,,0.125574457934152,
2019-09-30,0.11957109297672663,,0.11074044559180374,,0.13280617732432987,
2019-10-31,0.1337417381442565,,0.13713397786334713,,0.14776374780586332,
2019-11-30,0.1459281906080867,,0.14738642312028127,,0.14752746353731006,
2019-12-31,0.1533740473325962,,0.16710716014828275,,0.15081117673282507,
2020-01-31,0.15232679306598618,,0.14290067784349736,,0.14387336082153435,
2020-02-29,0.11661914423782993,,0.1036435161291096,,0.09864986679822518,
2020-03-31,0.09200316093897465,,0.041266818905337566,,0.05043489835912296,
2020-04-30,0.12541859172976477,,0.1008515141243771,,0.08954482620642823,
2020-05-31,0.1391249391176177,,0.11925522667848876,,0.10142354498338335,
2020-06-30,0.15401357451790054,,0.1461044165439429,,0.10555240732107762,
2020-07-31,0.17316393324906665,,0.1671035322158687,,0.1192263317253126,
2020-08-31,0.18853011432155897,,0.18967156727970647,,0.14357118603405805,
2020-09-30,0.17233380240188056,,0.1570457308927411,,0.12163269442457558,
2020-10-31,0.1458198648558986,,0.13499203898184464,,0.10363055268329324,
2020-11-30,0.1599228671235895,,0.17209521958732066,,0.1308713102203205,
2020-12-31,0.1724057877330607,,0.19136105259904745,,0.1400775360049129,
2021-01-31,0.14636372223232397,,0.17093101925863086,,0.11561512560647702,
2021-02-28,0.14694545659553593,,0.20122531230888052,,0.13984680004627092,
2021-03-31,0.15949412156135034,,0.20507008339805455,,0.16760876748465492,
2021-04-30,0.17423769554148616,,0.2156383104797006,,0.18580949585871087,
2021-05-31,0.1710348263985566,,0.20850913933555515,,0.17892286348152964,
2021-06-30,0.1839030699343458,,0.22233930398569623,,0.18540301713279517,
2021-07-31,0.185699269660204,0.16273494860355986,0.21409667022529288,0.18761202938134391,0.18056959744139323,0.17250597236064502
2021-08-31,0.18708522233388347,0.1706928230694813,0.21169700498961164,0.19318658239534892,0.17974519280147638,0.1791208042053396
2021-09-30,0.16980292652297102,0.1587979974270486,0.19294605465084036,0.1753500519889093,0.15883335639141705,0.1679057028251454
2021-10-31,0.21706527501890394,0.1771270712602424,0.2673354873607843,0.2033837500955089,0.21395899359052328,0.18800125110277222
2021-11-30,0.20992309635325102,0.17983902487098335,0.260293528012427,0.20272868706169356,0.20330435239573919,0.1775354268787761
2021-12-31,0.2400110525919985,0.1829773082365207,0.28906139035821776,0.20521401102422754,0.259688234417232,0.1834712899840465
2022-01-31,0.1930672627107508,0.16521854897275756,0.2326966302294724,0.18307304999256346,0.20578323829595146,0.16657016218424192
2022-02-28,0.1850841050687595,0.15760980541426473,0.22540531762217442,0.17765576804775773,0.1811734182286302,0.15069703513722144
2022-03-31,0.19154382379885382,0.16649156737102744,0.23050440866941369,0.1842969805492729,0.188663110558986,0.15893122353216027
2022-04-30,0.15491245130580178,0.14358952761122823,0.1759152575704903,0.1570520694892421,0.13753284656364428,0.1355877046857843
2022-05-31,0.16669412621468283,0.14015550089056417,0.20851613268496072,0.15316385512847264,0.16366962874643187,0.13292005148112196
2022-06-30,0.11547315854105134,0.12558186951937378,0.1305471063625847,0.1309377834344867,0.10568830267978635,0.11217283237161668
2022-07-31,0.13402943872847772,0.1325326342829436,0.15280457134140346,0.1396459493343789,0.1329552973939132,0.12734426266090848
2022-08-31,0.11659364219029489,0.12077709901010913,0.1347821904045754,0.12479106145385743,0.12363830260214548,0.11733945949072866
2022-09-30,0.09273145299982177,0.10553232933220458,0.10449084301633538,0.10153614996991611,0.08092179474323657,0.09150790573065737
2022-10-31,0.11216169581624769,0.11202771162846159,0.11379699515119834,0.10683307711502676,0.1013904828084553,0.10354788045190677
2022-11-30,0.12790914981542856,0.11961374105733458,0.14665643491028546,0.12741369607882036,0.10821918872056902,0.10885607883594917
2022-12-31,0.10602050664703988,0.11020822947229147,0.10868559861110905,0.11253970385087997,0.07618472784733821,0.09313190226232648
2023-01-31,0.11113835072732337,0.10599120594519018,0.14239026003713517,0.1151996376871478,0.09843504196969222,0.0944796240666661
2023-02-28,0.11847821982210749,0.10087736502905575,0.15057359025098438,0.11289904274713192,0.1195091164192692,0.09701608366422798
2023-03-31,0.16581490643190122,0.11785744547243704,0.24927256973630096,0.13456991846827693,0.1846971515854854,0.11119251005925479
2023-04-30,0.12963297720568145,0.11973710971725549,0.17967543007214104,0.1315715314265833,0.14444749233825482,0.11357169848615478
2023-05-31,0.10601198715085336,0.11092447966704033,0.153380542595436,0.12484854351904606,0.12855973155000022,0.10925664073216423
2023-06-30,0.10709771728899797,0.12071887779593093,0.15022062372063338,0.13706904355578353,0.14569488369840133,0.12198617235652853
2023-07-31,0.08882773339459482,0.12329048277516685,0.13469180976474715,0.14722291679086807,0.13618167754555355,0.12105135781068688
2023-08-31,0.06891211679871301,0.1185566516075851,0.09699626426142216,0.1371833058448717,0.10486358158763487,0.11038367379865943
2023-09-30,0.07293747003444606,0.11071575186145721,0.10556419771167103,0.12520593887591436,0.10102758475377827,0.09834094291572892
2023-10-31,0.08557193865259927,0.12596160117997446,0.10461678740535185,0.14219949892009076,0.10224019798933148,0.10930405632099549
2023-11-30,0.09189008551921929,0.14074196133515904,0.09915949519606304,0.1628722993752183,0.09643284789341644,0.12472543303721428
2023-12-31,0.09078412739658082,0.16199577210295546,0.08644591381496136,0.1834961759797562,0.09945784139323433,0.15592556037099725
2024-01-31,0.10155082533549753,0.15091263274215883,0.07502631266570225,0.15774676628100615,0.10904394830689035,0.14185849137263173
2024-02-29,0.1298136680824773,0.15983892319168214,0.0820287152416348,0.16428046661606777,0.11774506779034466,0.14619872989626814
2024-03-31,0.1453055327839079,0.1674116694885257,0.1069054996668315,0.17317626506558526,0.1132012989355422,0.1494678389185813
2024-04-30,0.11845789091445735,0.1580290629109511,0.0852521779313451,0.16275038665519936,0.07932466606770028,0.13095233476493418
2024-05-31,0.12947312790309806,0.17649944849220467,0.10149645284049935,0.19521841538995766,0.0948324974927015,0.15732065663024208
2024-06-30,0.13689212585325228,0.17182042887239302,0.10504493836658635,0.18329731617895062,0.0994009868654,0.14979950609703807
2024-07-31,0.13174964992314808,0.17127121903099196,0.10936581108808907,0.17875855680003716,0.09498190959293296,0.14911671105206015
2024-08-31,0.13010988117481737,0.1735259943468801,0.11002060779407463,0.18211453940815248,0.09271084323073953,0.15834230002989091
2024-09-30,0.1554796372301177,0.18095706299381664,0.1385194359112285,0.1928997526140399,0.11795315866130895,0.1586935203808888
2024-10-31,0.1382842586387869,0.17995461839965898,0.10872678551073922,0.18525524154717843,0.08970580672971562,0.15157162453744166
2024-11-30,0.15561418232693458,0.18581252372726675,0.12781458288372716,0.19037684165390534,0.11394137777643598,0.15673407943151485
2024-12-31,0.1406271201796354,0.17511542011303827,0.10987691120992005,0.16939874091052531,0.08840821803162013,0.14453840880648494
2025-01-31,0.17626928479407722,0.17968497361137503,0.13985125382360653,0.1811780722319547,0.1180782202693087,0.15071403233271718
2025-02-28,0.1752315423177433,0.19369457060517936,0.13659871938274004,0.19863062931657227,0.12450135768473247,0.16686711376662156
2025-03-31,0.15526222975544957,0.20657857993882933,0.1147200674770652,0.23373787096839926,0.08972876799883456,0.18475139358082737
2025-04-30,0.19456007373249684,0.18524058858752435,0.14923657849612892,0.1873023333119963,0.1203564985296901,0.15474838242083822
2025-05-31,0.22166500250050913,0.1890292832058904,0.17303414336635825,0.18609625496287285,0.14249191496366764,0.15807991884123407
2025-06-30,0.2701397786660571,0.1922338526272911,0.2469219042131321,0.18961862342886904,0.19554405925930585,0.16563890118818958
2025-07-31,0.2528886422481551,0.1781022537079524,0.22395736294624635,0.17263835389070215,0.1697942312027172,0.15763458381844964
2025-08-31,0.27578420658177105,0.16944410020924727,0.26110931658253733,0.16484260668962158,0.19420943901446752,0.14676786258748842
2025-09-30,0.3335083910244452,0.1943679105152587,0.34066371463249245,0.20331783288635497,0.2479288589650408,0.16367146923058096
2025-10-31,0.3134569778263201,0.20696676863454733,0.3277405843774339,0.2160582496812653,0.2254286192285655,0.1750863009340755
2025-11-30,0.2947088318856499,0.19595274528460083,0.28953434528450184,0.19389275781512283,0.20430942621588555,0.1515163831088422
2025-12-31,0.3081388890118977,0.18563219586395885,0.32237837636934996,0.18441233943164015,0.2287006313153388,0.1433510234076978
2026-01-31,0.31044095900179025,0.19841900810630886,0.3206826372177001,0.19870664813692884,0.20985951534180414,0.1490528681067902
2026-02-28,0.33815163332110076,0.20758158114113656,0.3731182821648311,0.2058848903338386,0.21664736151584263,0.14078535047385587
2026-03-31,0.28592477480622036,0.18947311731156602,0.3026436988704355,0.18882866305769208,0.18185275010038726,0.11930622482224007
2026-04-30,0.3247449580329056,0.20376531615658267,0.3558970896152982,0.208190517671488,0.21543014246704884,0.13017899656166
2026-05-31,0.36048839617169026,0.21551285227902706,0.3908344160488746,0.22379688686195753,0.23449106655373253,0.1403379404802605
2026-06-30,0.3410571723950202,0.20774535349562395,0.3533345698490733,0.2086898512104438,0.20476102613632063,0.1329439731049804
2026-07-31,0.30599159684386,0.19034150636887204,0.30127254856657304,0.19596043881951886,0.189186660417064,0.12595379606053547
