portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-07-31,19,-18.303253400404508
optimized,2,2020-02-29,2020-03-31,2020-05-31,4,-12.280374902198188
optimized,3,2018-10-31,2018-12-31,2019-03-31,6,-9.943879806800581
optimized,4,2020-09-30,2020-10-31,2020-12-31,4,-6.87789615947052
optimized,5,2026-03-31,2026-03-31,2026-04-30,2,-6.452306157816934
optimized,6,2026-06-30,2026-07-31,,2,-5.819890006186723
optimized,7,2016-10-31,2016-11-30,2017-02-28,5,-4.357059373448413
optimized,8,2018-02-28,2018-03-31,2018-07-31,6,-3.9478457566900937
optimized,9,2021-09-30,2021-09-30,2021-10-31,2,-3.916329856260148
optimized,10,2023-09-30,2023-09-30,2023-11-30,3,-3.0647155976896268
optimized,11,2019-05-31,2019-05-31,2019-06-30,2,-2.999050381566426
optimized,12,2024-04-30,2024-04-30,2024-05-31,2,-2.4505740050944413
optimized,13,2021-01-31,2021-02-28,2021-04-30,4,-2.1349460876091797
optimized,14,2025-02-28,2025-03-31,2025-04-30,3,-1.8151485894136177
optimized,15,2024-12-31,2024-12-31,2025-01-31,2,-1.436478835085897
optimized,16,2021-11-30,2021-11-30,2021-12-31,2,-1.1430425122280652
optimized,17,2017-06-30,2017-06-30,2017-07-31,2,-0.5868216669227211
optimized,18,2019-09-30,2019-09-30,2019-10-31,2,-0.4898151795140304
optimized,19,2017-03-31,2017-03-31,2017-04-30,2,-0.47327000247023854
optimized,20,2017-09-30,2017-09-30,2017-10-31,2,-0.12393728459103581
provided,1,2022-04-30,2022-09-30,2023-07-31,16,-24.622284831037778
provided,2,2020-01-31,2020-03-31,2020-06-30,6,-22.186115595973533
provided,3,2018-10-31,2018-12-31,2019-04-30,7,-13.781363931375889
provided,4,2023-08-31,2023-10-31,2023-12-31,5,-9.98378509570057
provided,5,2026-06-30,2026-07-31,,2,-9.306886843317875
provided,6,2020-09-30,2020-10-31,2020-11-30,3,-9.249526374472739
provided,7,2026-03-31,2026-03-31,2026-04-30,2,-7.233093077738262
provided,8,2019-05-31,2019-05-31,2019-06-30,2,-7.028785242141966
provided,9,2018-02-28,2018-03-31,2018-08-31,7,-5.959349373854749
provided,10,2021-07-31,2021-09-30,2021-10-31,4,-4.64558907246273
provided,11,2025-02-28,2025-04-30,2025-05-31,4,-4.415901250275489
provided,12,2016-10-31,2016-11-30,2017-01-31,4,-4.305651649852981
provided,13,2022-01-31,2022-01-31,2022-03-31,3,-3.6348604194609835
provided,14,2024-12-31,2024-12-31,2025-01-31,2,-3.44330339573653
provided,15,2024-04-30,2024-04-30,2024-05-31,2,-1.898883150701558
provided,16,2019-08-31,2019-09-30,2019-10-31,3,-1.8984898438909714
provided,17,2017-06-30,2017-06-30,2017-07-31,2,-1.5313519413075793
provided,18,2024-01-31,2024-01-31,2024-02-29,2,-1.2798747935080734
provided,19,2021-11-30,2021-11-30,2021-12-31,2,-1.1679929163770253
provided,20,2021-03-31,2021-03-31,2021-04-30,2,-0.3847102207858777
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.927177194402848
benchmark,2,2020-01-31,2020-03-31,2020-07-31,7,-19.44767195719863
benchmark,3,2018-10-31,2018-12-31,2019-04-30,7,-13.532115993140225
benchmark,4,2025-02-28,2025-04-30,2025-06-30,5,-7.578993950540802
benchmark,5,2019-05-31,2019-05-31,2019-06-30,2,-6.3771263190871785
benchmark,6,2018-02-28,2018-03-31,2018-07-31,6,-6.277431299863423
benchmark,7,2020-09-30,2020-10-31,2020-11-30,3,-6.1443662088745965
benchmark,8,2026-02-28,2026-03-31,2026-04-30,3,-5.759487239239592
benchmark,9,2021-09-30,2021-09-30,2021-10-31,2,-4.660548041327395
benchmark,10,2024-04-30,2024-04-30,2024-05-31,2,-4.03195113451763
benchmark,11,2024-12-31,2024-12-31,2025-01-31,2,-2.4060167942029365
benchmark,12,2016-10-31,2016-10-31,2016-11-30,2,-1.7337107615069125
benchmark,13,2026-06-30,2026-07-31,,2,-1.7025202389195582
benchmark,14,2019-08-31,2019-08-31,2019-09-30,2,-1.6743793962956666
benchmark,15,2021-01-31,2021-01-31,2021-02-28,2,-1.0190364776450855
benchmark,16,2024-10-31,2024-10-31,2024-11-30,2,-0.892343020322095
benchmark,17,2021-11-30,2021-11-30,2021-12-31,2,-0.8034915842206503
