date,optimized,optimized,provided,provided,benchmark,benchmark
,36m,60m,36m,60m,36m,60m
2016-08-31,,,,,,
2016-09-30,,,,,,
2016-10-31,,,,,,
2016-11-30,,,,,,
2016-12-31,,,,,,
2017-01-31,,,,,,
2017-02-28,,,,,,
2017-03-31,,,,,,
2017-04-30,,,,,,
2017-05-31,,,,,,
2017-06-30,,,,,,
2017-07-31,,,,,,
2017-08-31,,,,,,
2017-09-30,,,,,,
2017-10-31,,,,,,
2017-11-30,,,,,,
2017-12-31,,,,,,
2018-01-31,,,,,,
2018-02-28,,,,,,
2018-03-31,,,,,,
2018-04-30,,,,,,
2018-05-31,,,,,,
2018-06-30,,,,,,
2018-07-31,,,,,,
2018-08-31,,,,,,
2018-09-30,,,,,,
2018-10-31,,,,,,
2018-11-30,,,,,,
2018-12-31,,,,,,
2019-01-31,,,,,,
2019-02-28,,,,,,
2019-03-31,,,,,,
2019-04-30,,,,,,
2019-05-31,,,,,,
2019-06-30,,,,,,
2019-07-31,0.1180360569973451,,0.12328768984965377,,0.13237904355454244,
2019-08-31,0.12556631461952672,,0.12740262470422836,,0.12557448885198896,
2019-09-30,0.11957103751968434,,0.11074044487279555,,0.13280612282231274,
2019-10-31,0.13374173082551621,,0.13713397499347368,,0.147763801615441,
2019-11-30,0.1459282235535404,,0.14738643957853403,,0.14752749447280533,
2019-12-31,0.15337403822089057,,0.1671071911904085,,0.1508110456075289,
2020-01-31,0.1523267803565551,,0.14290068299200165,,0.14387354896421423,
2020-02-29,0.11661922973697858,,0.10364353116159308,,0.0986498258613544,
2020-03-31,0.09200317016532122,,0.04126681692607703,,0.050434879347464046,
2020-04-30,0.1254185479873431,,0.10085148772742425,,0.08954485311872862,
2020-05-31,0.13912494661769959,,0.11925520823320701,,0.10142374592996273,
2020-06-30,0.15401350580614515,,0.14610440303350858,,0.1055524083858399,
2020-07-31,0.17316383681291736,,0.1671034937327125,,0.11922626731959673,
2020-08-31,0.18853016433077752,,0.1896716355596395,,0.14357098730108886,
2020-09-30,0.17233378049536663,,0.15704574119778636,,0.1216327464211937,
2020-10-31,0.1458198865766127,,0.13499204153450117,,0.10363052708381515,
2020-11-30,0.15992284029037274,,0.17209522362072005,,0.13087123197692385,
2020-12-31,0.17240584763976896,,0.19136115471324455,,0.14007751990816875,
2021-01-31,0.14636356691632324,,0.17093097477109231,,0.1156150723845557,
2021-02-28,0.14694542921520148,,0.2012253214656996,,0.13984690580749515,
2021-03-31,0.15949406502074792,,0.2050701076809791,,0.16760888303238408,
2021-04-30,0.17423760498789687,,0.21563831304721104,,0.1858094596693758,
2021-05-31,0.17103479588652148,,0.20850915071897536,,0.17892271836705942,
2021-06-30,0.1839030066227998,,0.2223392937429196,,0.18540306230004,
2021-07-31,0.18569924092054824,0.16273493611359124,0.214096696701346,0.18761204030801237,0.18056962154852996,0.1725060110552934
2021-08-31,0.18708514948710442,0.17069280531390496,0.2116970426397733,0.19318659656545578,0.1797452781081037,0.17912087479543137
2021-09-30,0.16980284015527403,0.15879793276509324,0.1929460334601638,0.17535003098015545,0.15883341169274856,0.16790581065117438
2021-10-31,0.21706522249112936,0.1771269997000482,0.26733545588268126,0.2033837197488506,0.21395892570822417,0.18800136139159407
2021-11-30,0.20992291059185408,0.17983898006325671,0.2602934877940726,0.2027286837241995,0.2033042738094617,0.17753542909951436
2021-12-31,0.240010905176409,0.18297728350315579,0.28906141029217913,0.20521404069528226,0.2596882631226374,0.18347128218673903
2022-01-31,0.19306727947002522,0.16521854365785704,0.23269665005923845,0.1830730593854657,0.2057832819380141,0.1665702193915808
2022-02-28,0.18508403581701005,0.15760979582461188,0.22540533966902587,0.17765578697892082,0.18117355252223555,0.15069694921331034
2022-03-31,0.19154376434262033,0.1664915456635263,0.23050443077122296,0.18429698434509434,0.18866293472721107,0.1589312076907492
2022-04-30,0.15491236481068738,0.14358948511599334,0.17591526021356807,0.15705207271409494,0.13753299368144511,0.13558775716345317
2022-05-31,0.16669399475332303,0.14015545872105495,0.20851609430279416,0.15316383418110502,0.16366950909669664,0.13292010115078012
2022-06-30,0.11547310018341217,0.12558181612695418,0.13054708313690466,0.13093775406815955,0.1056882176464995,0.11217288082280552
2022-07-31,0.13402936233859197,0.1325325875495309,0.15280457301045014,0.1396459470461009,0.1329553403101773,0.12734424661991084
2022-08-31,0.1165935593216747,0.12077707129771298,0.13478221150618697,0.12479109376251207,0.12363836362872904,0.11733946419664898
2022-09-30,0.09273143738647649,0.1055322897866886,0.10449085424280091,0.10153616340417204,0.0809218764385462,0.0915079360907134
2022-10-31,0.11216166674484596,0.11202769882260544,0.11379701418761323,0.10683309338744151,0.10139046257230944,0.10354778382936058
2022-11-30,0.1279090800880307,0.11961371193999248,0.14665640666414292,0.12741369802066793,0.10821913061558486,0.10885605857233949
2022-12-31,0.10602057123447528,0.11020826860855504,0.10868564938931535,0.11253976382498632,0.0761847651622829,0.09313187378349874
2023-01-31,0.11113834645862042,0.1059911286320494,0.14239027241575752,0.11519962876957868,0.09843503261686215,0.09447966824659981
2023-02-28,0.11847807510002384,0.10087730633262715,0.150573563620638,0.11289903490979336,0.11950907424791457,0.09701612577833285
2023-03-31,0.1658148075382091,0.11785740710695358,0.24927256579171453,0.13456993930596584,0.18469726391871766,0.11119257381928249
2023-04-30,0.1296329351131731,0.11973704404884433,0.17967544983309502,0.1315715391269312,0.144447463176836,0.1135716960375075
2023-05-31,0.10601187669519097,0.11092440067258003,0.15338053343032998,0.12484854342675167,0.12855957949235286,0.10925652462558633
2023-06-30,0.1070975868884807,0.12071878530657187,0.15022057062855576,0.13706901655074688,0.14569496578090924,0.12198621512386953
2023-07-31,0.08882765365507383,0.12329040066322006,0.13469184138743584,0.14722293061108416,0.13618171598238926,0.12105137154575418
2023-08-31,0.06891196547772793,0.11855655663583775,0.09699625943302537,0.13718332429255486,0.10486369543777618,0.11038365817808571
2023-09-30,0.07293736035513576,0.11071568125719922,0.10556420268524036,0.1252059487482351,0.1010276660550311,0.09834093972347335
2023-10-31,0.0855717881129332,0.12596155054033975,0.10461678095276983,0.1421995014310371,0.10224015144631049,0.10930398867805557
2023-11-30,0.09189001172706046,0.14074184451640925,0.09915950367247883,0.1628722789360375,0.09643294784678202,0.12472540503591079
2023-12-31,0.09078400200247527,0.16199566323366077,0.08644585287400952,0.18349616646787315,0.0994578091770788,0.15592552881442412
2024-01-31,0.10155081605981264,0.15091261850200421,0.07502634481041626,0.1577467825565888,0.10904407087007106,0.1418585639643506
2024-02-29,0.1298136258828244,0.15983887460924917,0.08202870194275924,0.16428045875308994,0.11774503559631744,0.14619884214338308
2024-03-31,0.14530558432364193,0.16741164019341603,0.10690552083865179,0.17317627648912248,0.11320128206059255,0.14946779736396199
2024-04-30,0.11845788177954608,0.15802900966637212,0.08525219668995265,0.16275038556016086,0.07932470009140458,0.13095237290050177
2024-05-31,0.12947308153393577,0.17649938290159106,0.10149644383153733,0.1952183977962294,0.09483246903077469,0.15732058523208403
2024-06-30,0.13689216312760544,0.17182040515634633,0.10504494682413235,0.1832973187660658,0.09940097274631565,0.14979942664071122
2024-07-31,0.1317496276896144,0.17127116556852107,0.10936579072446206,0.17875854482151277,0.0949818681905481,0.14911671109956726
2024-08-31,0.13010987729006573,0.17352595506526947,0.11002058944729742,0.1821145473668786,0.09271080459067926,0.15834232570874973
2024-09-30,0.1554796897742421,0.1809570644156202,0.13851946158603523,0.1928997478955934,0.11795301734437014,0.15869357292483333
2024-10-31,0.13828430192706498,0.17995457816159344,0.1087268122806373,0.18525523062306593,0.08970568971170834,0.15157162485455022
2024-11-30,0.15561422774255806,0.18581248619885238,0.1278145808786728,0.19037682683597223,0.11394140430516297,0.15673407943151463
2024-12-31,0.14062713570481256,0.17511541071088566,0.10987689251601163,0.1693987392201326,0.08840822056622333,0.1445384811112227
2025-01-31,0.1762692735618192,0.17968496927826916,0.1398512373191434,0.18117806815553839,0.11807823555908992,0.15071398464344998
2025-02-28,0.17523158124539306,0.19369452959965439,0.1365986891878841,0.19863061968346618,0.1245014525343453,0.16686711177634872
2025-03-31,0.15526225850283648,0.2065785693833042,0.11472004350456677,0.23373786041053868,0.08972882000866611,0.18475142417906398
2025-04-30,0.19456014412282507,0.18524061408979597,0.14923656903456695,0.18730234783814526,0.12035639823126099,0.15474835664384834
2025-05-31,0.22166511528742228,0.1890293003958956,0.17303415611241668,0.18609625287816933,0.14249183497899387,0.15807979419851703
2025-06-30,0.27013980982000607,0.1922338562115231,0.24692189520248897,0.1896185957949148,0.1955440592593054,0.1656389512950185
2025-07-31,0.2528887031478593,0.17810229755810347,0.22395733660586004,0.17263835959399376,0.16979419313280752,0.15763458471148883
2025-08-31,0.2757843045099784,0.16944409562919294,0.26110931887251265,0.1648426013048847,0.19420933607202273,0.14676792767870994
2025-09-30,0.3335084709570031,0.19436792413834825,0.34066371981405275,0.2033178439220742,0.24792885896504058,0.16367146923058096
2025-10-31,0.3134569813324315,0.20696674294059814,0.32774054159035204,0.21605824240565807,0.22542868705072516,0.1750862534236115
2025-11-30,0.29470890314660947,0.19595277027721703,0.28953436510159025,0.19389276841480974,0.20430948935897497,0.15151644609378612
2025-12-31,0.30813885087710013,0.18563218057139563,0.32237831461289224,0.18441230918106877,0.2287006313153388,0.14335100330631323
2026-01-31,0.3104409834712929,0.19841903518000437,0.3206826232095119,0.1987066582486523,0.2098594479156477,0.14905290895748258
2026-02-28,0.33815170980666176,0.20758157546567535,0.3731182943690754,0.2058848827569919,0.2166473615158424,0.1407853307592668
2026-03-31,0.28592485788735145,0.18947315739942083,0.30264369281729997,0.18882866720396008,0.18185268890915807,0.1193061878155317
2026-04-30,0.32474505296071277,0.20376535301386078,0.3558970890973785,0.2081905240852604,0.2154301734371622,0.13017903205014325
2026-05-31,0.3604885704887737,0.21551287829512655,0.39083443028296116,0.22379688735984504,0.23449109786499656,0.1403379226933119
2026-06-30,0.34105739093718546,0.2077454106665655,0.35333459662819156,0.20868984293164994,0.2047610261363213,0.1329439903889622
2026-07-31,0.3059917905192677,0.19034154258169322,0.3012725326227699,0.1959604287864467,0.18918666041706422,0.12595379606053547
