roll_period_years,portfolio,metric,pv_pct,internal_pct,delta_pct_points
1,provided,average,21.22,21.197884719430263,-0.022115280569735773
1,provided,high,81.63,81.48979260644266,-0.1402073935573327
1,provided,low,-19.44,-19.493244984333224,-0.053244984333222334
1,optimized,average,19.33,19.312691123061533,-0.017308876938464834
1,optimized,high,46.78,46.91830340589252,0.13830340589252188
1,optimized,low,-12.33,-12.369219178634127,-0.03921917863412716
1,benchmark,average,15.78,15.762014142303398,-0.017985857696601215
1,benchmark,high,56.25,56.23112067273426,-0.018879327265743484
1,benchmark,low,-18.17,-18.175369365014948,-0.005369365014946226
3,provided,average,17.83,17.811634990938593,-0.018365009061405146
3,provided,high,39.07,39.08344160488746,0.013441604887461267
3,provided,low,4.13,4.126681890533757,-0.0033181094662433352
3,optimized,average,17.17,17.13477101258062,-0.035228987419380076
3,optimized,high,35.98,36.04883961716902,0.06883961716902576
3,optimized,low,7.03,6.891211679871301,-0.13878832012869946
3,benchmark,average,14.3,14.290087263887251,-0.009912736112749343
3,benchmark,high,25.99,25.9688234417232,-0.02117655827679954
3,benchmark,low,5.05,5.043489835912296,-0.006510164087703885
5,provided,average,17.07,17.045588884279084,-0.024411115720916143
5,provided,high,23.4,23.373787096839926,-0.026212903160072187
5,provided,low,10.19,10.15361499699161,-0.036385003008389205
5,optimized,average,16.17,16.114413122098274,-0.055586877901728116
5,optimized,high,21.55,21.551285227902707,0.001285227902705799
5,optimized,low,10.16,10.087736502905576,-0.07226349709442381
5,benchmark,average,14.09,14.076002322207358,-0.013997677792641383
5,benchmark,high,18.81,18.80012511027722,-0.00987488972277717
5,benchmark,low,9.16,9.150790573065738,-0.00920942693426241
7,provided,average,17.61,17.591122690495038,-0.018877309504961914
7,provided,high,25.91,25.885658470598628,-0.02434152940137224
7,provided,low,13.09,13.207776256883609,0.11777625688360871
7,optimized,average,16.94,16.90351138621799,-0.03648861378201218
7,optimized,high,22.58,22.54739985881511,-0.032600141184889964
7,optimized,low,12.02,11.970128056276996,-0.0498719437230033
7,benchmark,average,14.2,14.190155457489354,-0.009844542510645482
7,benchmark,high,17.28,17.27327422150198,-0.006725778498022805
7,benchmark,low,12.09,12.081053999186242,-0.008946000813757848
