series,QQQ,SPMO,GDX,GLD,SLV,AIA,XLE,optimized,provided,benchmark
QQQ,1.0,0.8296555700318647,0.16929457884252527,0.07039149660958788,0.22096625455438731,0.5937767504090159,0.28847955664051217,0.8577932033509484,0.8257821445661196,0.9117136484038262
SPMO,0.8296555700318647,1.0,0.14191778686415218,0.011543380745585651,0.19303467792473245,0.4910133960328067,0.33337551359258405,0.8821759562637181,0.7460110024887933,0.85094446081714
GDX,0.16929457884252527,0.14191778686415218,1.0,0.8396180650690183,0.729904371946247,0.3286982780656562,0.19259577408605397,0.5109301602663199,0.5699773592237836,0.25158709317389266
GLD,0.07039149660958788,0.011543380745585651,0.8396180650690183,1.0,0.7605340679467951,0.3215963459549655,-0.024564315767408383,0.4347002710682513,0.4195662117853216,0.1001314250418973
SLV,0.22096625455438731,0.19303467792473245,0.729904371946247,0.7605340679467951,1.0,0.39343379787437727,0.1567561099255844,0.5104458131295916,0.5917347060461727,0.27606887506911626
AIA,0.5937767504090159,0.4910133960328067,0.3286982780656562,0.3215963459549655,0.39343379787437727,1.0,0.27028516522714086,0.6306049765488226,0.7447223257257551,0.5817740090016191
XLE,0.28847955664051217,0.33337551359258405,0.19259577408605397,-0.024564315767408383,0.1567561099255844,0.27028516522714086,1.0,0.3721531530527089,0.566309600573397,0.5346888400438262
optimized,0.8577932033509484,0.8821759562637181,0.5109301602663199,0.4347002710682513,0.5104458131295916,0.6306049765488226,0.3721531530527089,1.0,0.9258879110387517,0.8781627712773719
provided,0.8257821445661196,0.7460110024887933,0.5699773592237836,0.4195662117853216,0.5917347060461727,0.7447223257257551,0.566309600573397,0.9258879110387517,1.0,0.8804231723287503
benchmark,0.9117136484038262,0.85094446081714,0.25158709317389266,0.1001314250418973,0.27606887506911626,0.5817740090016191,0.5346888400438262,0.8781627712773719,0.8804231723287503,1.0
