date,optimized,optimized,provided,provided
,36m,60m,36m,60m
2011-12-31,,,,
2012-01-31,,,,
2012-02-29,,,,
2012-03-31,,,,
2012-04-30,,,,
2012-05-31,,,,
2012-06-30,,,,
2012-07-31,,,,
2012-08-31,,,,
2012-09-30,,,,
2012-10-31,,,,
2012-11-30,,,,
2012-12-31,,,,
2013-01-31,,,,
2013-02-28,,,,
2013-03-31,,,,
2013-04-30,,,,
2013-05-31,,,,
2013-06-30,,,,
2013-07-31,,,,
2013-08-31,,,,
2013-09-30,,,,
2013-10-31,,,,
2013-11-30,,,,
2013-12-31,,,,
2014-01-31,,,,
2014-02-28,,,,
2014-03-31,,,,
2014-04-30,,,,
2014-05-31,,,,
2014-06-30,,,,
2014-07-31,,,,
2014-08-31,,,,
2014-09-30,,,,
2014-10-31,,,,
2014-11-30,0.15991803968267781,,0.10659409590450108,
2014-12-31,0.16387496887622555,,0.112269002686473,
2015-01-31,0.1338063760870043,,0.08356985842058395,
2015-02-28,0.1347505738203909,,0.08465558908722937,
2015-03-31,0.11475894443671208,,0.080204510567639,
2015-04-30,0.12242679517732702,,0.09033304274418508,
2015-05-31,0.15441241042521447,,0.11168871433291994,
2015-06-30,0.13288289970007527,,0.090575143323681,
2015-07-31,0.13560611251261978,,0.08176916036583637,
2015-08-31,0.10220809741479497,,0.055187985524088434,
2015-09-30,0.08633260712444524,,0.04178389654707915,
2015-10-31,0.13159822993979642,,0.07486147627135886,
2015-11-30,0.12564358883372262,,0.06267636178031522,
2015-12-31,0.1217896974028656,,0.0554820956416886,
2016-01-31,0.0962711830069487,,0.03587914728493624,
2016-02-29,0.10210430668523607,,0.04075439240058776,
2016-03-31,0.1109617409109327,,0.0592257314328819,
2016-04-30,0.10732240684011818,,0.05822107055778303,
2016-05-31,0.10805141029931775,,0.05737373623457187,
2016-06-30,0.1243478759395431,,0.08090157432771083,
2016-07-31,0.12055026792012136,,0.08077779116061046,
2016-08-31,0.12102925590172009,,0.07899989369657079,
2016-09-30,0.11633387267753093,,0.07457570401811808,
2016-10-31,0.09556825549063563,,0.05525863271437714,
2016-11-30,0.08884359053139468,0.11626327292497685,0.05206113665499701,0.07547113337167222
2016-12-31,0.08624576913035509,0.12258806758309548,0.04739036046047551,0.07913476611456849
2017-01-31,0.1063374931522223,0.11489033024865414,0.07441021924906877,0.07387801148530238
2017-02-28,0.1022614915184119,0.1148849131695755,0.07139657331362947,0.0732305098810686
2017-03-31,0.11212935131131774,0.10983654911699792,0.08045380701038396,0.07398421700131741
2017-04-30,0.11892092751035555,0.11607351104169417,0.08482795448960534,0.07657995657310823
2017-05-31,0.11879303037731037,0.13669145659201853,0.08501843786024588,0.0970997411345722
2017-06-30,0.10140609266594836,0.12576072780606085,0.07605611971615844,0.09137961095461411
2017-07-31,0.11457954041246432,0.13035934855907438,0.08570209088460201,0.09611508250822465
2017-08-31,0.10771986972511338,0.12513391761183912,0.08392527791140525,0.09616603018621372
2017-09-30,0.11452708465196682,0.12012876565576658,0.0948836155930799,0.08930804954709859
2017-10-31,0.11967083567773185,0.13522477327446114,0.10214935944601766,0.1022164179544447
2017-11-30,0.11591663000513552,0.1380653716515734,0.10213042281827733,0.1022268090980889
2017-12-31,0.12348931674129338,0.14142453364935115,0.11077924047191545,0.10462153952835918
2018-01-31,0.1495794069968419,0.14995485131701325,0.13140070196960374,0.11235637514904306
2018-02-28,0.12536932143867308,0.1457683902534399,0.10542301279576405,0.10607196004256236
2018-03-31,0.12264529598533436,0.13286694298917023,0.1016400189243194,0.1015965073568259
2018-04-30,0.11893246818574243,0.13235405013940404,0.09031362997365666,0.10122491873299633
2018-05-31,0.12530387090403083,0.13678806124637943,0.10059163580736818,0.10561809932825805
2018-06-30,0.1338360229626292,0.14551494916350483,0.10699613779047668,0.11270068759151375
2018-07-31,0.13527494809182627,0.13671046369215833,0.11305790304877728,0.10431587370274609
2018-08-31,0.1666638348509668,0.14493905906224613,0.13683443001113615,0.10568829280062486
2018-09-30,0.17520446848941806,0.13907935899779567,0.14183857953855084,0.09935190706068942
2018-10-31,0.11907741289860052,0.11638837095915333,0.0887810890888796,0.07653940268534187
2018-11-30,0.12413247765496638,0.11381208168711487,0.10401714841524767,0.07823584649849957
2018-12-31,0.10577343101555114,0.09627865395193647,0.09048547282197328,0.06542027732343758
2019-01-31,0.14851922992515854,0.11557846927467064,0.13231464497291356,0.08680824607690862
2019-02-28,0.1529462344669137,0.10963525975247723,0.1365255250919839,0.0827855281199823
2019-03-31,0.14134994048689986,0.11835613524142774,0.12135039017001947,0.0897041473781226
2019-04-30,0.1580386423663167,0.12662666100646125,0.13110467653522728,0.09448065820621676
2019-05-31,0.12934574688021883,0.10799635155994358,0.108166033314399,0.07467383077680156
2019-06-30,0.1543360418428097,0.11661271375891569,0.12418119686224216,0.08293218369615984
2019-07-31,0.14157747500511153,0.12139743444290185,0.10791204754739914,0.08096931583680589
