portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2022-01-31,2022-09-30,2023-07-31,-0.1840539458081054,19
optimized,2,2020-02-29,2020-03-31,2020-05-31,-0.12210815326547808,4
optimized,3,2018-10-31,2018-12-31,2019-03-31,-0.09301702290427094,6
optimized,4,2026-03-31,2026-03-31,2026-04-30,-0.06888195167204969,2
optimized,5,2020-09-30,2020-10-31,2020-12-31,-0.06827334369493132,4
optimized,6,2026-06-30,2026-07-31,,-0.062399472778183585,2
optimized,7,2016-10-31,2016-11-30,2017-02-28,-0.04825515872273245,5
optimized,8,2021-09-30,2021-09-30,2021-10-31,-0.040926995207477335,2
optimized,9,2018-02-28,2018-03-31,2018-07-31,-0.03942254198965467,6
optimized,10,2015-12-31,2016-01-31,2016-03-31,-0.03386109247924607,4
optimized,11,2023-09-30,2023-09-30,2023-11-30,-0.03132464551103509,3
optimized,12,2019-05-31,2019-05-31,2019-06-30,-0.026841773414008507,2
optimized,13,2021-01-31,2021-02-28,2021-04-30,-0.026185952821162872,4
optimized,14,2024-04-30,2024-04-30,2024-05-31,-0.02312859640145848,2
optimized,15,2024-12-31,2024-12-31,2025-01-31,-0.015664748368638626,2
optimized,16,2025-03-31,2025-03-31,2025-04-30,-0.014061741547051754,2
optimized,17,2021-11-30,2021-11-30,2021-12-31,-0.011818207682259496,2
optimized,18,2016-05-31,2016-05-31,2016-06-30,-0.01141787632096447,2
optimized,19,2016-08-31,2016-08-31,2016-09-30,-0.010047740148450002,2
optimized,20,2019-09-30,2019-09-30,2019-10-31,-0.0074177737553168255,2
optimized,21,2017-06-30,2017-06-30,2017-07-31,-0.005644037573143246,2
optimized,22,2017-03-31,2017-03-31,2017-04-30,-0.0053608306193885236,2
optimized,23,2017-09-30,2017-09-30,2017-10-31,-0.0031754371810081006,2
provided,1,2022-04-30,2022-09-30,2023-06-30,-0.22478055817450915,15
provided,2,2020-01-31,2020-03-31,2020-06-30,-0.20415332632363825,6
provided,3,2018-02-28,2018-12-31,2019-04-30,-0.11929580213627211,15
provided,4,2020-09-30,2020-10-31,2020-12-31,-0.09099174751213868,4
provided,5,2023-08-31,2023-10-31,2023-12-31,-0.07743373235091722,5
provided,6,2015-12-31,2016-01-31,2016-03-31,-0.070269464298085,4
provided,7,2026-06-30,2026-07-31,,-0.06861856054995974,2
provided,8,2019-05-31,2019-05-31,2019-06-30,-0.06587367026027058,2
provided,9,2026-03-31,2026-03-31,2026-04-30,-0.06554134377520304,2
provided,10,2021-07-31,2021-09-30,2021-10-31,-0.046730401882999706,4
provided,11,2016-10-31,2016-11-30,2017-01-31,-0.039756096301162724,4
provided,12,2024-12-31,2024-12-31,2025-01-31,-0.02866834602228574,2
provided,13,2025-03-31,2025-04-30,2025-05-31,-0.024390965765227257,3
provided,14,2022-01-31,2022-01-31,2022-03-31,-0.02046605644646382,3
provided,15,2016-08-31,2016-08-31,2016-09-30,-0.01485089576472487,2
provided,16,2021-11-30,2021-11-30,2021-12-31,-0.013381050777464099,2
provided,17,2024-04-30,2024-04-30,2024-05-31,-0.012186862469886095,2
provided,18,2017-06-30,2017-06-30,2017-07-31,-0.011317250696667003,2
provided,19,2024-01-31,2024-01-31,2024-02-29,-0.011243319411036179,2
provided,20,2016-05-31,2016-05-31,2016-06-30,-0.007285540335477569,2
provided,21,2019-08-31,2019-09-30,2019-10-31,-0.005251266113484698,3
benchmark,1,2022-01-31,2022-09-30,2023-12-31,-0.23927163536917273,24
benchmark,2,2020-01-31,2020-03-31,2020-07-31,-0.19447678313310157,7
benchmark,3,2018-10-31,2018-12-31,2019-04-30,-0.1353211759030819,7
benchmark,4,2025-02-28,2025-04-30,2025-06-30,-0.0757898363515298,5
benchmark,5,2015-12-31,2016-02-29,2016-05-31,-0.06697985106321347,6
benchmark,6,2019-05-31,2019-05-31,2019-06-30,-0.06377137134107569,2
benchmark,7,2018-02-28,2018-03-31,2018-07-31,-0.06277413577040403,6
benchmark,8,2020-09-30,2020-10-31,2020-11-30,-0.06144355556263903,3
benchmark,9,2026-02-28,2026-03-31,2026-04-30,-0.05759478882587632,3
benchmark,10,2021-09-30,2021-09-30,2021-10-31,-0.04660548041327417,2
benchmark,11,2024-04-30,2024-04-30,2024-05-31,-0.04031962876347306,2
benchmark,12,2024-12-31,2024-12-31,2025-01-31,-0.024060273804935917,2
benchmark,13,2016-10-31,2016-10-31,2016-11-30,-0.01733710904365915,2
benchmark,14,2019-08-31,2019-08-31,2019-09-30,-0.016743119735210144,2
benchmark,15,2026-06-30,2026-06-30,,-0.010292566443839024,2
benchmark,16,2021-01-31,2021-01-31,2021-02-28,-0.01019036388066119,2
benchmark,17,2024-10-31,2024-10-31,2024-11-30,-0.008923538766048789,2
benchmark,18,2021-11-30,2021-11-30,2021-12-31,-0.008034704366536194,2
