series,SPY,QQQ,TLT,GLD,CPER,MCHI,EWY,optimized,provided,benchmark
SPY,1.0,0.9119967379424558,0.056598142544186054,0.0965270853788151,0.4346190067540511,0.3623823520936644,0.6059565873086099,0.937490647376569,0.8751246711928774,1.0
QQQ,0.9119967379424558,1.0,0.12928948544665766,0.09356718350403914,0.34674109042296686,0.3410822317847172,0.6112985166355414,0.9652658321905728,0.8828640184072801,0.9119967379424558
TLT,0.056598142544186054,0.12928948544665766,1.0,0.2868239813432121,-0.11806484900197144,0.08371354083412941,0.1655939026775246,0.16587383235722564,0.23692816342399167,0.05659814254418608
GLD,0.0965270853788151,0.09356718350403914,0.2868239813432121,1.0,0.3235376882688775,0.2586691230639253,0.315581710417076,0.3140581878992057,0.37975811101318785,0.09652708537881512
CPER,0.4346190067540511,0.34674109042296686,-0.11806484900197144,0.3235376882688775,1.0,0.46119458269205715,0.4644922705593951,0.43781176158535,0.6041749834187684,0.4346190067540511
MCHI,0.3623823520936644,0.3410822317847172,0.08371354083412941,0.2586691230639253,0.46119458269205715,1.0,0.4002682939692262,0.3962632952188241,0.5979930425340203,0.3623823520936643
EWY,0.6059565873086099,0.6112985166355414,0.1655939026775246,0.315581710417076,0.4644922705593951,0.4002682939692262,1.0,0.6631868041518812,0.7992725970514828,0.6059565873086099
optimized,0.937490647376569,0.9652658321905728,0.16587383235722564,0.3140581878992057,0.43781176158535,0.3962632952188241,0.6631868041518812,1.0,0.9409157229849457,0.937490647376569
provided,0.8751246711928774,0.8828640184072801,0.23692816342399167,0.37975811101318785,0.6041749834187684,0.5979930425340203,0.7992725970514828,0.9409157229849457,1.0,0.8751246711928775
benchmark,1.0,0.9119967379424558,0.05659814254418608,0.09652708537881512,0.4346190067540511,0.3623823520936643,0.6059565873086099,0.937490647376569,0.8751246711928775,1.0
