date,portfolio,ticker,cumulative_active_contribution
2020-01-31,Growth 70/30,QQQ,0.021551653350194044
2020-02-29,Growth 70/30,QQQ,0.03456549089644813
2020-03-31,Growth 70/30,QQQ,0.07097476429027907
2020-04-30,Growth 70/30,QQQ,0.08690212121200601
2020-05-31,Growth 70/30,QQQ,0.09975670646416585
2020-06-30,Growth 70/30,QQQ,0.13134931656738066
2020-07-31,Growth 70/30,QQQ,0.1415507937758557
2020-08-31,Growth 70/30,QQQ,0.16930608864483504
2020-09-30,Growth 70/30,QQQ,0.15506611684457133
2020-10-31,Growth 70/30,QQQ,0.15120537116702942
2020-11-30,Growth 70/30,QQQ,0.15364213161072202
2020-12-31,Growth 70/30,QQQ,0.1620250640521661
2021-01-31,Growth 70/30,QQQ,0.1709878602375324
2021-02-28,Growth 70/30,QQQ,0.15058938127687385
2021-03-31,Growth 70/30,QQQ,0.13082748907297065
2021-04-30,Growth 70/30,QQQ,0.13515880165626507
2021-05-31,Growth 70/30,QQQ,0.12215405924044015
2021-06-30,Growth 70/30,QQQ,0.15028985283205376
2021-07-31,Growth 70/30,QQQ,0.15322745181257477
2021-08-31,Growth 70/30,QQQ,0.161926295910558
2021-09-30,Growth 70/30,QQQ,0.15476792981884763
2021-10-31,Growth 70/30,QQQ,0.16070157655229067
2021-11-30,Growth 70/30,QQQ,0.18030383978088635
2021-12-31,Growth 70/30,QQQ,0.15599679337432776
2022-01-31,Growth 70/30,QQQ,0.13168668889958224
2022-02-28,Growth 70/30,QQQ,0.12101670761519787
2022-03-31,Growth 70/30,QQQ,0.1273785158227816
2022-04-30,Growth 70/30,QQQ,0.09364673446749214
2022-05-31,Growth 70/30,QQQ,0.08096040986296396
2022-06-30,Growth 70/30,QQQ,0.07632758211950712
2022-07-31,Growth 70/30,QQQ,0.09972828960763888
2022-08-31,Growth 70/30,QQQ,0.09236443447451559
2022-09-30,Growth 70/30,QQQ,0.08332783540065684
2022-10-31,Growth 70/30,QQQ,0.054434086303453144
2022-11-30,Growth 70/30,QQQ,0.054329121719377496
2022-12-31,Growth 70/30,QQQ,0.03157300665324991
2023-01-31,Growth 70/30,QQQ,0.06205258326866636
2023-02-28,Growth 70/30,QQQ,0.07713374198605215
2023-03-31,Growth 70/30,QQQ,0.11762836930917359
2023-04-30,Growth 70/30,QQQ,0.110001454867276
2023-05-31,Growth 70/30,QQQ,0.16195672902651917
2023-06-30,Growth 70/30,QQQ,0.1607236766378388
2023-07-31,Growth 70/30,QQQ,0.16483109328022805
2023-08-31,Growth 70/30,QQQ,0.16582655698285756
2023-09-30,Growth 70/30,QQQ,0.16347156153311657
2023-10-31,Growth 70/30,QQQ,0.16420907775627064
2023-11-30,Growth 70/30,QQQ,0.17600032883616828
2023-12-31,Growth 70/30,QQQ,0.18315019909627295
2024-01-31,Growth 70/30,QQQ,0.18473629770548722
2024-02-29,Growth 70/30,QQQ,0.18518882095425976
2024-03-31,Growth 70/30,QQQ,0.17122225620642895
2024-04-30,Growth 70/30,QQQ,0.16882955736529962
2024-05-31,Growth 70/30,QQQ,0.17648651261872947
2024-06-30,Growth 70/30,QQQ,0.19708136775218207
2024-07-31,Growth 70/30,QQQ,0.17685822596180076
2024-08-31,Growth 70/30,QQQ,0.16822937000923338
2024-09-30,Growth 70/30,QQQ,0.17187727857695131
2024-10-31,Growth 70/30,QQQ,0.1720713503599009
2024-11-30,Growth 70/30,QQQ,0.16778378578438766
2024-12-31,Growth 70/30,QQQ,0.18780409773481913
2025-01-31,Growth 70/30,QQQ,0.1841483274128316
2025-02-28,Growth 70/30,QQQ,0.17411048312856714
2025-03-31,Growth 70/30,QQQ,0.1600107429253601
2025-04-30,Growth 70/30,QQQ,0.17585755347191667
2025-05-31,Growth 70/30,QQQ,0.19611416918541458
2025-06-30,Growth 70/30,QQQ,0.20484448724751322
