portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
Growth 70/30,1,2022-01-31,2022-09-30,2023-07-31,-0.25764778477334993,19
Growth 70/30,2,2020-02-29,2020-03-31,2020-04-30,-0.09368899310024092,3
Growth 70/30,3,2020-09-30,2020-10-31,2020-12-31,-0.07462570816981695,4
Growth 70/30,4,2023-08-31,2023-09-30,2023-11-30,-0.06334666639416897,4
Growth 70/30,5,2021-09-30,2021-09-30,2021-10-31,-0.04945263302411196,2
Growth 70/30,6,2025-02-28,2025-03-31,2025-05-31,-0.03788955790155313,4
Growth 70/30,7,2021-01-31,2021-02-28,2021-04-30,-0.027392570364583202,4
Growth 70/30,8,2024-04-30,2024-04-30,2024-05-31,-0.021647947054515115,2
Growth 70/30,9,2024-12-31,2024-12-31,2025-01-31,-0.0010482828090156993,2
Balanced 50/50,1,2022-01-31,2022-09-30,2023-06-30,-0.21183340924777672,18
Balanced 50/50,2,2020-02-29,2020-03-31,2020-04-30,-0.06975266678485226,3
Balanced 50/50,3,2020-09-30,2020-10-31,2020-12-31,-0.06668511875078231,4
Balanced 50/50,4,2023-08-31,2023-09-30,2023-11-30,-0.062326904398237626,4
Balanced 50/50,5,2021-01-31,2021-02-28,2021-04-30,-0.046290926152656287,4
Balanced 50/50,6,2021-09-30,2021-09-30,2021-10-31,-0.044533383374148916,2
Balanced 50/50,7,2024-04-30,2024-04-30,2024-05-31,-0.0069213984474676415,2
Balanced 50/50,8,2024-12-31,2024-12-31,2025-01-31,-0.004774055416794654,2
Balanced 50/50,9,2021-06-30,2021-06-30,2021-07-31,-0.004427628294215391,2
Balanced 50/50,10,2025-02-28,2025-02-28,2025-03-31,-0.004409187003626691,2
benchmark,1,2022-01-31,2022-09-30,2023-12-31,-0.23927170365660066,24
benchmark,2,2020-02-29,2020-03-31,2020-07-31,-0.19415136502455255,6
benchmark,3,2025-02-28,2025-04-30,2025-06-30,-0.07578993950540802,5
benchmark,4,2020-09-30,2020-10-31,2020-11-30,-0.061443472352652684,3
benchmark,5,2021-09-30,2021-09-30,2021-10-31,-0.04660527022518435,2
benchmark,6,2024-04-30,2024-04-30,2024-05-31,-0.04031962876347317,2
benchmark,7,2024-12-31,2024-12-31,2025-01-31,-0.02406006954082074,2
benchmark,8,2021-01-31,2021-01-31,2021-02-28,-0.010190540587581731,2
benchmark,9,2024-10-31,2024-10-31,2024-11-30,-0.008923538766048789,2
benchmark,10,2021-11-30,2021-11-30,2021-12-31,-0.008034704935967918,2
