date,Growth 70/30_balance,Balanced 50/50_balance,benchmark_balance
2020-01-01,10000.0,10000.0,10000.0
2020-01-31,10347.67811092085,10376.903103506045,9995.959859897428
2020-02-29,9889.167203845614,10029.608890598485,9204.624982628646
2020-03-31,9378.214567783272,9653.08643906849,8055.230608367708
2020-04-30,10565.48841741304,10726.257125974926,9078.113674813241
2020-05-31,11135.71657787391,11219.078644273899,9510.643751180627
2020-06-30,11717.220502694323,11725.303696031964,9679.30815825366
2020-07-31,12699.091018376554,12788.613476141805,10249.341344821587
2020-08-31,13659.680023041308,13467.762607547555,10964.712434394532
2020-09-30,12936.201259443143,12797.739837488043,10554.156600989772
2020-10-31,12640.316727948748,12569.663258755902,10291.002429077025
2020-11-30,13428.497571840304,12935.261010775883,11410.422895736092
2020-12-31,14171.879139464656,13705.961891455823,11833.162601700438
2021-01-31,14060.74279287659,13502.944277733384,11712.576277928354
2021-02-28,13783.674942938502,13071.50022168732,12038.25380235019
2021-03-31,13902.04272492531,13108.980806230331,12584.77948990215
2021-04-30,14625.76672407488,13729.900598460637,13250.646380808379
2021-05-31,14839.692407279677,14174.554630971083,13337.65086032932
2021-06-30,15171.982336389072,14111.794971829095,13636.779338448903
2021-07-31,15590.967591561195,14492.154898896108,13969.690419583738
2021-08-31,16047.796571422277,14792.29421878545,14385.422292419598
2021-09-30,15254.190776730129,14133.54330935707,13714.985799177992
2021-10-31,16161.618586291426,14793.842130493791,14677.27456559132
2021-11-30,16354.067482466093,14890.504167036273,14559.346995192607
2021-12-31,16647.847033047834,15221.925204327381,15232.684608605707
2022-01-31,15544.671491642246,14428.423607939665,14429.291723080227
2022-02-28,15343.110844374824,14547.152633969576,14003.385645727561
2022-03-31,15903.022336606848,14979.233499783853,14529.777205621078
2022-04-30,14290.758206424045,13805.908275264566,13254.512807368948
2022-05-31,13992.211135773367,13471.242112950837,13284.431064225328
2022-06-30,13053.990462194788,12765.763482159911,12188.99034776827
2022-07-31,14099.583305056776,13401.72607601725,13311.445080307665
2022-08-31,13468.554606947055,12860.5984174442,12768.313568130241
2022-09-30,12358.566123737473,11997.41289298005,11587.93421104094
2022-10-31,12638.434987721967,12130.309743929012,12529.748704117781
2022-11-30,13450.892841881765,12981.616200361921,13226.296319103663
2022-12-31,12720.456374792928,12586.777145190143,12464.088105844183
2023-01-31,13887.921072647709,13619.032698675654,13247.92209478144
2023-02-28,13629.30655468179,13229.023209632429,12914.833139301203
2023-03-31,14858.636128750646,14380.53434430608,13393.687520335929
2023-04-30,14949.905766444528,14479.060935724332,13607.649553837051
2023-05-31,15714.752633205064,14952.657491171076,13670.465202785075
2023-06-30,16303.470431121028,15257.876094945908,14556.309608709727
2023-07-31,16855.941897199184,15726.962026259123,15032.786090600663
2023-08-31,16616.34512968404,15509.868904197763,14788.469956086883
2023-09-30,15788.174169077813,14746.749167573758,14086.989708668869
2023-10-31,15909.091685066207,15138.047688270626,13781.181060688648
2023-11-30,17234.73196688657,16148.528015197737,15040.005084501758
2023-12-31,17975.050748100137,16703.155247072293,15726.66351000382
2024-01-31,18127.228764239837,16736.260860574595,15977.131392346284
2024-02-29,18822.452605435705,17216.566210877936,16810.929348726087
2024-03-31,19479.915873311773,18072.512759878784,17360.678618713133
2024-04-30,19058.215685859912,17947.425698120718,16660.702501724652
2024-05-31,19971.475515333103,18644.749418704738,17503.395215575387
2024-06-30,20867.931614036173,19235.362137852742,18120.916691562143
2024-07-31,20958.807881000557,19590.166828757618,18340.344980531605
2024-08-31,21252.31143603008,19903.229236001316,18768.878605232134
2024-09-30,21966.765899979433,20670.54330325464,19163.112647094807
2024-10-31,22117.14249049015,21025.530884355267,18992.109868510295
2024-11-30,22738.26578111104,21259.6170824482,20124.672232712077
2024-12-31,22714.42964798587,21158.122492356757,19640.4712193068
2025-01-31,23520.8048378151,22104.842699278295,20167.944588084632
2025-02-28,23204.22989198616,22007.378314131423,19911.915791996453
2025-03-31,22629.611941021572,22212.091629220155,18802.43756506457
2025-04-30,23219.136082666533,22969.66285002469,18639.417287805278
2025-05-31,24707.024790914555,24017.34932831874,19810.812430150523
2025-06-30,25841.474388373128,24832.851603092335,20828.81539430687
2025-07-31,26232.341094157277,25057.619721263203,21308.533142047345
2025-08-31,26800.01378992953,25802.010621571084,21745.773247864894
2025-09-30,28753.970453332295,28012.55100085613,22520.36505224722
2025-10-31,30023.134305334228,29180.542363586344,23057.19606787436
2025-11-30,30178.53701060254,29735.95999066148,23102.155629026103
2025-12-31,30468.8880816059,30181.471545303397,23293.155228756812
