date,KODEX 200 100%_balance
2020-01-01,10000.0
2020-01-31,9709.223955324474
2020-02-29,9145.388022337762
2020-03-31,8100.5199306759105
2020-04-30,8829.193144617755
2020-05-31,9156.556903523975
2020-06-30,9599.46081263239
2020-07-31,10254.18833044483
2020-08-31,10533.025226266129
2020-09-30,10649.33564413634
2020-10-31,10342.383978432508
2020-11-30,11903.331407664165
2020-12-31,13556.325823223575
2021-01-31,14129.790102060471
2021-02-28,14329.289428076261
2021-03-31,14494.896976699409
2021-04-30,14760.254188330451
2021-05-31,14922.780666281538
2021-06-30,15318.313113807053
2021-07-31,14846.524167148089
2021-08-31,14670.518005006745
2021-09-30,14045.44579241287
2021-10-31,13595.609474292323
2021-11-30,13106.874638937035
2021-12-31,13961.871750433282
2022-01-31,12715.193529751594
2022-02-28,12839.206624301949
2022-03-31,13006.739842095134
2022-04-30,12635.085692278071
2022-05-31,12610.437126901603
2022-06-30,10985.172347390724
2022-07-31,11548.623146543428
2022-08-31,11493.163874446374
2022-09-30,10082.033506643562
2022-10-31,10723.281340265745
2022-11-30,11478.143654920088
2022-12-31,10590.025033699212
2023-01-31,11532.832659349126
2023-02-28,11442.326208357408
2023-03-31,11724.244174850764
2023-04-30,11862.507221259391
2023-05-31,12351.627190448684
2023-06-30,12347.77585210861
2023-07-31,12620.8357404198
2023-08-31,12234.161371076452
2023-09-30,11979.587906797617
2023-10-31,11208.549971114968
2023-11-30,12412.478336221844
2023-12-31,13222.414789139235
2024-01-31,12401.694588869641
2024-02-29,13136.915077989608
2024-03-31,13912.189485846338
2024-04-30,13599.075678798388
2024-05-31,13362.603504717896
2024-06-30,14303.100327363767
2024-07-31,14202.580396687856
2024-08-31,13522.434045830933
2024-09-30,12934.719815135766
2024-10-31,12741.382630464093
2024-11-30,12201.424995185835
2024-12-31,11984.97978047372
2025-01-31,12543.808973618337
2025-02-28,12668.977469670715
2025-03-31,12701.328711727328
2025-04-30,12887.73348738687
2025-05-31,13725.399576352786
2025-06-30,15837.088388214908
2025-07-31,16748.70017331023
2025-08-31,16472.17408049298
2025-09-30,18164.067013287124
2025-10-31,22225.688426728295
2025-11-30,21272.09705372618
2025-12-31,23277.488927402283
