portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
Sample Portfolio,1,2022-01-31,2022-09-30,2024-02-29,26,-22.245436356953128
Sample Portfolio,2,2020-02-29,2020-03-31,2020-05-31,4,-8.721323306412089
Sample Portfolio,3,2026-03-31,2026-03-31,2026-05-31,3,-6.209888350971527
Sample Portfolio,4,2020-09-30,2020-10-31,2020-12-31,4,-5.083201459216424
Sample Portfolio,5,2021-09-30,2021-09-30,2021-10-31,2,-4.113409012486191
Sample Portfolio,6,2026-06-30,2026-07-31,,2,-3.428675043154672
Sample Portfolio,7,2024-04-30,2024-04-30,2024-05-31,2,-3.056026390010025
Sample Portfolio,8,2024-12-31,2024-12-31,2025-01-31,2,-2.835610284516721
Sample Portfolio,9,2021-01-31,2021-02-28,2021-04-30,4,-2.647404313610313
Sample Portfolio,10,2025-03-31,2025-03-31,2025-05-31,3,-1.5324807263289886
Sample Portfolio,11,2024-10-31,2024-10-31,2024-11-30,2,-0.5637591935057862
Sample Portfolio,12,2021-11-30,2021-11-30,2021-12-31,2,-0.1800803026692277
Portfolio 2,1,2022-04-30,2022-09-30,2023-07-31,16,-22.346467953973082
Portfolio 2,2,2020-02-29,2020-03-31,2020-06-30,5,-17.392255265606295
Portfolio 2,3,2026-03-31,2026-03-31,2026-05-31,3,-8.447384930111813
Portfolio 2,4,2023-08-31,2023-10-31,2023-12-31,5,-8.331158205193134
Portfolio 2,5,2020-09-30,2020-10-31,2020-12-31,4,-7.566052660351918
Portfolio 2,6,2026-06-30,2026-07-31,,2,-6.5535331515497175
Portfolio 2,7,2021-06-30,2021-09-30,2021-10-31,5,-5.442834877605818
Portfolio 2,8,2024-12-31,2024-12-31,2025-01-31,2,-2.938864198971336
Portfolio 2,9,2024-01-31,2024-01-31,2024-02-29,2,-1.994922331787663
Portfolio 2,10,2021-11-30,2021-11-30,2021-12-31,2,-1.8738383619530063
Portfolio 2,11,2022-01-31,2022-01-31,2022-03-31,3,-1.5845556221757207
Portfolio 2,12,2025-04-30,2025-04-30,2025-05-31,2,-0.9499352661837213
Portfolio 2,13,2024-04-30,2024-04-30,2024-05-31,2,-0.336007670392402
Portfolio 3,1,2022-01-31,2022-09-30,2023-05-31,17,-20.051039000287428
Portfolio 3,2,2020-02-29,2020-03-31,2020-06-30,5,-17.946758213659443
Portfolio 3,3,2026-06-30,2026-07-31,,2,-8.43000445532377
Portfolio 3,4,2026-03-31,2026-03-31,2026-04-30,2,-8.328586667694903
Portfolio 3,5,2023-08-31,2023-10-31,2023-11-30,4,-7.497894784446046
Portfolio 3,6,2020-09-30,2020-10-31,2020-11-30,3,-7.269894086988494
Portfolio 3,7,2024-12-31,2024-12-31,2025-01-31,2,-2.7722501172367853
Portfolio 3,8,2021-09-30,2021-09-30,2021-10-31,2,-2.5796587068413923
Portfolio 3,9,2024-04-30,2024-04-30,2024-05-31,2,-2.151698870027452
Portfolio 3,10,2021-11-30,2021-11-30,2021-12-31,2,-1.3240843195641339
Portfolio 3,11,2025-02-28,2025-03-31,2025-05-31,4,-0.9626508791843569
Portfolio 3,12,2024-10-31,2024-10-31,2024-11-30,2,-0.776315941923178
Portfolio 3,13,2024-01-31,2024-01-31,2024-02-29,2,-0.44097238266770367
Portfolio 3,14,2021-07-31,2021-07-31,2021-08-31,2,-0.4252390187965083
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.927182389219894
benchmark,2,2020-02-29,2020-03-31,2020-07-31,6,-19.415131299348865
benchmark,3,2025-02-28,2025-04-30,2025-06-30,5,-7.578974101565727
benchmark,4,2020-09-30,2020-10-31,2020-11-30,3,-6.144356722069921
benchmark,5,2026-02-28,2026-03-31,2026-04-30,3,-5.75948723923958
benchmark,6,2021-09-30,2021-09-30,2021-10-31,2,-4.660541484392821
benchmark,7,2024-04-30,2024-04-30,2024-05-31,2,-4.031950892934977
benchmark,8,2024-12-31,2024-12-31,2025-01-31,2,-2.406017042926545
benchmark,9,2026-06-30,2026-07-31,,2,-1.702520238919547
benchmark,10,2021-01-31,2021-01-31,2021-02-28,2,-1.0190452682016349
benchmark,11,2024-10-31,2024-10-31,2024-11-30,2,-0.8923539734813524
benchmark,12,2021-11-30,2021-11-30,2021-12-31,2,-0.8034774668620681
