metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,20811.193680111537,32331.238757865478,31546.689848063106,25280.72469537463
CAGR,pct,11.776089069380081,19.511855477247607,19.066736449839382,15.12859856215778
Annualized Return,pct,11.949266539521826,19.44749012203708,19.008770560155764,15.606889507417696
Standard Deviation,pct,12.441398352842757,17.40830212649575,17.01900933307231,17.05198305440875
Best Year,pct,24.21619708969476,54.37907997287994,42.54505284616934,28.728778277901856
Worst Year,pct,-17.30655701040368,-9.956646577175633,-11.600908013744448,-18.175380540201335
Maximum Drawdown,pct,-22.245436356953128,-22.346467953973082,-20.051039000287428,-23.927182389219894
Sharpe Ratio (ex-post),ratio,0.732774133212213,0.9544272816347319,0.9504806418521407,0.7491420687604599
Sortino Ratio,ratio,1.1418618346071998,1.608274257625448,1.5763780592174221,1.195563284416815
