date,Sample Portfolio_balance,Portfolio 2_balance,Portfolio 3_balance,benchmark_balance
2020-01-01,10000.0,10000.0,10000.0,10000.0
2020-01-31,10241.394157527307,9881.404127277507,9939.140032232504,9995.96193987909
2020-02-29,9896.020167945497,9262.431720464561,9282.904001428034,9204.625940094618
2020-03-31,9348.206971760896,8162.805237244864,8155.387004275515,8055.231446273568
2020-04-30,10142.169644427684,9341.327379180031,9168.870694236271,9078.113578918537
2020-05-31,10415.641924523765,9837.790275996313,9742.447202537634,9510.642660076785
2020-06-30,10587.439960726339,10341.523715328676,10174.464152100814,9679.309165096221
2020-07-31,11290.325824599338,11417.547047348784,11052.602873213402,10249.343451160014
2020-08-31,11582.693969147267,12118.502106434546,11956.372076117148,10964.714615145926
2020-09-30,11247.143196801233,11318.217656374429,11267.893565436245,10554.156658633192
2020-10-31,10993.92198472278,11201.609293716554,11087.157099992563,10291.002459347123
2020-11-30,11571.350929977787,11911.852799682785,12066.643742688308,11410.426163051288
2020-12-31,11959.236959076125,12740.512508658065,12979.15543243272,11833.16591298906
2021-01-31,11722.114002626238,12892.633017688793,13018.426411483782,11712.578536472616
2021-02-28,11642.627772619222,13146.73224342267,13305.26447872739,12038.252974168581
2021-03-31,11835.26028062616,13201.311901902232,13390.159851604241,12584.781839173069
2021-04-30,12366.845298135962,13713.821868974595,13773.768489636386,13250.648799342836
2021-05-31,12590.227397894332,14176.730007469816,14144.631206732003,13337.653287913992
2021-06-30,12693.890817078218,14109.407735811537,14389.552103648519,13636.78179714895
2021-07-31,13033.851836608066,13878.460673780324,14328.359720142225,13969.691872712268
2021-08-31,13276.431786674038,13929.017860121448,14597.38123440821,14385.425869194516
2021-09-30,12730.316515113842,13405.114167181786,14220.81844944754,13714.985145410208
2021-10-31,13400.941785728992,14286.812843327561,14928.588821649244,14677.278172724742
2021-11-30,13376.808831289,14019.101541921107,14730.922437863484,14559.348509657273
2021-12-31,13811.439982119262,14299.758835280929,15047.4390106694,15232.687233311972
2022-01-31,13219.895176357979,14073.17007979775,14574.78309481643,14429.296344619404
2022-02-28,13111.111786776182,14203.056219776365,14568.109770562112,14003.387102361074
2022-03-31,13292.011135371049,14619.02841689603,15003.598480516477,14529.777676808933
2022-04-30,12305.169230222578,13452.389541710512,13814.99024304304,13254.513145903677
2022-05-31,12177.830900395882,13519.085731340601,13929.174030366226,13284.431405872154
2022-06-30,11510.731650699328,12307.405221414496,12647.910347519059,12188.991615668205
2022-07-31,12103.377125303023,12779.716641317451,13561.30272763465,13311.445424764492
2022-08-31,11629.22636384114,12301.517227840646,13075.789762037612,12768.310735487603
2022-09-30,10739.025237484359,11352.192921387163,12030.271877569108,11587.935416418963
2022-10-31,11091.329842911533,11912.960327989083,12839.879422659462,12529.747927061517
2022-11-30,11808.876921638801,13176.135292616082,13805.9613942125,13226.297694904266
2022-12-31,11421.155760815445,12875.982194401717,13301.800110892345,12464.089402359812
2023-01-31,12158.25721099435,13994.239224361823,14237.656408188248,13247.924513032514
2023-02-28,11726.190605060106,13132.042801338514,13661.89467681318,12914.835522904334
2023-03-31,12283.652814904492,14057.65792408505,14636.584740538934,13393.686833146663
2023-04-30,12430.862646154537,14128.525553869746,14811.108770382492,13607.650969306056
2023-05-31,12357.79611164727,14059.443671679981,15155.790790130104,13670.467664989128
2023-06-30,12795.477208863958,14529.346024416938,15755.18179610117,14556.312163059398
2023-07-31,13051.518418512547,15258.918041112245,16448.635271955278,15032.786614111546
2023-08-31,12812.574044774128,14787.626064622424,16122.149592514985,14788.473574786853
2023-09-30,12131.973499702774,14090.907471143324,15469.235538988078,14086.99117399888
2023-10-31,12020.493286501916,13987.673761020134,15215.334090132787,13781.180413806498
2023-11-30,12970.328604256618,15134.418143160296,16486.4939066792,15040.00664896452
2023-12-31,13568.033590179626,15544.96484839583,17114.30119153605,15726.66306549094
2024-01-31,13598.154979693076,15234.855164908742,17038.83171981223,15977.135134690934
2024-02-29,13982.228803550302,15673.210208423614,17678.139752928815,16810.93109740056
2024-03-31,14520.037927126985,16713.038743693818,18413.484022636123,17360.679384371615
