metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Arithmetic Mean (monthly),pct,0.010293334111599528,0.016978999682428535,0.0164728174619211,0.013267550430837532
Arithmetic Mean (annualized),pct,0.13075847231733517,0.2238940389786659,0.21660397361891848,0.17135791584964255
Geometric Mean (monthly),pct,0.009659801483762775,0.015730558903185088,0.015275000115551718,0.012085926045482864
Geometric Mean (annualized),pct,0.12227887374119617,0.20598588307714705,0.1995112023771497,0.1550708603510984
Standard Deviation (monthly),pct,0.03580444031707141,0.05039239614955247,0.04925472173873821,0.048906169689779545
Standard Deviation (annualized),pct,0.1240302195314704,0.17456438089232626,0.1706233611283237,0.1694159414125664
Downside Deviation (monthly),pct,0.021752791591701626,0.028562276210644985,0.028455063933014214,0.02953263662103542
Maximum Drawdown,pct,-0.22245433847683882,-0.22346461080362923,-0.20051034139171242,-0.23927175560477576
Benchmark Correlation,ratio,0.9128118071882215,0.8216779943934704,0.8881814935246592,1.0
Beta(*),ratio,0.6682738819764665,0.8466482503842176,0.8945115226677894,1.0
Alpha (annualized),pct,0.007839456160939173,0.066598032843034,0.0535687023483169,0.0
R2,pct,0.833225395342227,0.675154726470476,0.7888663654396944,1.0
Sharpe Ratio,ratio,0.7566109621968807,1.0171011529933025,1.0026467140597846,0.7474775354387359
Sortino Ratio,ratio,1.2453588738263206,1.7944705753774257,1.7355464398017815,1.2378259231154063
Treynor Ratio (%),percent_number,14.042539484507472,20.970885252118954,19.124957928650947,12.663461035109844
Calmar Ratio,ratio,3.0556358368494476,3.916543692546641,3.164924460347783,2.759938474888849
Modigliani–Modigliani Measure,pct,0.15661820844365223,0.2007493993461671,0.19830058696665467,0.1550708603510984
Active Return,pct,-0.0327919866099029,0.050915022726047976,0.04444034202605063,
Tracking Error,pct,0.07565700101160404,0.1028294338562999,0.08041131966641595,
Information Ratio,ratio,-0.4334296386513307,0.4951405528226453,0.5526627620391024,
Skewness,ratio,-0.426060226234091,-0.29463105028370706,-0.42999777165600694,-0.34186296084475315
Excess Kurtosis,ratio,-0.2754328648968096,0.073380660015677,-0.05577567796907568,0.1886271007301743
Historical Value-at-Risk (5%),pct,0.054808664464313386,0.07730289096449028,0.07925838168052347,0.07933031012379377
Analytical Value-at-Risk (5%),pct,0.0485997294049029,0.06590911589493824,0.06454399023452798,0.0671759401637005
Conditional Value-at-Risk (5%),pct,0.06706191227789787,0.09315575539853421,0.09417251137106117,0.09688663513160045
Upside Capture Ratio (%),percent_number,73.1991155986426,101.7060586503408,102.0702361268287,100.0
Downside Capture Ratio (%),percent_number,68.61962070326977,78.22859333666318,81.98443751456848,100.0
Safe Withdrawal Rate,pct,0.1593137209423352,0.17761351263126451,0.18314883620029637,0.1737035105269503
Perpetual Withdrawal Rate,pct,0.06908330947857828,0.1300927285618168,0.13130975560758246,0.09864912112331944
Positive Periods,count,52 out of 80 (65.00%),53 out of 80 (66.25%),52 out of 80 (65.00%),52 out of 80 (65.00%)
Gain/Loss Ratio,ratio,1.0619481829451067,1.1787114053171348,1.229385017184234,1.0560293522667874
