series,SPY,GLD,TLT,QQQ,SLV,GDX,AIA,XLF,XLE,EWY,EWJ,INDY,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
SPY,1.0,0.18062064994563024,0.3148822104166795,0.9144795971331833,0.3528521585460161,0.3755746091731345,0.5361786704644679,0.8049183079281783,0.492378230577555,0.6239715201103729,0.734433237158591,0.637944378460043,0.9128119236070583,0.8216782626776141,0.8881816173468067,1.0
GLD,0.18062064994563024,1.0,0.3267480554127071,0.142780022626338,0.7510302514752165,0.8391714618006172,0.378554529356783,0.0324408058104018,0.017573078577460207,0.35019201392366395,0.314606638518952,0.16245662447775758,0.5017242277384695,0.5963489355394505,0.4475709403298188,0.18062064994563026
TLT,0.3148822104166795,0.3267480554127071,1.0,0.4038317772240464,0.16566700090944908,0.30197915681934534,0.4022767192415898,0.10312511801527285,-0.16674930876054314,0.34476368720704037,0.36924283423572357,0.05620937890149117,0.5796141547710673,0.35569188680371355,0.33735687120821134,0.3148822104166795
QQQ,0.9144795971331833,0.142780022626338,0.4038317772240464,1.0,0.28985469161701255,0.2925390358421361,0.5536742871077934,0.5656790047521268,0.23868041668678894,0.6343839119463959,0.6648231404165874,0.5017104330767764,0.8552239337088934,0.7451316804112553,0.8523683560803332,0.9144795971331833
SLV,0.3528521585460161,0.7510302514752165,0.16566700090944908,0.28985469161701255,1.0,0.7162754589205392,0.43446298942004097,0.22260090474519023,0.18843314987684193,0.40481217164048977,0.3630716094857273,0.2842904877986498,0.5281108937345359,0.7271415747916478,0.6221337544269854,0.3528521585460161
GDX,0.3755746091731345,0.8391714618006172,0.30197915681934534,0.2925390358421361,0.7162754589205392,1.0,0.3943311435357694,0.2476048589870199,0.2640689559919071,0.40354948387667977,0.4199939445460403,0.3057133013491804,0.598931927981112,0.7347400057819429,0.5775684536291535,0.37557460917313457
AIA,0.5361786704644679,0.378554529356783,0.4022767192415898,0.5536742871077934,0.43446298942004097,0.3943311435357694,1.0,0.34300161124414896,0.1969937489599608,0.7842331594767207,0.63838272914499,0.37589768542775487,0.6245391602186282,0.7356211198981151,0.6926607206520847,0.5361786704644679
XLF,0.8049183079281783,0.0324408058104018,0.10312511801527285,0.5656790047521268,0.22260090474519023,0.2476048589870199,0.34300161124414896,1.0,0.663629932563425,0.3770372696924467,0.6145942115000935,0.6672005238763687,0.6670045555288441,0.6327054503624262,0.6425705851231075,0.8049183079281781
XLE,0.492378230577555,0.017573078577460207,-0.16674930876054314,0.23868041668678894,0.18843314987684193,0.2640689559919071,0.1969937489599608,0.663629932563425,1.0,0.2646974083060136,0.37738872863408623,0.47750867151665555,0.341681217503665,0.4974224921368154,0.47719350174333486,0.49237823057755503
EWY,0.6239715201103729,0.35019201392366395,0.34476368720704037,0.6343839119463959,0.40481217164048977,0.40354948387667977,0.7842331594767207,0.3770372696924467,0.2646974083060136,1.0,0.7299446949792335,0.42004997289651724,0.6714621456268268,0.731793929501385,0.8144294201607307,0.6239715201103729
EWJ,0.734433237158591,0.314606638518952,0.36924283423572357,0.6648231404165874,0.3630716094857273,0.4199939445460403,0.63838272914499,0.6145942115000935,0.37738872863408623,0.7299446949792335,1.0,0.5718281656288443,0.750800737528821,0.736852863102546,0.7987361846774573,0.734433237158591
INDY,0.637944378460043,0.16245662447775758,0.05620937890149117,0.5017104330767764,0.2842904877986498,0.3057133013491804,0.37589768542775487,0.6672005238763687,0.47750867151665555,0.42004997289651724,0.5718281656288443,1.0,0.5527076174353354,0.5793719976492481,0.6410794242448579,0.637944378460043
Sample Portfolio,0.9128119236070583,0.5017242277384695,0.5796141547710673,0.8552239337088934,0.5281108937345359,0.598931927981112,0.6245391602186282,0.6670045555288441,0.341681217503665,0.6714621456268268,0.750800737528821,0.5527076174353354,1.0,0.8975278422127729,0.9027007355494998,0.9128119236070583
Portfolio 2,0.8216782626776141,0.5963489355394505,0.35569188680371355,0.7451316804112553,0.7271415747916478,0.7347400057819429,0.7356211198981151,0.6327054503624262,0.4974224921368154,0.731793929501385,0.736852863102546,0.5793719976492481,0.8975278422127729,1.0,0.9532663058369631,0.8216782626776141
Portfolio 3,0.8881816173468067,0.4475709403298188,0.33735687120821134,0.8523683560803332,0.6221337544269854,0.5775684536291535,0.6926607206520847,0.6425705851231075,0.47719350174333486,0.8144294201607307,0.7987361846774573,0.6410794242448579,0.9027007355494998,0.9532663058369631,1.0,0.8881816173468067
benchmark,1.0,0.18062064994563026,0.3148822104166795,0.9144795971331833,0.3528521585460161,0.37557460917313457,0.5361786704644679,0.8049183079281781,0.49237823057755503,0.6239715201103729,0.734433237158591,0.637944378460043,0.9128119236070583,0.8216782626776141,0.8881816173468067,1.0
