series,SPY,GLD,TLT,QQQ,SLV,GDX,AIA,XLF,XLE,EWY,EWJ,INDY,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
SPY,1.0,0.1806201516911993,0.3148812132188941,0.9144802727156232,0.3528518531595498,0.3755739597946913,0.5361787071600203,0.8049179160292976,0.49237755374974296,0.6239715145691975,0.7344336859968171,0.6379439875126771,0.9128117676567247,0.8216781145946073,0.8881817274859226,1.0
GLD,0.1806201516911993,1.0,0.32674774221028935,0.14277965218907324,0.7510302514752165,0.8391714342040945,0.3785545340488618,0.032440680873865264,0.017572920851999088,0.35019200902563946,0.31460664142474254,0.16245641766820856,0.5017240155866886,0.5963487104529043,0.44757066660231826,0.1806201516911993
TLT,0.3148812132188941,0.32674774221028935,1.0,0.40383112474289423,0.16566696968805295,0.3019790086803991,0.40227750976843746,0.10312444241786858,-0.1667498267468349,0.34476395227913564,0.36924327854072614,0.056208833121695216,0.5796135895394078,0.3556915222919869,0.3373564454568474,0.31488121321889406
QQQ,0.9144802727156232,0.14277965218907324,0.40383112474289423,1.0,0.28985430991390254,0.29253909780622767,0.5536744661868036,0.565679259380831,0.23868110089892056,0.6343838328279384,0.6648232773493147,0.5017110331725221,0.855224445516282,0.7451318296664791,0.8523684397953039,0.9144802727156232
SLV,0.3528518531595498,0.7510302514752165,0.16566696968805295,0.28985430991390254,1.0,0.7162754392773956,0.4344630562581892,0.22260063108094003,0.1884329510169813,0.4048121182268702,0.36307148682949986,0.2842900300363556,0.528110869664216,0.7271413272238657,0.6221334049260963,0.3528518531595497
GDX,0.3755739597946913,0.8391714342040945,0.3019790086803991,0.29253909780622767,0.7162754392773956,1.0,0.3943311475149155,0.2476046966819838,0.26406891665923604,0.4035495594494668,0.41999436420605685,0.30571305849363123,0.5989316013537246,0.7347399650022771,0.577568469389525,0.3755739597946914
AIA,0.5361787071600203,0.3785545340488618,0.40227750976843746,0.5536744661868036,0.4344630562581892,0.3943311475149155,1.0,0.34300151876845,0.19699386422182863,0.784233199374621,0.6383828333658944,0.37589778572766597,0.6245395595283139,0.7356212181956485,0.692660891776941,0.5361787071600204
XLF,0.8049179160292976,0.032440680873865264,0.10312444241786858,0.565679259380831,0.22260063108094003,0.2476046966819838,0.34300151876845,1.0,0.6636297650189582,0.37703724757937634,0.6145941983939619,0.6672004972686741,0.6670042278155802,0.6327053764953103,0.642570565780583,0.8049179160292975
XLE,0.49237755374974296,0.017572920851999088,-0.1667498267468349,0.23868110089892056,0.1884329510169813,0.26406891665923604,0.19699386422182863,0.6636297650189582,1.0,0.26469760856024477,0.377388960391657,0.47750889926937,0.3416805791776605,0.49742265183614204,0.4771938099830764,0.4923775537497429
EWY,0.6239715145691975,0.35019200902563946,0.34476395227913564,0.6343838328279384,0.4048121182268702,0.4035495594494668,0.784233199374621,0.37703724757937634,0.26469760856024477,1.0,0.7299448554315662,0.4200501814990852,0.6714623990262281,0.7317939485261546,0.8144294208783215,0.6239715145691975
EWJ,0.7344336859968171,0.31460664142474254,0.36924327854072614,0.6648232773493147,0.36307148682949986,0.41999436420605685,0.6383828333658944,0.6145941983939619,0.377388960391657,0.7299448554315662,1.0,0.5718284619930094,0.7508014235504229,0.7368530003640167,0.7987362833410154,0.7344336859968171
INDY,0.6379439875126771,0.16245641766820856,0.056208833121695216,0.5017110331725221,0.2842900300363556,0.30571305849363123,0.37589778572766597,0.6672004972686741,0.47750889926937,0.4200501814990852,0.5718284619930094,1.0,0.552707249712807,0.5793721565807927,0.6410797021617181,0.6379439875126771
Sample Portfolio,0.9128117676567247,0.5017240155866886,0.5796135895394078,0.855224445516282,0.528110869664216,0.5989316013537246,0.6245395595283139,0.6670042278155802,0.3416805791776605,0.6714623990262281,0.7508014235504229,0.552707249712807,1.0,0.897527857293004,0.9027009135531958,0.9128117676567244
Portfolio 2,0.8216781145946073,0.5963487104529043,0.3556915222919869,0.7451318296664791,0.7271413272238657,0.7347399650022771,0.7356212181956485,0.6327053764953103,0.49742265183614204,0.7317939485261546,0.7368530003640167,0.5793721565807927,0.897527857293004,1.0,0.9532663332570842,0.8216781145946073
Portfolio 3,0.8881817274859226,0.44757066660231826,0.3373564454568474,0.8523684397953039,0.6221334049260963,0.577568469389525,0.692660891776941,0.642570565780583,0.4771938099830764,0.8144294208783215,0.7987362833410154,0.6410797021617181,0.9027009135531958,0.9532663332570842,1.0,0.8881817274859226
benchmark,1.0,0.1806201516911993,0.31488121321889406,0.9144802727156232,0.3528518531595497,0.3755739597946914,0.5361787071600204,0.8049179160292975,0.4923775537497429,0.6239715145691975,0.7344336859968171,0.6379439875126771,0.9128117676567244,0.8216781145946073,0.8881817274859226,1.0
