date,Sample Portfolio_balance,Portfolio 2_balance,Portfolio 3_balance,benchmark_balance
2020-01-01,10000.0,10000.0,10000.0,10000.0
2020-01-31,10241.395215262002,9881.403965048548,9939.14017544086,9995.964020700829
2020-02-29,9896.018940221657,9262.431626170293,9282.904652992493,9204.624982628646
2020-03-31,9348.20766594179,8162.805426286463,8155.387591018217,8055.232168668984
2020-04-30,10142.170025469939,9341.32647817629,9168.870418100345,9078.114715014091
2020-05-31,10415.64181549428,9837.790252744282,9742.447918790314,9510.644791381477
2020-06-30,10587.437471385128,10341.524179826702,10174.465296648452,9679.30503765111
2020-07-31,11290.326034479871,11417.546754671328,11052.602503736272,10249.34342522329
2020-08-31,11582.693076421943,12118.502489254119,11956.373562785557,10964.714514796233
2020-09-30,11247.143003876972,11318.217306911283,11267.894944109355,10554.15452058807
2020-10-31,10993.919356664048,11201.608826319507,11087.15660101772,10291.000348675325
2020-11-30,11571.351671215552,11911.851813458232,12066.643362963423,11410.426016338644
2020-12-31,11959.230559692765,12740.513596799841,12979.156680808399,11833.158440897038
2021-01-31,11722.111296195939,12892.633015004123,13018.42721351694,11712.577318129204
2021-02-28,11642.627110060954,13146.733086679349,13305.266319677106,12038.253802350191
2021-03-31,11835.256482778324,13201.313272519517,13390.162560552992,12584.77740950045
2021-04-30,12366.841804623698,13713.819483273232,13773.766230237834,13250.645340607532
2021-05-31,12590.225910966583,14176.72998014056,14144.631500597123,13337.651900530174
2021-06-30,12693.888783077995,14109.406510696053,14389.55191845651,13636.779338448909
2021-07-31,13033.847388192144,13878.460929094523,14328.361011425659,13969.687298981193
2021-08-31,13276.431188915734,13929.01637964306,14597.381682992645,14385.42645322301
2021-09-30,12730.317923084027,13405.113944822351,14220.818897233776,13714.987879579701
2021-10-31,13400.941348686543,14286.811731347783,14928.589018591,14677.278726394732
2021-11-30,13376.807695013631,14019.10157593843,14730.923283544269,14559.346995192616
2021-12-31,13811.438175983927,14299.758167069735,15047.440073801754,15232.684608605716
2022-01-31,13219.892865059963,14073.17063709227,14574.784275282724,14429.292763281086
2022-02-28,13111.108466276284,14203.055648421217,14568.109611625843,14003.38356532587
2022-03-31,13292.010707529955,14619.027941963634,15003.59824969142,14529.777205621089
2022-04-30,12305.168237223806,13452.388572911206,13814.990345733017,13254.51280736896
2022-05-31,12177.830666025038,13519.08605596739,13929.175453986478,13284.432104426189
2022-06-30,11510.729996864171,12307.405672521616,12647.911806005099,12188.990347768278
2022-07-31,12103.37536981691,12779.715945278731,13561.302544271572,13311.442999905976
2022-08-31,11629.225516063412,12301.517604358352,13075.790938844377,12768.311487728552
2022-09-30,10739.022835780932,11352.19272370708,12030.271584924272,11587.931090438398
2022-10-31,11091.327791366526,11912.959504361426,12839.879509598282,12529.74662371609
2022-11-30,11808.875402055703,13176.135857040936,13805.962888983522,13226.295278902822
2022-12-31,11421.154498120271,12875.98158515155,13301.800072390899,12464.088105844192
2023-01-31,12158.255294909863,13994.24020383295,14237.657594580554,13247.922094781448
2023-02-28,11726.189714660908,13132.043044909426,13661.896454341955,12914.834179502064
2023-03-31,12283.651585598393,14057.657962248173,14636.585364063021,13393.687520335938
2023-04-30,12430.861271828628,14128.52592843954,14811.1101904297,13607.64955383706
2023-05-31,12357.795723316476,14059.442691288496,15155.790487341808,13670.467283186787
2023-06-30,12795.475591217211,14529.345955082768,15755.182892105493,14556.310648910588
2023-07-31,13051.516772558507,15258.917906660521,16448.63565687803,15032.785050399823
2023-08-31,12812.57320014431,14787.626231169972,16122.150720492788,14788.473076689443
2023-09-30,12131.972195553968,14090.907508879993,15469.236402713806,14086.988668468028
2023-10-31,12020.492529442621,13987.67447219142,15215.335811756118,13781.180020487807
2023-11-30,12970.327133156023,15134.41736773453,16486.49345484238,15040.006124702619
2023-12-31,13568.03229314081,15544.964020719624,17114.301642648596,15726.66142960213
2024-01-31,13598.152911914565,15234.85495427518,17038.832282641757,15977.132432547147
2024-02-29,13982.22663511823,15673.210352400865,17678.14126573783,16810.9272683244
2024-03-31,14520.037693774138,16713.038127435684,18413.484179472973,17360.680699114844
2024-04-30,14076.299906395046,16656.880713192502,18017.281451789626,16660.70354192552
2024-05-31,14631.777225312304,17545.980113976006,18811.195697473006,17503.3972959771
2024-06-30,14993.018817883625,17867.520942983654,19362.309948177546,18120.916691562157
2024-07-31,15363.368058752943,18189.946931747178,19487.24192151119,18340.34498053162
2024-08-31,15708.505595092302,18397.86106636498,19584.61156340791,18768.876524830448
2024-09-30,16133.831008143641,19044.0221680677,19990.162771238454,19163.11056669312
2024-10-31,16042.876196436928,19228.698799335434,19834.975050047844,18992.107788108613
2024-11-30,16568.652090649153,19403.76903642475,20162.318795252795,20124.676393515492
2024-12-31,16098.827571261136,18833.518163905766,19603.36746688051,19640.46913890511
2025-01-31,16592.577454540122,19799.135248107297,20235.63830767471,20167.944588084647
2025-02-28,16713.628752700028,19997.97248188366,20056.755218781516,19911.913711594763
2025-03-31,16457.494648785614,20237.67779943415,20040.84135892034,18802.43756506458
2025-04-30,16539.196128966374,20045.432448494637,20115.406944702838,18639.417287805285
2025-05-31,17006.032309914106,21012.25127523301,21104.512732419073,19810.812430150534
2025-06-30,17608.98283818885,22220.082333433773,22435.85781856446,20828.813313905175
2025-07-31,17782.303888864695,22538.288513891013,22615.137325847558,21308.535222449053
2025-08-31,18198.684337116225,23791.206131059567,23193.961403789006,21745.7753282666
2025-09-30,19194.549075822124,26141.112008841872,24781.396904839097,22520.367132648928
2025-10-31,19673.625027955874,26593.049801561185,26246.042939463776,23057.193987472674
2025-11-30,19967.865051782686,27657.328650165982,26626.66648421723,23102.15562902612
2025-12-31,19997.35164240189,29075.012714020064,27943.63165434649,23120.57966648666
2026-01-31,20663.669388144062,31370.699842513543,30069.50425481798,23461.32658062682
2026-02-28,21135.272370514762,33339.36333731029,31865.199704509152,23258.572711287696
2026-03-31,19822.79589206881,30523.058187663326,29211.27790983082,22110.074470059295
2026-04-30,20927.623205134965,32706.154764677478,31978.53192616076,24432.79719994577
2026-05-31,21550.0750258898,34598.67429763723,34450.903471535574,25718.5915514055
2026-06-30,20967.39789767819,33005.108412969246,33230.200608787476,25453.881239020702
2026-07-31,20823.124089582772,32355.517069615657,31428.229524206785,25462.743750265276
2026-08-31,21577.702345609505,34856.31680472459,33627.56408124611,26145.13007087515
