asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8756.008758670574,0.0,0.0
contribution_GLD,3561.4428107703193,2050.139993142119,2141.374765766825
contribution_TLT,-739.7492238313829,0.0,0.0
contribution_QQQ,0.0,7066.841847973931,9592.445574692294
contribution_SLV,0.0,3189.871911507946,3339.8967587391785
contribution_GDX,0.0,3627.0408287533414,0.0
contribution_AIA,0.0,4746.880932135839,0.0
contribution_XLF,0.0,1367.7709605772313,0.0
contribution_XLE,0.0,2807.770330634178,2832.1550013536607
contribution_EWY,0.0,0.0,4071.458651766506
contribution_EWJ,0.0,0.0,1341.2269666397324
contribution_INDY,0.0,0.0,309.0063622879406
