metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Arithmetic Mean (monthly),pct,0.010293332872080277,0.01697899956342815,0.01647281790783145,0.01326755037437204
Arithmetic Mean (annualized),pct,0.13075845566953226,0.22389403726011903,0.21660398002337566,0.17135791506633935
Geometric Mean (monthly),pct,0.009659799941149183,0.015730558907308012,0.015275000718297127,0.012085924729517084
Geometric Mean (annualized),pct,0.12227885316504628,0.2059858831358894,0.19951121092261603,0.15507084232851343
Standard Deviation (monthly),pct,0.03580444870842262,0.050392393209520665,0.049254718011,0.048906195560044864
Standard Deviation (annualized),pct,0.12403024859996369,0.17456437070775735,0.17062334821505976,0.16941603102979427
Downside Deviation (monthly),pct,0.02175279974789298,0.028562276672191432,0.02845506495083082,0.0295326595658215
Maximum Drawdown,pct,-0.22245441068877803,-0.22346459909821825,-0.20051041732543617,-0.2392719085188838
Benchmark Correlation,ratio,0.9128119035724368,0.821677895130682,0.8881814721314129,1.0
Beta(*),ratio,0.6682737556588413,0.846647650851512,0.8945109602466785,1.0
Alpha (annualized),pct,0.017123725860069695,0.06895271047694357,0.055258184187968844,0.0
R2,pct,0.8332255713035357,0.675154563346388,0.7888663274375237,1.0
Sharpe Ratio,ratio,0.7695523190882716,1.0063666774102182,0.9940115913235925,0.7740611952574633
Sortino Ratio,ratio,1.2029340954857128,1.7113736740933254,1.6582998733089742,1.2355573915124312
Treynor Ratio (%),percent_number,14.282734379280893,20.749572217756267,18.960257997223433,13.113837547469808
Calmar Ratio,ratio,3.055636247790498,3.9165436351062226,3.1649243512737093,2.759930872691582
Modigliani–Modigliani Measure,pct,0.15881074956970875,0.1989308982474805,0.19683774859965292,0.15957462547469806
Active Return,pct,-0.032791989163466706,0.05091504080737641,0.04444036859410305,
Tracking Error,pct,0.07565702904928308,0.10282948154460551,0.08041134403829041,
Information Ratio,ratio,-0.4334295117788192,0.49514049903373686,0.5526629249343397,
Skewness,ratio,-0.42606042166898905,-0.294631678645603,-0.42999849655501504,-0.34186296110423303
Excess Kurtosis,ratio,-0.2754311984370519,0.07337942628577565,-0.05577601279668354,0.18862653484605785
Historical Value-at-Risk (5%),pct,0.054808766832043644,0.07730293488246714,0.07925836697999608,0.07933059040659306
Analytical Value-at-Risk (5%),pct,0.048599744446966624,0.06590911117801666,0.06454398365703391,0.06717598277296574
Conditional Value-at-Risk (5%),pct,0.06706190755532876,0.09315575427003048,0.09417253430523864,0.0968867251738178
Upside Capture Ratio (%),percent_number,68.71841130296164,102.11810829769678,102.57230146914952,100.0
Downside Capture Ratio (%),percent_number,73.30480382079166,81.88683868364544,85.14104490703662,100.0
Safe Withdrawal Rate,pct,0.20332919068128058,0.2322581477127762,0.2411961547792522,0.2259540230279188
Perpetual Withdrawal Rate,pct,0.08254234066622528,0.1530196892691257,0.14793839568991568,0.11143658245553005
Positive Periods,count,52 out of 80 (65.00%),53 out of 80 (66.25%),52 out of 80 (65.00%),52 out of 80 (65.00%)
Gain/Loss Ratio,ratio,1.061948119408722,1.1787114605448883,1.229385032882472,1.0560291032895943
