date,portfolio,market_type,benchmark_return,portfolio_return,active_return,benchmark_return_pct,portfolio_return_pct,active_return_pct
2020-01-31,Sample Portfolio,down,-0.00040359792991706556,0.024139521526200226,0.024543119456117292,-0.040359792991706556,2.4139521526200225,2.454311945611729
2020-02-29,Sample Portfolio,down,-0.07916585498240936,-0.033723556974508316,0.04544229800790104,-7.916585498240936,-3.3723556974508315,4.544229800790104
2020-03-31,Sample Portfolio,down,-0.12487122681574148,-0.055356732600149484,0.069514494215592,-12.487122681574148,-5.535673260014948,6.9514494215592
2020-04-30,Sample Portfolio,up,0.12698362069856084,0.0849320412960849,-0.04205157940247593,12.698362069856085,8.493204129608491,-4.205157940247593
2020-05-31,Sample Portfolio,up,0.047645363596478196,0.0269638341042968,-0.020681529492181397,4.76453635964782,2.69638341042968,-2.0681529492181396
2020-06-30,Sample Portfolio,up,0.01773383928947392,0.016494005740028867,-0.0012398335494450512,1.7733839289473918,1.6494005740028868,-0.12398335494450512
2020-07-31,Sample Portfolio,up,0.05889249128473706,0.06638892224813177,0.00749643096339471,5.889249128473706,6.638892224813177,0.7496430963394709
2020-08-31,Sample Portfolio,up,0.06979677232908776,0.02589535865033514,-0.043901413678752624,6.979677232908776,2.589535865033514,-4.3901413678752625
2020-09-30,Sample Portfolio,down,-0.03744374681658469,-0.028969952871152786,0.008473793945431903,-3.744374681658469,-2.8969952871152786,0.8473793945431903
2020-10-31,Sample Portfolio,down,-0.024933704675197732,-0.022514486312269405,0.002419218362928327,-2.493370467519773,-2.2514486312269404,0.2419218362928327
2020-11-30,Sample Portfolio,up,0.10877714796768156,0.052522880677807623,-0.05625426728987394,10.877714796768156,5.252288067780762,-5.625426728987394
2020-12-31,Sample Portfolio,up,0.03704790898719135,0.03352062053753707,-0.0035272884496542756,3.7047908987191347,3.3520620537537074,-0.35272884496542756
2021-01-31,Sample Portfolio,down,-0.010190104642821995,-0.019827300954963746,-0.00963719631214175,-1.0190104642821995,-1.9827300954963747,-0.963719631214175
2021-02-28,Sample Portfolio,up,0.027805706239982797,-0.0067807056362600895,-0.03458641187624289,2.7805706239982797,-0.6780705636260089,-3.4586411876242886
2021-03-31,Sample Portfolio,up,0.045398910516703195,0.016545180988482514,-0.02885372952822068,4.5398910516703195,1.6545180988482515,-2.885372952822068
2021-04-30,Sample Portfolio,up,0.052910584704057406,0.04491540361790153,-0.007995181086155878,5.291058470405741,4.491540361790153,-0.7995181086155878
2021-05-31,Sample Portfolio,up,0.006566213017263678,0.018063149013466687,0.011496935996203009,0.6566213017263678,1.8063149013466686,1.1496935996203008
2021-06-30,Sample Portfolio,up,0.02242729381075259,0.008233599050920828,-0.014193694759831763,2.242729381075259,0.8233599050920828,-1.4193694759831763
2021-07-31,Sample Portfolio,up,0.024412506228186137,0.026781281207327097,0.00236877497914096,2.4412506228186137,2.6781281207327097,0.23687749791409599
2021-08-31,Sample Portfolio,up,0.029760090211334633,0.01861183375089661,-0.011148256460438023,2.9760090211334633,1.861183375089661,-1.1148256460438024
2021-09-30,Sample Portfolio,down,-0.04660540136389901,-0.041134041073300424,0.005471360290598588,-4.660540136389901,-4.113404107330043,0.5471360290598588
2021-10-31,Sample Portfolio,up,0.07016344857641399,0.05267923626529932,-0.017484212311114668,7.016344857641399,5.2679236265299325,-1.7484212311114669
2021-11-30,Sample Portfolio,down,-0.008034986144266232,-0.0018008924182985626,0.006234093725967669,-0.8034986144266232,-0.18008924182985625,0.6234093725967669
2021-12-31,Sample Portfolio,up,0.04624778938474572,0.03249134553472801,-0.01375644385001771,4.624778938474572,3.249134553472801,-1.375644385001771
2022-01-31,Sample Portfolio,down,-0.05274131684383154,-0.04283010236780243,0.009911214476029113,-5.274131684383154,-4.2830102367802425,0.9911214476029113
2022-02-28,Sample Portfolio,down,-0.029516983607058456,-0.00822884117852389,0.021288142428534565,-2.9516983607058456,-0.8228841178523891,2.1288142428534567
2022-03-31,Sample Portfolio,up,0.03759046075111683,0.01379763135351813,-0.0237928293975987,3.7590460751116828,1.379763135351813,-2.37928293975987
2022-04-30,Sample Portfolio,down,-0.08776902633846118,-0.07424327981823695,0.01352574652022423,-8.776902633846117,-7.424327981823694,1.3525746520224229
2022-05-31,Sample Portfolio,up,0.0022572913461289534,-0.010348299896751238,-0.012605591242880191,0.22572913461289534,-1.0348299896751239,-1.2605591242880192
2022-06-30,Sample Portfolio,down,-0.08246056346608333,-0.05477992652845912,0.027680636937624202,-8.246056346608333,-5.477992652845912,2.76806369376242
2022-07-31,Sample Portfolio,up,0.09208741824487632,0.05148634127585207,-0.04060107696902425,9.208741824487632,5.148634127585207,-4.060107696902425
2022-08-31,Sample Portfolio,down,-0.04080185087231036,-0.03917501021540811,0.0016268406569022523,-4.080185087231037,-3.917501021540811,0.16268406569022523
2022-09-30,Sample Portfolio,down,-0.09244608407498522,-0.0765487503061013,0.01589733376888393,-9.244608407498522,-7.654875030610129,1.5897333768883928
2022-10-31,Sample Portfolio,up,0.0812755552244191,0.032806053304194775,-0.04846950192022432,8.12755552244191,3.2806053304194775,-4.846950192022432
2022-11-30,Sample Portfolio,up,0.055591599423751914,0.06469447339278117,0.009102873969029257,5.559159942375191,6.469447339278117,0.9102873969029257
2022-12-31,Sample Portfolio,down,-0.05762816850720276,-0.0328330082869649,0.02479516022023786,-5.7628168507202755,-3.28330082869649,2.4795160220237857
2023-01-31,Sample Portfolio,up,0.06288739154288647,0.06453820381388811,0.0016508122710016393,6.288739154288647,6.4538203813888115,0.16508122710016393
2023-02-28,Sample Portfolio,down,-0.02514265353436773,-0.03553680768899805,-0.010394154154630318,-2.514265353436773,-3.553680768899805,-1.0394154154630317
2023-03-31,Sample Portfolio,up,0.037077776932969986,0.04753989868000407,0.010462121747034085,3.7077776932969986,4.753989868000407,1.0462121747034085
2023-04-30,Sample Portfolio,up,0.015974841370329118,0.011984195839845153,-0.003990645530483965,1.5974841370329118,1.1984195839845153,-0.3990645530483965
2023-05-31,Sample Portfolio,up,0.004616354139720835,-0.005877754317614094,-0.010494108457334929,0.4616354139720835,-0.5877754317614093,-1.049410845733493
2023-06-30,Sample Portfolio,up,0.0647997868231831,0.03541730885508407,-0.029382477968099036,6.47997868231831,3.541730885508407,-2.9382477968099034
2023-07-31,Sample Portfolio,up,0.032733184457347075,0.020010290318324745,-0.01272289413902233,3.2733184457347075,2.0010290318324744,-1.272289413902233
2023-08-31,Sample Portfolio,down,-0.016251943528180934,-0.01830772442606727,-0.002055780897886335,-1.6251943528180934,-1.830772442606727,-0.20557808978863348
2023-09-30,Sample Portfolio,down,-0.04743453935938391,-0.05311977492410951,-0.005685235564725603,-4.7434539359383905,-5.311977492410951,-0.5685235564725604
2023-10-31,Sample Portfolio,down,-0.021708589051735117,-0.009188915397630065,0.012519673654105052,-2.1708589051735117,-0.9188915397630065,1.2519673654105052
2023-11-30,Sample Portfolio,up,0.0913438546150167,0.07901794384771724,-0.01232591076729947,9.13438546150167,7.901794384771724,-1.232591076729947
2023-12-31,Sample Portfolio,up,0.04565525434007034,0.04608250461600731,0.00042725027593697174,4.565525434007034,4.608250461600731,0.042725027593697174
2024-01-31,Sample Portfolio,up,0.015926520963537527,0.0022199695669196107,-0.013706551396617916,1.5926520963537527,0.22199695669196107,-1.3706551396617916
2024-02-29,Sample Portfolio,up,0.05218676375735121,0.02824455098362249,-0.023942212773728717,5.218676375735121,2.824455098362249,-2.3942212773728717
2024-03-31,Sample Portfolio,up,0.03270214795505688,0.03846390655012886,0.005761758595071977,3.270214795505688,3.8463906550128857,0.5761758595071976
2024-04-30,Sample Portfolio,down,-0.040319683848860643,-0.03056037434182119,0.009759309507039453,-4.031968384886064,-3.056037434182119,0.9759309507039453
2024-05-31,Sample Portfolio,up,0.05057972203460692,0.039461884345395,-0.011117837689211922,5.057972203460692,3.9461884345395,-1.1117837689211922
2024-06-30,Sample Portfolio,up,0.03527997366128366,0.024688839025405064,-0.010591134635878595,3.527997366128366,2.4688839025405063,-1.0591134635878594
2024-07-31,Sample Portfolio,up,0.012109116371118,0.024701445744039686,0.012592329372921686,1.2109116371118,2.4701445744039687,1.2592329372921687
2024-08-31,Sample Portfolio,up,0.023365511649519943,0.022464965691082403,-0.0009005459584375403,2.3365511649519943,2.24649656910824,-0.09005459584375403
2024-09-30,Sample Portfolio,up,0.021004669157534295,0.02707612194403926,0.006071452786504967,2.1004669157534295,2.707612194403926,0.6071452786504967
2024-10-31,Sample Portfolio,down,-0.008923539734813524,-0.005637521036436043,0.0032860186983774808,-0.8923539734813524,-0.5637521036436043,0.3286018698377481
2024-11-30,Sample Portfolio,up,0.059633644566613464,0.03277316908603949,-0.02686047548057397,5.963364456661346,3.2773169086039493,-2.686047548057397
2024-12-31,Sample Portfolio,down,-0.024060374693348985,-0.02835623059845479,-0.004295855905105804,-2.4060374693348985,-2.835623059845479,-0.42958559051058043
2025-01-31,Sample Portfolio,up,0.026856560576482114,0.030669928048698527,0.0038133674722164133,2.6856560576482114,3.0669928048698525,0.38133674722164135
2025-02-28,Sample Portfolio,down,-0.012694941488541445,0.007295509000428693,0.01999045048897014,-1.2694941488541445,0.7295509000428693,1.999045048897014
2025-03-31,Sample Portfolio,down,-0.0557192122565362,-0.015324864977214442,0.04039434727932176,-5.57192122565362,-1.532486497721444,4.039434727932176
