metric,unit,Portfolio 1,benchmark
Start Balance,balance,10000.0,10000.0
End Balance,balance,118821.87669993617,96881.04194930806
CAGR,pct,12.05223527378234,11.005452800663296
Annualized Return,pct,12.082166589148061,11.588014522911013
Standard Deviation,pct,11.400582979516987,14.801349153471383
Best Year,pct,30.922964651508188,32.30778094040059
Worst Year,pct,-21.90427719798047,-36.79501492415069
Maximum Drawdown,pct,-28.01587599719808,-50.784821064571204
Sharpe Ratio (ex-post),ratio,0.9043247562796043,0.6631609900140739
Sortino Ratio,ratio,1.4876883915021986,0.9941925149666349
