date,Portfolio 1_balance,benchmark_balance
2004-12-01,10000.0,10000.0
2004-12-31,10104.939107367434,10301.20985215295
2005-01-31,9745.050994390378,10070.248764905857
2005-02-28,9869.469297464997,10280.753191336411
2005-03-31,9711.325177502404,10092.688552952144
2005-04-30,9590.570232367378,9903.599587918108
2005-05-31,9843.06769587933,10222.741419963422
2005-06-30,9880.985775496238,10238.227735662822
2005-07-31,10156.15354859893,10629.95703513421
2005-08-31,10142.99125675165,10530.30826450446
2005-09-30,10418.480288742549,10614.815694919867
2005-10-31,10264.835842636743,10363.76701280813
2005-11-30,10773.557783017484,10819.282086743218
2005-12-31,10887.929267005547,10798.57777592763
2006-01-31,11411.46554756413,11057.90105158742
2006-02-28,11318.48688397972,11121.210798426484
2006-03-31,11553.096900933599,11304.752210758046
2006-04-30,12000.002626355878,11447.552789199064
2006-05-31,11582.07557306725,11102.746901026434
2006-06-30,11429.367964550105,11131.704605779263
2006-07-31,11424.278626458783,11181.554526988984
2006-08-31,11635.519355921893,11425.561083835884
2006-09-30,11747.74614096477,11734.071311058131
2006-10-31,12078.107170349189,12103.884067422856
2006-11-30,12539.863490887989,12344.572885177415
2006-12-31,12434.550512532107,12509.642691159539
2007-01-31,12659.938502267287,12697.791164368387
2007-02-28,12644.335222012243,12448.687064739468
2007-03-31,12664.232960735306,12592.95330718265
2007-04-30,13130.313247002168,13150.76999395522
2007-05-31,13278.901437833027,13596.848350222197
2007-06-30,13156.345468398324,13398.050927054164
2007-07-31,13149.997147942471,12978.554955510208
2007-08-31,13385.378835226518,13145.106807011945
2007-09-30,14174.89384592638,13654.01213716264
2007-10-31,14842.888815041724,13839.245663884603
2007-11-30,14355.858441172362,13303.222177028507
2007-12-31,14591.314689913977,13153.41705445091
2008-01-31,14329.733531128142,12358.142563335523
2008-02-29,14253.563118303928,12038.779098995341
2008-03-31,14057.918791995737,11931.124584427402
2008-04-30,14386.2073257951,12499.788726605868
2008-05-31,14721.69581776939,12688.74471226298
2008-06-30,14144.288636798261,11628.271762436389
2008-07-31,14082.312097249154,11523.783698829075
2008-08-31,13837.886931525614,11701.867174994784
2008-09-30,12969.078726833832,10599.858405872134
2008-10-31,11085.282965989478,8848.903532038246
2008-11-30,10976.707293522148,8232.963294126577
2008-12-31,11395.192673405574,8313.615286229915
2009-01-31,11181.283187396573,7630.948309663483
2009-02-28,10684.52349021765,6811.009516794377
2009-03-31,11236.330300472915,7378.441672498967
2009-04-30,11868.2484246552,8111.464470078626
2009-05-31,12530.294499278038,8585.604365732215
2009-06-30,12435.693158015198,8579.9787599172
2009-07-31,13127.980297494463,9220.094263105862
2009-08-31,13343.49621089818,9560.681428726568
2009-09-30,13960.110196029367,9899.677659917576
2009-10-31,13905.709329879923,9709.352372125632
2009-11-30,14988.989655149975,10307.515772751347
2009-12-31,14918.924075774024,10504.39944923411
2010-01-31,14445.750263319735,10122.641675794544
2010-02-28,14927.173849703267,10438.419515051191
2010-03-31,15509.691614576255,11073.903866895736
2010-04-30,15985.397437475103,11245.218885499839
2010-05-31,15443.073790661423,10351.735270052686
2010-06-30,15082.707966188993,9816.128066463478
2010-07-31,15503.71382312552,10486.574431014491
2010-08-31,15373.339095648924,10014.885981265901
2010-09-30,16614.095232815034,10911.762498061918
2010-10-31,17303.811923295536,11328.61333634753
2010-11-30,17388.91944130023,11328.61333634753
2010-12-31,18053.29046996901,12085.958832861206
2011-01-31,17986.720725900133,12367.55904501149
2011-02-28,18664.641657544635,12797.175903481635
2011-03-31,18726.81750797494,12798.718656977666
2011-04-30,19587.925639529032,13169.387106724324
2011-05-31,19394.204242967233,13021.695199897385
2011-06-30,19026.89417001214,12802.026759883274
2011-07-31,19548.5556358835,12545.923897829816
2011-08-31,19739.67514845581,11856.204196193139
2011-09-30,18451.688348180367,11033.139906157023
2011-10-31,19932.935208300234,12237.373198623289
2011-11-30,19858.9169877087,12187.642766129065
2011-12-31,19288.813297692464,12314.985937430882
2012-01-31,20720.352873228498,12886.085143996903
2012-02-29,21181.524262638715,13445.413748467958
2012-03-31,21589.366052557918,13877.867500312446
2012-04-30,21514.967795144847,13785.227128293967
2012-05-31,20325.581431723815,12957.340890416412
2012-06-30,20929.00651105642,13483.161582759083
2012-07-31,21147.83604408116,13642.671308995981
2012-08-31,21946.650938682706,13984.454325390316
2012-09-30,22471.921222879795,14338.96770807827
2012-10-31,21785.97290142872,14078.02266219123
2012-11-30,21899.275270349175,14157.703326671832
2012-12-31,21747.251081290415,14284.192731829062
2013-01-31,22194.38527697439,15015.409708014866
2013-02-28,21988.67686717191,15206.991554556858
2013-03-31,22507.50859703621,15784.409208764035
2013-04-30,22332.267498509427,16087.663859741831
2013-05-31,22245.48123674709,16467.49150497868
2013-06-30,21201.907246459654,16247.742120996007
2013-07-31,22397.33211307593,17087.37583412037
2013-08-31,22487.057988045675,16574.888733360836
2013-09-30,22745.32929161515,17099.422994774584
2013-10-31,23393.80998545827,17891.236167615298
2013-11-30,23443.752164141217,18421.492396711397
2013-12-31,23516.080428556314,18899.098428733025
2014-01-31,23445.093978746132,18232.937276422395
2014-02-28,24577.032254987753,19062.8249502845
2014-03-31,24191.179532995055,19220.95477458116
2014-04-30,24272.610415073526,19354.57013982781
2014-05-31,24590.369566543013,19803.728221374815
2014-06-30,25433.945306558537,20212.56464315418
2014-07-31,25138.888687151168,19940.959083883874
2014-08-31,25890.301354808347,20727.900200712134
2014-09-30,25217.481858035862,20441.92901425953
2014-10-31,25403.16328288329,20923.3663941264
2014-11-30,25954.528040232242,21498.161078304714
2014-12-31,25865.77183085976,21443.635679291907
2015-01-31,26259.866819349198,20808.269852544185
2015-02-28,26741.362005033665,21977.794564015076
2015-03-31,26276.35149276303,21632.618646271876
2015-04-30,26475.59370453856,21845.34325012583
2015-05-31,26789.374375132636,22126.195694185597
2015-06-30,26260.940281968917,21676.769726647406
2015-07-31,26316.231360076257,22166.432555509982
2015-08-31,25591.014441157604,20815.377503878808
2015-09-30,25127.801504252973,20284.261726926077
2015-10-31,26782.228673559577,22009.63059774519
2015-11-30,26306.55795516965,22090.07926630845
2015-12-31,25996.766579837225,21708.307038588784
2016-01-31,25578.200672787203,20627.521970746657
2016-02-29,26328.492104937366,20610.48519260184
2016-03-31,27332.734573772246,21996.86843203535
