metric,unit,Portfolio 1,benchmark
Arithmetic Mean (monthly),pct,0.010068472157623383,0.009656678769092512
Arithmetic Mean (annualized),pct,0.12774207864662013,0.1222372221224961
Geometric Mean (monthly),pct,0.00952801886840171,0.008738723181526575
Geometric Mean (annualized),pct,0.12052235273782475,0.11005452800663273
Standard Deviation (monthly),pct,0.03291064826071399,0.04272781459063171
Standard Deviation (annualized),pct,0.11400582979516986,0.14801349153471383
Downside Deviation (monthly),pct,0.019351152037876625,0.027852016321397638
Maximum Drawdown,pct,-0.2801587599719808,-0.5078482106457121
Benchmark Correlation,ratio,0.8635634616516501,1.0
Beta(*),ratio,0.665150642725672,1.0
Alpha (annualized),pct,0.04374391281319377,0.0
R2,pct,0.745741852299781,1.0
Sharpe Ratio,ratio,0.9055734754599888,0.6641228027844153
Sortino Ratio,ratio,1.489742636966568,0.9956344379257227
Treynor Ratio (%),percent_number,15.521394535116082,9.829913484794146
Calmar Ratio,ratio,3.6847778934623805,2.759938474888841
Modigliani–Modigliani Measure,pct,0.15176046359156803,0.11602250649545104
Active Return,pct,0.010467824731191788,
Tracking Error,pct,0.0759018494790771,
Information Ratio,ratio,0.1379126438029329,
Skewness,ratio,-0.4479289628361556,-0.560912678141451
Excess Kurtosis,ratio,1.5038286714150182,1.2471453573700035
Historical Value-at-Risk (5%),pct,0.042298712195346665,0.06942055622662013
Analytical Value-at-Risk (5%),pct,0.04406472699933619,0.06062432203201809
Conditional Value-at-Risk (5%),pct,0.06333537985484612,0.09326725039801784
Upside Capture Ratio (%),percent_number,73.51704042507177,100.0
Downside Capture Ratio (%),percent_number,60.79648881025711,100.0
Safe Withdrawal Rate,pct,0.0954398986557978,0.07692026493675139
Perpetual Withdrawal Rate,pct,0.08752086818531862,0.07860737487909214
Positive Periods,count,163 out of 261 (62.45%),174 out of 261 (66.67%)
Gain/Loss Ratio,ratio,1.3122659481612369,0.8845555749359016
