series,SPY,QQQ,TLT,GLD,CPER,MCHI,EWY,optimized,provided,benchmark
SPY,1.0,0.912027748948707,0.056912523900556386,0.09941446834057631,0.4346902340856856,0.36135089896556,0.6038467154824917,0.9300921042685313,0.8746301980100795,1.0
QQQ,0.912027748948707,1.0,0.12966832051981458,0.09816147003766997,0.3468245571231283,0.33962079149056423,0.6104394869481391,0.9600536295197455,0.8827882768423627,0.9120277489487069
TLT,0.056912523900556386,0.12966832051981458,1.0,0.285443711728063,-0.11793298235540793,0.08331503196537393,0.16578291794624325,0.1730078472795225,0.23722525594857785,0.05691252390055636
GLD,0.09941446834057631,0.09816147003766997,0.285443711728063,1.0,0.32122631504560195,0.2513684804188042,0.3293507622496851,0.34243631942729236,0.38469737590079,0.0994144683405763
CPER,0.4346902340856856,0.3468245571231283,-0.11793298235540793,0.32122631504560195,1.0,0.4607299301703927,0.4615023891393747,0.4406837769870499,0.6034002575875508,0.43469023408568563
MCHI,0.36135089896556,0.33962079149056423,0.08331503196537393,0.2513684804188042,0.4607299301703927,1.0,0.3926876228194554,0.39599062766417076,0.5944987962998421,0.36135089896556
EWY,0.6038467154824917,0.6104394869481391,0.16578291794624325,0.3293507622496851,0.4615023891393747,0.3926876228194554,1.0,0.6673213191746695,0.7992708985228094,0.6038467154824917
optimized,0.9300921042685313,0.9600536295197455,0.1730078472795225,0.34243631942729236,0.4406837769870499,0.39599062766417076,0.6673213191746695,1.0,0.9428024291135847,0.9300921042685313
provided,0.8746301980100795,0.8827882768423627,0.23722525594857785,0.38469737590079,0.6034002575875508,0.5944987962998421,0.7992708985228094,0.9428024291135847,1.0,0.8746301980100795
benchmark,1.0,0.9120277489487069,0.05691252390055636,0.0994144683405763,0.43469023408568563,0.36135089896556,0.6038467154824917,0.9300921042685313,0.8746301980100795,1.0
