portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-07-31,19,-25.38435065255197
optimized,2,2020-02-29,2020-03-31,2020-05-31,4,-12.489741606093807
optimized,3,2018-09-30,2018-12-31,2019-04-30,8,-11.157842928555716
optimized,4,2012-04-30,2012-05-31,2012-08-31,5,-7.3497638892079165
optimized,5,2015-06-30,2015-09-30,2015-10-31,5,-7.139773032689423
optimized,6,2020-09-30,2020-10-31,2020-11-30,3,-7.1010976331195685
optimized,7,2023-08-31,2023-10-31,2023-11-30,4,-6.490914309608787
optimized,8,2026-03-31,2026-03-31,2026-04-30,2,-6.131950310926737
optimized,9,2015-11-30,2016-01-31,2016-03-31,5,-6.089851947797409
optimized,10,2026-06-30,2026-07-31,,3,-5.7737956816129365
optimized,11,2019-05-31,2019-05-31,2019-06-30,2,-5.646020992703105
optimized,12,2021-09-30,2021-09-30,2021-10-31,2,-4.879464871516026
optimized,13,2025-02-28,2025-03-31,2025-05-31,4,-4.832972259314062
optimized,14,2018-02-28,2018-03-31,2018-07-31,6,-4.8121452098232265
optimized,15,2013-06-30,2013-06-30,2013-07-31,2,-3.843464738087643
optimized,16,2012-10-31,2012-10-31,2013-03-31,6,-3.778197113837345
optimized,17,2024-04-30,2024-04-30,2024-05-31,2,-2.77422436104231
optimized,18,2016-10-31,2016-11-30,2017-01-31,4,-2.2246734479353103
optimized,19,2015-03-31,2015-03-31,2015-05-31,3,-2.0831020810674117
optimized,20,2014-09-30,2014-09-30,2014-11-30,3,-2.0441015818015718
optimized,21,2014-03-31,2014-03-31,2014-05-31,3,-1.7601433274133882
optimized,22,2017-06-30,2017-06-30,2017-07-31,2,-1.408515068288274
optimized,23,2021-01-31,2021-02-28,2021-03-31,3,-1.3384747565077126
optimized,24,2014-01-31,2014-01-31,2014-02-28,2,-1.3102371772105603
optimized,25,2014-12-31,2015-01-31,2015-02-28,3,-1.0789738718511854
optimized,26,2024-12-31,2024-12-31,2025-01-31,2,-0.7730916662747167
optimized,27,2014-07-31,2014-07-31,2014-08-31,2,-0.5464378188050234
optimized,28,2016-04-30,2016-04-30,2016-05-31,2,-0.4370518624563502
optimized,29,2017-09-30,2017-09-30,2017-10-31,2,-0.2357743104233312
optimized,30,2016-08-31,2016-08-31,2016-09-30,2,-0.10201393530653302
optimized,31,2013-08-31,2013-08-31,2013-09-30,2,-0.028340582402819336
provided,1,2022-01-31,2022-09-30,2024-03-31,27,-27.74586407636358
provided,2,2018-02-28,2018-12-31,2019-04-30,15,-11.824670467647024
provided,3,2015-05-31,2016-01-31,2016-07-31,15,-11.042727120597451
provided,4,2020-01-31,2020-03-31,2020-05-31,5,-10.447304889204823
provided,5,2026-03-31,2026-03-31,2026-04-30,2,-6.992700997725365
provided,6,2012-05-31,2012-05-31,2012-09-30,5,-6.31501057249797
provided,7,2019-05-31,2019-05-31,2019-09-30,5,-6.074547972003863
provided,8,2026-06-30,2026-07-31,,3,-5.510469713933485
provided,9,2021-09-30,2021-09-30,2021-12-31,4,-5.02418885549848
provided,10,2013-06-30,2013-06-30,2013-08-31,3,-4.550611794178938
provided,11,2020-09-30,2020-10-31,2020-11-30,3,-4.03317708306592
provided,12,2014-09-30,2014-09-30,2015-02-28,6,-3.38229095582796
provided,13,2024-10-31,2024-12-31,2025-01-31,4,-2.77206534542479
provided,14,2014-01-31,2014-01-31,2014-02-28,2,-2.7024085348651417
provided,15,2012-10-31,2012-10-31,2013-01-31,4,-2.466006929539921
provided,16,2016-10-31,2016-10-31,2017-01-31,4,-2.324032833289824
provided,17,2025-03-31,2025-04-30,2025-05-31,3,-1.8098937557459394
provided,18,2014-03-31,2014-03-31,2014-05-31,3,-1.342005741332808
provided,19,2024-04-30,2024-04-30,2024-05-31,2,-1.2615576201172152
provided,20,2013-02-28,2013-02-28,2013-04-30,3,-0.6267547080535008
provided,21,2025-11-30,2025-11-30,2025-12-31,2,-0.47489393367164956
provided,22,2017-09-30,2017-09-30,2017-10-31,2,-0.4221713462939869
provided,23,2015-03-31,2015-03-31,2015-04-30,2,-0.40942242673074336
provided,24,2017-06-30,2017-06-30,2017-07-31,2,-0.06653353567670495
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.927202875446817
benchmark,2,2020-01-31,2020-03-31,2020-07-31,7,-19.447666756193303
benchmark,3,2018-10-31,2018-12-31,2019-04-30,7,-13.532105787512606
benchmark,4,2015-08-31,2015-09-30,2016-05-31,10,-8.491078679077624
benchmark,5,2025-02-28,2025-04-30,2025-06-30,5,-7.578974101565739
benchmark,6,2012-04-30,2012-05-31,2012-08-31,5,-6.6330348155900225
benchmark,7,2019-05-31,2019-05-31,2019-06-30,2,-6.377103215712509
benchmark,8,2018-02-28,2018-03-31,2018-07-31,6,-6.277425134227432
benchmark,9,2020-09-30,2020-10-31,2020-11-30,3,-6.144357304973102
benchmark,10,2026-02-28,2026-03-31,2026-04-30,3,-5.759487239239592
benchmark,11,2021-09-30,2021-09-30,2021-10-31,2,-4.660562166197401
benchmark,12,2024-04-30,2024-04-30,2024-05-31,2,-4.031957126224162
benchmark,13,2014-01-31,2014-01-31,2014-02-28,2,-3.5247796955329314
benchmark,14,2014-12-31,2015-01-31,2015-02-28,3,-3.2090969056328023
benchmark,15,2013-08-31,2013-08-31,2013-09-30,2,-2.999215790304166
benchmark,16,2024-12-31,2024-12-31,2025-01-31,2,-2.40599661651395
