year,ticker,return
2011,SPY,0.010448467352552004
2012,SPY,0.15990296666540949
2013,SPY,0.3230779422494898
2014,SPY,0.1346378328658624
2015,SPY,0.012343105936251986
2016,SPY,0.11997892746889116
2017,SPY,0.21705385247701403
2018,SPY,-0.045689843996939095
2019,SPY,0.3122388899069446
2020,SPY,0.18331589090418499
2021,SPY,0.28728769487345285
2022,SPY,-0.18175368123865754
2023,SPY,0.2617579670693302
2024,SPY,0.24886454815309933
2025,SPY,0.17719067981214565
2026,SPY,0.13081637433046645
2011,QQQ,-0.006141712850859848
2012,QQQ,0.18112486424637675
2013,QQQ,0.3663421248841392
2014,QQQ,0.19181375108356402
2015,QQQ,0.09435947308641524
2016,QQQ,0.07097908859765423
2017,QQQ,0.32663533862065286
2018,QQQ,-0.001262214739365608
2019,QQQ,0.3896155413295064
2020,QQQ,0.4840613222084935
2021,QQQ,0.27419710052552415
2022,QQQ,-0.32576978384477984
2023,QQQ,0.5485554353060831
2024,QQQ,0.25578262795686646
2025,QQQ,0.20772540995437083
2026,QQQ,0.16952757877712177
2011,TLT,0.03444897287061055
2012,TLT,0.024093595444848015
2013,TLT,-0.1338133255958206
2014,TLT,0.2730196340324371
2015,TLT,-0.017896255070113498
2016,TLT,0.011717009194528893
2017,TLT,0.09182567534564012
2018,TLT,-0.016118918588628794
2019,TLT,0.1411839647760773
2020,TLT,0.18152245923205745
2021,TLT,-0.04599165456659693
2022,TLT,-0.3123450963826394
2023,TLT,0.027679526988439118
2024,TLT,-0.08053081556650576
2025,TLT,0.04247199791122447
2026,TLT,-0.027865963395202198
2011,GLD,-0.10662433944055594
2012,GLD,0.06599117321400438
2013,GLD,-0.2832983601746558
2014,GLD,-0.02187393089432288
2015,GLD,-0.10670895008973502
2016,GLD,0.08032723831481015
2017,GLD,0.1280905103306913
2018,GLD,-0.019409636039321776
2019,GLD,0.17855665069265414
2020,GLD,0.24814561391482015
2021,GLD,-0.04148908875959545
2022,GLD,-0.007721146890384167
2023,GLD,0.12691581500094418
2024,GLD,0.2665690600092574
2025,GLD,0.6367653308824839
2026,GLD,0.030556927515688503
2011,CPER,-0.02777780721216938
2012,CPER,0.02081633587272802
2013,CPER,-0.08436627713081368
2014,CPER,-0.1694322805851478
2015,CPER,-0.2497371128117467
2016,CPER,0.1457603263477414
2017,CPER,0.28807333177867855
2018,CPER,-0.21937317421855096
2019,CPER,0.0669099966992659
2020,CPER,0.2388824633982649
2021,CPER,0.25218590233216176
2022,CPER,-0.15141488682503623
2023,CPER,0.045474197926450355
2024,CPER,0.04225354115796098
2025,CPER,0.38950712625177286
2026,CPER,0.1441647896886198
2011,MCHI,-0.032903902864317436
2012,MCHI,0.23213330789579278
2013,MCHI,0.021834114509749813
2014,MCHI,0.06841078981192505
2015,MCHI,-0.089950249879576
2016,MCHI,-0.003229702219408437
2017,MCHI,0.5466968934285734
2018,MCHI,-0.19786383915908612
2019,MCHI,0.23720523174929276
2020,MCHI,0.2777883373089798
2021,MCHI,-0.21741998120657602
2022,MCHI,-0.22763475682481338
2023,MCHI,-0.1129154159493937
2024,MCHI,0.1773300927595185
2025,MCHI,0.3103956540262598
2026,MCHI,-0.08302538490570266
2011,EWY,-0.0607038639118086
2012,EWY,0.21933134822978273
2013,EWY,0.03567677725720042
2014,EWY,-0.13484482063088854
2015,EWY,-0.08000099332941712
2016,EWY,0.08436166772813136
2017,EWY,0.4497172840794581
2018,EWY,-0.2036929908536126
2019,EWY,0.07965749458814742
2020,EWY,0.39431968377502136
2021,EWY,-0.07584302957465172
2022,EWY,-0.26589699283609913
2023,EWY,0.1905146132207638
2024,EWY,-0.20483916459295415
2025,EWY,0.9533032375580921
2026,EWY,0.8603167901610478
