year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ytd,portfolio
2021,,,,,,,,,,,0.013639740723452209,0.024102174120744273,0.03807066225007505,optimized
2022,-0.046370338379781044,0.017204484588982962,0.04525188806682049,-0.02429776661364218,-0.02992407299181636,-0.042960179421186254,0.031631298170138995,-0.006717372686049676,-0.034445433430895525,0.027595850513786654,0.005965156052122071,-0.03783801813852181,-0.09616395594027938,optimized
2023,0.04267154060997014,0.015927396006496515,0.03902095949477186,0.01712222759601162,0.005920582873959949,0.005807356634501663,0.01816931259942049,0.006470741842088157,-0.028195433618692582,-0.0035801031156728366,0.03954072960622163,0.045546193647944065,0.22155596056466598,optimized
2024,0.011400432243925096,0.009847010104696923,0.05833552770135091,0.018806430526768208,0.009550858793870527,0.020460458301490403,0.024095909955468398,0.003558152946898867,0.016684149133720707,0.05021786263673271,0.006122237793693295,0.010092927437203568,0.26525733037751587,optimized
2025,0.032823567690612315,-0.0028361388013981746,0.016374804623500303,-0.0067660328708596925,0.011037786566324984,0.020740544482577235,0.03176213552606789,0.024557711609788237,0.06751628917007861,0.046336276289131825,0.03292193242625479,0.01781270579793456,0.33191972069367925,optimized
2026,0.10585018308730985,0.028771961528591607,-0.05392699944286017,0.05352275825939764,0.0668291078169396,-0.03720687850043962,-0.04768773396080688,0.047454324535983534,,,,,0.16178640906617403,optimized
2021,,,,,,,,,,,0.01764618321942129,0.010555991809721171,0.028388447994679433,provided
2022,-0.03988225879143224,-0.0011340066447786934,0.002182752140529496,-0.039748629843429854,-0.022931315106808486,-0.02702150646820323,0.04187414243612623,-0.02193880272350857,-0.040036348535596386,-0.008925408889143479,0.026853224614274862,-0.03576269542072281,-0.15777789026618305,provided
2023,0.05004915347582255,0.00023977220604867914,0.03329559626154069,0.020458345239713117,-0.016133128128555295,0.001965041962765325,0.003652478812333484,-0.0029930755815222115,-0.02473253743331158,-0.02480887938711943,0.04769913915583303,0.06136623669109566,0.15536546106733207,provided
2024,-0.0028484657474021043,0.01185072087553814,0.038981868580248005,0.0023527357913661943,0.009456203769729077,0.025738714323520727,0.02760772212922479,-0.0063886013871388425,0.026122097679697445,0.01691448136076845,0.015918584597057844,0.006649662219966055,0.18548220284054695,provided
2025,0.011335477954644353,0.014151752713755435,0.015059366469579545,-0.004592833910969847,-0.00971776718182106,0.01508776659593275,0.024722054748945146,0.019506399300475888,0.04652686999667302,0.039877406551068126,0.01265613853823974,0.006187786296502544,0.20676465547361245,provided
2026,0.05165482868618037,0.03918531389703254,-0.06006559131599852,0.04224843522161615,0.04846329333443854,-0.012906076689562342,-0.07200349481962864,0.012373206065836742,,,,,0.040959211707015,provided
2021,,,,,,,,,,,0.011823513107091177,0.0455011048045062,0.05786260082064065,benchmark
2022,-0.038555048661155555,-0.03764899463411375,0.05224106173080045,-0.04436205678470162,-0.021808615725294134,-0.048492613509792615,0.0983971302566724,-0.005911668514862911,-0.03300660644562303,0.074833731854413,-0.015897204629291783,-0.10392316346308716,-0.13336259062780031,benchmark
2023,0.038631393940279146,0.04360792229810384,0.019889691973565826,0.049584774412222865,-0.00862243968723464,0.06587129154811167,-0.002500922541529671,0.01970522367114036,-0.030743958232085977,-0.021549076844858517,0.04300497763741551,0.037117099340304494,0.2793585428208236,benchmark
2024,0.05470838404897482,0.057548419419825025,0.04541927382754585,-0.014966218302117529,0.04311830966066266,0.043806802761991115,-0.0017776035679196722,-0.0028484618953281693,0.0075608636782800165,0.038726607196139184,0.07095578288667426,0.027836295573440584,0.4341166805294132,benchmark
2025,0.00885080804618732,-0.007078986299077106,-0.041325690719738795,-0.04113842204591278,0.023026065674164542,0.03457672944782675,0.05566073276357231,0.01531253029797952,0.04963895277739816,0.03906561652676843,0.02825082622320596,-0.015288936878936399,0.1535408267380316,benchmark
2026,0.00828052722608863,-0.006171864219317702,-0.0022507345476927565,0.08350047519414172,0.06782233020786066,0.02499901299595053,-0.08234183406494822,0.0007710809172516431,,,,,0.0888832490115481,benchmark
