series,QQQ,SPY,EWY,EEM,EWJ,TLT,GLD,optimized,provided,benchmark
QQQ,1.0,0.9179905500025043,0.6540704279557992,0.6417699370363934,0.7101000443252925,0.544453162585793,0.09998722716477577,0.6866211658029179,0.7486047640276178,0.9179905500025043
SPY,0.9179905500025043,1.0,0.6362979864961915,0.6638623969018793,0.7790296938232987,0.5546118540860163,0.1616456742666414,0.7686673525728417,0.76777157323891,1.0
EWY,0.6540704279557992,0.6362979864961915,1.0,0.8428859892372663,0.7432401312460408,0.5043864771915774,0.40199052136262525,0.6903689692224823,0.8455534894409636,0.6362979864961915
EEM,0.6417699370363934,0.6638623969018793,0.8428859892372663,1.0,0.7999449013932552,0.6410497162052917,0.4761753990688847,0.7779735275981293,0.9084976205701875,0.6638623969018792
EWJ,0.7101000443252925,0.7790296938232987,0.7432401312460408,0.7999449013932552,1.0,0.6847234704478282,0.44162634865091877,0.8322513202946535,0.8827910137785628,0.7790296938232987
TLT,0.544453162585793,0.5546118540860163,0.5043864771915774,0.6410497162052917,0.6847234704478282,1.0,0.36755314924740573,0.7382940824970575,0.8112623659410825,0.5546118540860162
GLD,0.09998722716477577,0.1616456742666414,0.40199052136262525,0.4761753990688847,0.44162634865091877,0.36755314924740573,1.0,0.7307207397940816,0.5913296574575523,0.1616456742666414
optimized,0.6866211658029179,0.7686673525728417,0.6903689692224823,0.7779735275981293,0.8322513202946535,0.7382940824970575,0.7307207397940816,1.0,0.9382467090738658,0.7686673525728417
provided,0.7486047640276178,0.76777157323891,0.8455534894409636,0.9084976205701875,0.8827910137785628,0.8112623659410825,0.5913296574575523,0.9382467090738658,1.0,0.76777157323891
benchmark,0.9179905500025043,1.0,0.6362979864961915,0.6638623969018792,0.7790296938232987,0.5546118540860162,0.1616456742666414,0.7686673525728417,0.76777157323891,1.0
