series,133690,402970,EWY,168580,200250,101280,TLT,385560,132030,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.4904316836212261,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.3701651107927573,0.18913324534019874,-0.11857479959343427,0.5629078210773664,0.587343259413293,0.8461214495694911
402970,0.34338955681722283,1.0,0.25207172797541577,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.35346114695768815,0.02697022287036301,-0.1923950485203593,0.5467458354738619,0.35222232211227167,0.5898381802682885
EWY,0.4904316836212261,0.25207172797541577,1.0,0.1979436038037874,0.24490834539781028,0.6027467446645225,0.3227659093388334,0.19683727938313822,0.2953531061332551,0.6238725158413602,0.752198498792953,0.49433227053781176
168580,0.12787406303260435,-0.024541245134344355,0.1979436038037874,1.0,-0.0856963733846185,0.11094319113580248,0.3342363916959403,0.0028445596138068105,0.08273629243768282,0.11625093540767342,0.34573870757787295,0.11791438036947684
200250,0.3845607251943168,0.31213395201139665,0.24490834539781028,-0.0856963733846185,1.0,0.4674343713616616,0.29202844166271813,0.05397455105281232,-0.16727981427189076,0.26167458894835066,0.34171547773048533,0.4716209983714054
101280,0.5654607535638793,0.4708411480487684,0.6027467446645225,0.11094319113580248,0.4674343713616616,1.0,0.38243533044946193,0.27879660332405787,0.07144350110987657,0.6717263980644758,0.676879114141397,0.6532104125058276
TLT,0.3701651107927573,0.35346114695768815,0.3227659093388334,0.3342363916959403,0.29202844166271813,0.38243533044946193,1.0,0.43766412852478026,-0.025483402152727458,0.3585385354235908,0.6590716588478187,0.445043868742541
385560,0.18913324534019874,0.02697022287036301,0.19683727938313822,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.43766412852478026,1.0,0.23842833920187922,0.3041489620374559,0.5931261427832877,0.23512664912363332
132030,-0.11857479959343427,-0.1923950485203593,0.2953531061332551,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.025483402152727458,0.23842833920187922,1.0,0.5800353231649275,0.45558661540986056,-0.15497305545214807
optimized,0.5629078210773664,0.5467458354738619,0.6238725158413602,0.11625093540767342,0.26167458894835066,0.6717263980644758,0.3585385354235908,0.3041489620374559,0.5800353231649275,1.0,0.8332567704317041,0.609280938412267
provided,0.587343259413293,0.35222232211227167,0.752198498792953,0.34573870757787295,0.34171547773048533,0.676879114141397,0.6590716588478187,0.5931261427832877,0.45558661540986056,0.8332567704317041,1.0,0.6193676048227797
benchmark,0.8461214495694911,0.5898381802682885,0.49433227053781176,0.11791438036947684,0.4716209983714054,0.6532104125058276,0.445043868742541,0.23512664912363332,-0.15497305545214807,0.609280938412267,0.6193676048227797,1.0
