date,optimized,optimized,provided,provided,benchmark,benchmark
,36m,60m,36m,60m,36m,60m
2021-11-30,,,,,,
2021-12-31,,,,,,
2022-01-31,,,,,,
2022-02-28,,,,,,
2022-03-31,,,,,,
2022-04-30,,,,,,
2022-05-31,,,,,,
2022-06-30,,,,,,
2022-07-31,,,,,,
2022-08-31,,,,,,
2022-09-30,,,,,,
2022-10-31,,,,,,
2022-11-30,,,,,,
2022-12-31,,,,,,
2023-01-31,,,,,,
2023-02-28,,,,,,
2023-03-31,,,,,,
2023-04-30,,,,,,
2023-05-31,,,,,,
2023-06-30,,,,,,
2023-07-31,,,,,,
2023-08-31,,,,,,
2023-09-30,,,,,,
2023-10-31,,,,,,
2023-11-30,,,,,,
2023-12-31,,,,,,
2024-01-31,,,,,,
2024-02-29,,,,,,
2024-03-31,,,,,,
2024-04-30,,,,,,
2024-05-31,,,,,,
2024-06-30,,,,,,
2024-07-31,,,,,,
2024-08-31,,,,,,
2024-09-30,,,,,,
2024-10-31,0.19138483113116567,,0.06116519665978237,,0.15181484414552715,
2024-11-30,0.194478270195392,,0.060908533989780356,,0.1738291959699525,
2024-12-31,0.192717729769315,,0.06183639545824615,,0.16718058353549847,
2025-01-31,0.21243687520865806,,0.07392405701401672,,0.18605711107854894,
2025-02-28,0.21169172574335615,,0.08909651871040247,,0.1984850544402379,
2025-03-31,0.2133633065515852,,0.09559781054633287,,0.16185321135370434,
2025-04-30,0.21256725382438724,,0.09935576950659164,,0.16315807540184046,
2025-05-31,0.22506237731110867,,0.10589255795980934,,0.180664214373778,
2025-06-30,0.23295808122142958,,0.12211790484700069,,0.2140686145158439,
2025-07-31,0.2353557112276501,,0.12131474767633588,,0.19811419443766587,
2025-08-31,0.24791193903900743,,0.12751387547789794,,0.20658109020968496,
2025-09-30,0.28455723453292814,,0.1681732459211276,,0.24001981608427148,
2025-10-31,0.29498991422099463,,0.19464321532170792,,0.22610926595777991,
2025-11-30,0.31971421620630336,,0.19727684116254607,,0.24417670640593636,
2025-12-31,0.3446770704466786,,0.2251161576924483,,0.28391582758073497,
2026-01-31,0.3582160701463686,,0.22581250429476185,,0.27128580829759796,
2026-02-28,0.3669628918570582,,0.24408690074926986,,0.2507423686615047,
2026-03-31,0.33094150785723175,,0.21476569522292377,,0.2416254649035432,
2026-04-30,0.3194022236759866,,0.21966757721899155,,0.2548577418563944,
2026-05-31,0.3406622982720686,,0.2533762665380772,,0.2863162137260089,
2026-06-30,0.3166679662089069,,0.25024906958944526,,0.26965967565071125,
2026-07-31,0.284741751085718,,0.2009982290218586,,0.23483845854894336,
2026-08-31,0.29178486462744235,,0.20942906312814324,,0.2271476718444425,
