series,QQQ,SPY,EWY,EEM,EWJ,TLT,GLD,optimized,provided,benchmark
QQQ,1.0,0.9162238271152017,0.558464783897092,0.5718097548057813,0.681679068078782,0.49337791549785204,-0.0040728472195368515,0.49137592140659175,0.7234358267131628,0.9162238271152017
SPY,0.9162238271152017,1.0,0.506989682188954,0.5451484405893675,0.7119373728215724,0.48551826633383277,0.022741743376416972,0.545437814500677,0.7078157734521788,1.0
EWY,0.558464783897092,0.506989682188954,1.0,0.800841304729394,0.6659550176394298,0.3384386118963691,0.24896478544030518,0.5123473866555125,0.7672914412396727,0.506989682188954
EEM,0.5718097548057813,0.5451484405893675,0.800841304729394,1.0,0.6973106989779461,0.5231374125000495,0.33347107439906554,0.5910229175571401,0.8559817213132875,0.5451484405893675
EWJ,0.681679068078782,0.7119373728215724,0.6659550176394298,0.6973106989779461,1.0,0.5958781716488503,0.27816213639727755,0.620723788034861,0.8243123497141539,0.7119373728215724
TLT,0.49337791549785204,0.48551826633383277,0.3384386118963691,0.5231374125000495,0.5958781716488503,1.0,0.28291072580938,0.49636092694038786,0.7736174221117439,0.48551826633383277
GLD,-0.0040728472195368515,0.022741743376416972,0.24896478544030518,0.33347107439906554,0.27816213639727755,0.28291072580938,1.0,0.8489365022081088,0.5056908838920313,0.02274174337641699
optimized,0.49137592140659175,0.545437814500677,0.5123473866555125,0.5910229175571401,0.620723788034861,0.49636092694038786,0.8489365022081088,1.0,0.8137998500298703,0.545437814500677
provided,0.7234358267131628,0.7078157734521788,0.7672914412396727,0.8559817213132875,0.8243123497141539,0.7736174221117439,0.5056908838920313,0.8137998500298703,1.0,0.7078157734521789
benchmark,0.9162238271152017,1.0,0.506989682188954,0.5451484405893675,0.7119373728215724,0.48551826633383277,0.02274174337641699,0.545437814500677,0.7078157734521789,1.0
