date,TO-BE Direct_drawdown,KAW Direct Proxy_drawdown,benchmark_drawdown
2022-06-30,0.0,0.0,0.0
2022-07-31,0.0,0.0,0.0
2022-08-31,0.0,-0.021938781138813424,-0.005912070139255543
2022-09-30,-0.040861750778369954,-0.061096745519728435,-0.0387233122516073
2022-10-31,0.0,-0.06947687686984116,0.0
2022-11-30,-0.006900586628347916,-0.04448929250820666,-0.015897677611298566
2022-12-31,-0.057126676877082505,-0.07866096650930954,-0.11816842671376315
2023-01-31,-0.018922251918715216,-0.03254877325667893,-0.08410182807361799
2023-02-28,-0.010166573040510274,-0.03231670646333973,-0.04416163691095332
2023-03-31,0.0,-9.715257110287645e-05,-0.02515030629259485
2023-04-30,0.0,0.0,0.0
2023-05-31,0.0,-0.016133164022714253,-0.008622364252217185
2023-06-30,0.0,-0.014199811812254937,0.0
2023-07-31,0.0,-0.01059924599706763,-0.002500989304618506
2023-08-31,0.0,-0.013560545331697815,0.0
2023-09-30,-0.017764759920370077,-0.0379576824834813,-0.030743890055949574
2023-10-31,-0.034657953033251476,-0.06182488766664207,-0.05163039286872484
2023-11-30,0.0,-0.017074770222552105,-0.010845853783212567
2023-12-31,0.0,0.0,0.0
2024-01-31,0.0,-0.0028484925021270424,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,0.0,-0.014966151842814357
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,-0.019204729555067135,0.0,-0.001777830030762928
2024-08-31,-0.02750031452933832,-0.006388588189455868,-0.004621112358154877
2024-09-30,-0.0006023285352642072,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,-0.021682350437662756,0.0,-0.007078986299077106
2025-03-31,-0.0430111282278266,0.0,-0.04811213302041106
2025-04-30,-0.0630572923810131,-0.004592782425495989,-0.08727139970499864
2025-05-31,-0.017571789556980577,-0.014265943715587426,-0.06625484484960698
2025-06-30,0.0,0.0,-0.03396888980049606
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,0.0,-0.01528893687893651
2026-01-31,0.0,0.0,-0.007134922069951144
2026-02-28,0.0,0.0,-0.01326283801664141
2026-03-31,-0.040646701920327155,-0.060065578310395384,-0.015483721436609588
2026-04-30,0.0,-0.020354819783074962,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,0.0,-0.012906076853208437,0.0
2026-07-31,-0.12273108781972897,-0.08398030062239359,-0.08234183406494822
2026-08-31,-0.10406564492007342,-0.07264620012162859,-0.08163424536463548
