asset,TO-BE Direct,KAW Direct Proxy
contribution_SPMO,4083.6134876144083,0.0
contribution_426030,8592.690506432438,0.0
contribution_277540,3299.72386434512,0.0
contribution_132030,2142.371539564014,2012.095421859385
contribution_144600,1200.2874320988167,0.0
contribution_XLE,2253.7757281757795,0.0
contribution_133690,0.0,1248.3744449779188
contribution_402970,0.0,738.8087000557877
contribution_069500,0.0,1715.7343248632008
contribution_168580,0.0,419.3970424095836
contribution_200250,0.0,122.55222239315597
contribution_101280,0.0,490.864927603939
contribution_TLT,0.0,-75.34585312150503
contribution_385560,0.0,-602.747476229347
