portfolio,ticker,name,target_weight_pct
TO-BE Direct,SPMO,Invesco S&P 500 Momentum ETF,20.0
TO-BE Direct,426030,TIME 미국나스닥100액티브,30.0
TO-BE Direct,277540,ACE 아시아TOP50,15.0
TO-BE Direct,132030,KODEX 골드선물(H),15.0
TO-BE Direct,144600,KODEX 은선물(H),5.0
TO-BE Direct,XLE,State Street Energy Select Sector SPDR ETF,15.0
TO-BE Direct,133690,TIGER 미국나스닥100,0.0
TO-BE Direct,402970,ACE 미국배당다우존스,0.0
TO-BE Direct,069500,KODEX 200,0.0
TO-BE Direct,168580,ACE 중국본토CSI300,0.0
TO-BE Direct,200250,KIWOOM 인도Nifty50(합성),0.0
TO-BE Direct,101280,KODEX 일본TOPIX100,0.0
TO-BE Direct,TLT,iShares 20+ Year Treasury Bond ETF,0.0
TO-BE Direct,385560,RISE KIS국고채30년Enhanced,0.0
KAW Direct Proxy,SPMO,Invesco S&P 500 Momentum ETF,0.0
KAW Direct Proxy,426030,TIME 미국나스닥100액티브,0.0
KAW Direct Proxy,277540,ACE 아시아TOP50,0.0
KAW Direct Proxy,132030,KODEX 골드선물(H),20.0
KAW Direct Proxy,144600,KODEX 은선물(H),0.0
KAW Direct Proxy,XLE,State Street Energy Select Sector SPDR ETF,0.0
KAW Direct Proxy,133690,TIGER 미국나스닥100,10.0
KAW Direct Proxy,402970,ACE 미국배당다우존스,10.0
KAW Direct Proxy,069500,KODEX 200,8.0
KAW Direct Proxy,168580,ACE 중국본토CSI300,8.5
KAW Direct Proxy,200250,KIWOOM 인도Nifty50(합성),8.5
KAW Direct Proxy,101280,KODEX 일본TOPIX100,5.0
KAW Direct Proxy,TLT,iShares 20+ Year Treasury Bond ETF,15.0
KAW Direct Proxy,385560,RISE KIS국고채30년Enhanced,15.0
