portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
KAW Direct Proxy v2,1,2022-01-31,2022-10-31,2024-03-31,-0.1569535789760722,27
KAW Direct Proxy v2,2,2026-06-30,2026-07-31,,-0.07648563339449199,3
KAW Direct Proxy v2,3,2026-03-31,2026-03-31,2026-05-31,-0.0662337791271349,3
KAW Direct Proxy v2,4,2025-05-31,2025-05-31,2025-06-30,-0.0035790764629901606,2
KAW Direct Proxy v2,5,2024-08-31,2024-08-31,2024-09-30,-0.001091858145198521,2
KAW Direct Proxy v2,6,2024-12-31,2024-12-31,2025-01-31,-0.00036150022543479654,2
KAW Core,1,2022-01-31,2022-12-31,2024-02-29,-0.14660233142441847,26
KAW Core,2,2026-07-31,2026-07-31,,-0.12596248663653953,2
KAW Core,3,2025-04-30,2025-05-31,2025-07-31,-0.03749052738976588,4
KAW Core,4,2026-03-31,2026-03-31,2026-04-30,-0.03394665597809721,2
KAW Core,5,2024-08-31,2024-08-31,2024-09-30,-0.01093813297701296,2
KAW Core,6,2024-04-30,2024-04-30,2024-05-31,-0.004234751727525632,2
KAW Core,7,2025-12-31,2025-12-31,2026-01-31,-0.003913308265525606,2
benchmark,1,2022-01-31,2022-06-30,2023-04-30,-0.13403043390642144,16
benchmark,2,2025-02-28,2025-04-30,2025-07-31,-0.0872712978326009,6
benchmark,3,2026-07-31,2026-07-31,,-0.0823418340649481,2
benchmark,4,2023-09-30,2023-10-31,2023-12-31,-0.05163046445148256,4
benchmark,5,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609588,5
benchmark,6,2024-04-30,2024-04-30,2024-05-31,-0.014966156802127206,2
benchmark,7,2023-05-31,2023-05-31,2023-06-30,-0.008622364600434529,2
benchmark,8,2024-07-31,2024-08-31,2024-09-30,-0.004621112358154766,3
benchmark,9,2023-07-31,2023-07-31,2023-08-31,-0.002500920282190733,2
