metric,unit,KAW Direct Proxy v2,KAW Core,benchmark
Start Balance,balance,10000.0,10000.0,10000.0
End Balance,balance,14672.91342988064,17378.146974705436,21127.96710772683
CAGR,pct,8.255921129278953,12.112978215696879,16.737917180941086
Annualized Return,pct,8.437489421603699,12.201796697354498,16.581396288643656
Standard Deviation,pct,9.854657270155155,11.963018829190789,14.302205245885688
Best Year,pct,21.14314388091636,27.94469006290379,43.41161491975265
Worst Year,pct,-15.353473093661274,-14.660233142441859,-13.336273527968112
Maximum Drawdown,pct,-15.69535789760722,-14.660233142441847,-13.403043390642145
Sharpe Ratio (ex-post),ratio,0.4665820978785411,0.6990136902843492,0.8909055149861195
Sortino Ratio,ratio,0.6886472784788629,1.0400318257348016,1.470436947194792
