metric,unit,KAW Native Proxy Canonical,KAW Core Revised Internal,benchmark
Start Balance,balance,10000.0,10000.0,10000.0
End Balance,balance,15575.13793366137,16046.160123505828,21127.96561035596
CAGR,pct,9.600742633807545,10.278430593840216,16.737915469204758
Annualized Return,pct,9.667145111432593,10.40550931680749,16.581395688566566
Standard Deviation,pct,9.704816233191055,10.798473759763393,14.302212215134864
Best Year,pct,21.437741103579675,23.105268603842543,43.41166427249519
Worst Year,pct,-13.83448581724791,-12.801378077211067,-13.336264980823586
Maximum Drawdown,pct,-13.834485817247899,-12.801378077211067,-13.403071474509098
Sharpe Ratio (ex-post),ratio,0.6004917777712212,0.6080513509837587,0.8909050389045514
Sortino Ratio,ratio,0.8975708669864145,0.8757500063441054,1.4704366782604914
