date,KAW Native Proxy Canonical_balance,KAW Core Revised Internal_balance,benchmark_balance
2021-11-01,10000.0,10000.0,10000.0
2021-11-30,10162.268212913921,10139.758476209781,10118.234419784863
2021-12-31,10334.465586614768,10263.406650411724,10578.625231147143
2022-01-31,9905.378564274482,9956.596997639946,10170.766592467986
2022-02-28,9920.101020049606,9956.274466737732,9787.84459027755
2022-03-31,9977.828659343608,9955.942457144642,10299.174251146012
2022-04-30,9647.706813404195,9684.444250211138,9842.28099356264
2022-05-31,9436.232124942862,9367.857542577216,9627.632961782889
2022-06-30,9192.963615335711,9359.403205689554,9160.764530396038
2022-07-31,9622.5241933446,9654.975986779647,10062.158329842377
2022-08-31,9423.026127265426,9641.817573634497,10002.672555469284
2022-09-30,9105.928225348773,9445.4000006497,9672.518118491791
2022-10-31,9041.90768943488,9369.329322084204,10396.353201471109
2022-11-30,9258.621400350368,9474.514576792884,10231.076089847555
2022-12-31,8904.745410746182,8949.549161490895,9167.831738993102
2023-01-31,9306.242911741403,9229.220670190492,9521.998606128986
2023-02-28,9365.968698873912,9418.327429025514,9937.234001966903
2023-03-31,9633.666935888845,9683.508172887012,10134.879318524754
2023-04-30,9871.897582587817,10031.631943155307,10637.415862358002
2023-05-31,9723.464109932951,9812.21343155238,10545.696994228285
2023-06-30,9739.507248793323,9946.943091614688,11240.35401698095
2023-07-31,9760.840674831152,9803.030191106125,11212.242011804354
2023-08-31,9764.383261660165,9849.863853913925,11433.183330751024
2023-09-30,9568.922838121367,9573.62687900255,11081.682019970633
2023-10-31,9348.785017824886,9341.854420796635,10842.882820970734
2023-11-30,9751.234952369909,9561.377243382056,11309.181464934032
2023-12-31,10304.38749549219,10163.819626730821,11728.945405988372
2024-01-31,10324.304887533064,10182.413666711347,12370.616224697826
2024-02-29,10461.141525006775,10408.19973994653,13082.525593433169
2024-03-31,10911.740168861068,10865.855525358045,13676.723559449852
2024-04-30,10955.017399118737,10852.181447384504,13472.034729001412
2024-05-31,11026.03816710911,10996.771273290837,14052.924423916731
2024-06-30,11349.097174387873,11276.956430249626,14668.538171797514
2024-07-31,11660.544920982851,11505.380448369986,14642.465007059482
2024-08-31,11557.568643688906,11354.452046929948,14600.754885039476
2024-09-30,11810.756005256557,11609.128633767608,14711.154027124036
2024-10-31,12055.319734847306,11875.020379687705,15280.862118795618
2024-11-30,12261.82346511077,12056.398033438263,16365.129446259722
2024-12-31,12398.652173516752,12282.678834565115,16820.67580834029
2025-01-31,12549.8446611262,12265.584083774025,16969.552334115873
2025-02-28,12703.412415782504,12553.38658242709,16849.42336755747
2025-03-31,12947.630736524838,12853.667056317416,16153.109308663848
2025-04-30,12878.21845957664,12527.988766267394,15488.595880570272
2025-05-31,12767.505741527573,12230.064439216776,15845.237306516878
2025-06-30,12940.086508769742,12480.09283720412,16393.112152541275
2025-07-31,13289.097733547522,12832.662991285475,17305.56651572343
2025-08-31,13602.093405246867,13137.39263066637,17570.55684635724
2025-09-30,14189.2817749113,13974.273321502515,18442.74265232925
2025-10-31,14767.699972709068,14713.222669507306,19163.218035430353
2025-11-30,14998.14053720222,15215.798799556795,19704.596555930653
2025-12-31,15056.643126808633,15120.6247710387,19403.334222962123
2026-01-31,15629.871364639288,15792.22001205827,19564.00406027226
2026-02-28,16491.765928637084,16780.53385128474,19443.257683626078
2026-03-31,15617.613206508551,16275.862463835763,19399.496071837846
2026-04-30,16211.990959736746,16780.274514616733,21019.36321236319
2026-05-31,16981.176671966085,17656.184858834855,22444.945404911046
2026-06-30,16766.6069879519,17901.093088037775,23006.04688678182
2026-07-31,15463.15739905879,15838.212543224903,21111.68679154001
2026-08-31,15575.13793366137,16046.160123505828,21127.96561035596
