metric,unit,SPY Candidate,benchmark
Start Balance,balance,10000.0,10000.0
End Balance,balance,21127.971599840643,15575.13793366137
CAGR,pct,16.737922316150943,9.600742633807545
Annualized Return,pct,16.55014956717328,9.667145111432593
Standard Deviation,pct,14.09514548403473,9.704816233191055
Best Year,pct,42.165324962277694,21.437741103579675
Worst Year,pct,-11.898860535917988,-13.83448581724791
Maximum Drawdown,pct,-13.167385018468769,-13.834485817247899
Sharpe Ratio (ex-post),ratio,0.9017762053573474,0.6004917777712212
Sortino Ratio,ratio,1.511900902298318,0.8975708669864145
