date,SPY Candidate_balance,benchmark_balance
2021-11-01,10000.0,10000.0
2021-11-30,10118.235853974094,10162.268212913921
2021-12-31,10549.915004628674,10334.465586614768
2022-01-31,9955.664213746944,9905.378564274482
2022-02-28,9787.845977636322,9920.101020049606
2022-03-31,10299.176448310183,9977.828659343608
2022-04-30,9842.283933462502,9647.706813404195
2022-05-31,9627.635080298274,9436.232124942862
2022-06-30,9160.765047096525,9192.963615335711
2022-07-31,10062.161328665106,9622.5241933446
2022-08-31,10002.673973278423,9423.026127265426
2022-09-30,9672.520357766,9105.928225348773
2022-10-31,10396.354675081737,9041.90768943488
2022-11-30,10231.076735393684,9258.621400350368
2022-12-31,9294.593291716159,8904.745410746182
2023-01-31,9522.000703454696,9306.242911741403
2023-02-28,9937.234610124846,9365.968698873912
2023-03-31,10134.882329294325,9633.666935888845
2023-04-30,10637.417370137578,9871.897582587817
2023-05-31,10545.6968841397,9723.464109932951
2023-06-30,11240.357216705306,9739.507248793323
2023-07-31,11212.242825224901,9760.840674831152
2023-08-31,11433.183342936209,9764.383261660165
2023-09-30,11085.33632604076,9568.922838121367
2023-10-31,10842.885176292673,9348.785017824886
2023-11-30,11309.182285763018,9751.234952369909
2023-12-31,11918.755418443194,10304.38749549219
2024-01-31,12370.618783542976,10324.304887533064
2024-02-29,13082.525828788957,10461.141525006775
2024-03-31,13676.726317499322,10911.740168861068
2024-04-30,13472.037479686946,10955.017399118737
2024-05-31,14052.926415820846,11026.03816710911
2024-06-30,14668.543619052845,11349.097174387873
2024-07-31,14642.465421587014,11660.544920982851
2024-08-31,14600.755336200795,11557.568643688906
2024-09-30,14711.152918158543,11810.756005256557
2024-10-31,15280.865958622406,12055.319734847306
2024-11-30,16365.131765902788,12261.82346511077
2024-12-31,16944.33558380282,12398.652173516752
2025-01-31,16969.556489907234,12549.8446611262
2025-02-28,16849.425755845823,12703.412415782504
2025-03-31,16153.109810988553,12947.630736524838
2025-04-30,15488.596347241762,12878.21845957664
2025-05-31,15845.239552468856,12767.505741527573
2025-06-30,16393.114476150695,12940.086508769742
2025-07-31,17305.570658249886,13289.097733547522
2025-08-31,17570.561017823387,13602.093405246867
2025-09-30,18442.745266459515,14189.2817749113
2025-10-31,19163.222480739896,14767.699972709068
2025-11-30,19704.599348919914,14998.14053720222
2025-12-31,19504.661959279845,15056.643126808633
2026-01-31,19564.00856814576,15629.871364639288
2026-02-28,19443.260439572372,16491.765928637084
2026-03-31,19399.498821581237,15617.613206508551
2026-04-30,21019.366191711462,16211.990959736746
2026-05-31,22444.94858632566,16981.176671966085
2026-06-30,23006.050147728656,16766.6069879519
2026-07-31,21111.689783974507,15463.15739905879
2026-08-31,21127.968605097867,15575.13793366137
