metric,unit,SPY Candidate,benchmark
Arithmetic Mean (monthly),pct,0.013791790166080266,0.00805595425952716
Arithmetic Mean (annualized),pct,0.17865102728718552,0.10107187749694924
Geometric Mean (monthly),pct,0.012980290890003854,0.007668752438750648
Geometric Mean (annualized),pct,0.16737918892677506,0.09600742633807569
Standard Deviation (monthly),pct,0.04068921350206606,0.02801539132334353
Standard Deviation (annualized),pct,0.14095157021119195,0.09704816233191055
Downside Deviation (monthly),pct,0.0227823300788531,0.01731341171848626
Maximum Drawdown,pct,-0.13167404257974324,-0.138344858172479
Benchmark Correlation,ratio,0.6618315047219687,1.0
Beta(*),ratio,0.961236025126916,1.0
Alpha (annualized),pct,0.07257740058057756,0.0
R2,pct,0.4380209406425453,1.0
Sharpe Ratio,ratio,0.9064545270877096,0.6072877283121925
Sortino Ratio,ratio,1.519744181412561,0.9077289531498861
Treynor Ratio (%),percent_number,13.291864388997135,5.893615803941883
Calmar Ratio,ratio,2.6027687056585886,1.8839151974507273
Modigliani–Modigliani Measure,pct,0.12636457367751014,0.09733098562562574
Active Return,pct,0.0713717625886996,
Tracking Error,pct,0.10573166211596481,
Information Ratio,ratio,0.6750273395912397,
Skewness,ratio,-0.3625825181582051,-0.6122072781396147
Excess Kurtosis,ratio,-0.11001468100986989,0.47344285360183536
Historical Value-at-Risk (5%),pct,0.049667927643039615,0.03871605406981406
Analytical Value-at-Risk (5%),pct,0.05313601024059591,0.03802526376913925
Conditional Value-at-Risk (5%),pct,0.07673420051506319,0.057422071439844576
Upside Capture Ratio (%),percent_number,130.8579989435361,100.0
Downside Capture Ratio (%),percent_number,86.7339021515064,100.0
Safe Withdrawal Rate,pct,0.29572964926032264,0.24961533493709773
Perpetual Withdrawal Rate,pct,0.13125519802095648,0.06244084397910826
Positive Periods,count,35 out of 58 (60.34%),41 out of 58 (70.69%)
Gain/Loss Ratio,ratio,1.5222006378563315,0.8488527114639671
