metric,unit,SPY Candidate,benchmark
Arithmetic Mean (monthly),pct,0.013790269712165602,0.009148863939884115
Arithmetic Mean (annualized),pct,0.17862981500509734,0.11548267012465963
Geometric Mean (monthly),pct,0.012971372105226697,0.008788472571484185
Geometric Mean (annualized),pct,0.16725585662108067,0.110711659727734
Standard Deviation (monthly),pct,0.04062977013090021,0.026906744101909998
Standard Deviation (annualized),pct,0.1407456523331271,0.09320769570152466
Downside Deviation (monthly),pct,0.023341044286362172,0.015696475272782708
Maximum Drawdown,pct,-0.174099046544398,-0.12801364039215657
Benchmark Correlation,ratio,0.6272599485790462,1.0
Beta(*),ratio,0.9471761959217444,1.0
Alpha (annualized),pct,0.06149620282296652,0.0
R2,pct,0.3934550430913877,1.0
Sharpe Ratio,ratio,0.9076510808924807,0.7730163658849437
Sortino Ratio,ratio,1.489206610445312,1.2200119108346963
Treynor Ratio (%),percent_number,13.487241763583624,7.205107420370231
Calmar Ratio,ratio,2.602771743881569,1.532911299824796
Modigliani–Modigliani Measure,pct,0.12299489333719318,0.11044590178990918
Active Return,pct,0.056544196893346665,
Tracking Error,pct,0.10972463783521968,
Information Ratio,ratio,0.5153281706726852,
Skewness,ratio,-0.3893215142931275,-0.5585088751369826
Excess Kurtosis,ratio,0.5620031891500821,2.5175591419674013
Historical Value-at-Risk (5%),pct,0.052037146915924815,0.03060224510620362
Analytical Value-at-Risk (5%),pct,0.0530397550498502,0.035108791685597676
Conditional Value-at-Risk (5%),pct,0.07729961646609634,0.048138227233359004
Upside Capture Ratio (%),percent_number,118.46522769160703,100.0
Downside Capture Ratio (%),percent_number,75.9394918144871,100.0
Safe Withdrawal Rate,pct,0.1820432880027564,0.1442896503251092
Perpetual Withdrawal Rate,pct,0.1308864446833436,0.08181874404565963
Positive Periods,count,95 out of 146 (65.07%),94 out of 146 (64.38%)
Gain/Loss Ratio,ratio,1.2554569675401712,1.3350890156162099
