date,optimized,optimized,provided,provided,benchmark,benchmark
,36m,60m,36m,60m,36m,60m
2017-09-30,,,,,,
2017-10-31,,,,,,
2017-11-30,,,,,,
2017-12-31,,,,,,
2018-01-31,,,,,,
2018-02-28,,,,,,
2018-03-31,,,,,,
2018-04-30,,,,,,
2018-05-31,,,,,,
2018-06-30,,,,,,
2018-07-31,,,,,,
2018-08-31,,,,,,
2018-09-30,,,,,,
2018-10-31,,,,,,
2018-11-30,,,,,,
2018-12-31,,,,,,
2019-01-31,,,,,,
2019-02-28,,,,,,
2019-03-31,,,,,,
2019-04-30,,,,,,
2019-05-31,,,,,,
2019-06-30,,,,,,
2019-07-31,,,,,,
2019-08-31,,,,,,
2019-09-30,,,,,,
2019-10-31,,,,,,
2019-11-30,,,,,,
2019-12-31,,,,,,
2020-01-31,,,,,,
2020-02-29,,,,,,
2020-03-31,,,,,,
2020-04-30,,,,,,
2020-05-31,,,,,,
2020-06-30,,,,,,
2020-07-31,,,,,,
2020-08-31,0.1902349711178657,,0.14974610232546537,,0.16472165234737046,
2020-09-30,0.1614170784472564,,0.10850252572914765,,0.12742318287623866,
2020-10-31,0.13821218092969234,,0.08705103253089375,,0.10561451997739946,
2020-11-30,0.15091780905001118,,0.1204158887465081,,0.13906826761420832,
2020-12-31,0.16255232259332186,,0.1319514481857358,,0.14606187134148874,
2021-01-31,0.1450585288860058,,0.12137094286782113,,0.12923038395292497,
2021-02-28,0.14456283497445632,,0.14812109878794155,,0.15366714051357833,
2021-03-31,0.16147937662062484,,0.1650436203809773,,0.19103045598120594,
2021-04-30,0.1660675603040227,,0.16382562342596674,,0.19939510488902235,
2021-05-31,0.17339997294836018,,0.16347153557251293,,0.1923600854262162,
2021-06-30,0.1684254416866071,,0.16540674655981125,,0.1885891614882671,
2021-07-31,0.1808047727178257,,0.16175309419004757,,0.19106239706853012,
2021-08-31,0.1884837716401191,,0.16687807810355393,,0.1947002854957609,
2021-09-30,0.18344673805737455,,0.16240961913736007,,0.1831196344000645,
2021-10-31,0.20295329302026177,,0.2025876695239539,,0.22442144854173418,
2021-11-30,0.21146067035341898,,0.2040854151176441,,0.22921400142442439,
2021-12-31,0.2306237875058339,,0.2366329302871315,,0.2867820739312028,
2022-01-31,0.19717772658578703,,0.20324341297079118,,0.24054634271487219,
2022-02-28,0.19985984178729876,,0.1981803393835626,,0.2096093301692492,
2022-03-31,0.20688842895579285,,0.20236159616490812,,0.21603504073635293,
2022-04-30,0.18761397377241695,,0.1756107954375321,,0.1720165963953657,
2022-05-31,0.17554906428555217,,0.19112920074630413,,0.1808320499477527,
2022-06-30,0.15168844345541999,,0.15551315646292485,,0.14634182482464442,
2022-07-31,0.15524209091042684,,0.16395477844332773,,0.16659491557430983,
2022-08-31,0.1395201648951423,0.14411778872272296,0.16360748367696631,0.14609481700436877,0.16408279756559807,0.15780325134468587
2022-09-30,0.14819678143805182,0.14226023010789612,0.15237571085961554,0.13244730538001015,0.14666866843200865,0.14096427916828413
2022-10-31,0.16963057419264094,0.15099038017782984,0.1799256222697656,0.1430706600849827,0.1774030944194227,0.15674850841901833
2022-11-30,0.1615986779876577,0.15417334159516782,0.17748544248266285,0.1510339586040661,0.1529523014028038,0.15506068493198888
2022-12-31,0.1344216629184991,0.13981375242518523,0.14364954165514177,0.13436671581565385,0.10750010235402274,0.12961188027638149
2023-01-31,0.11950989995912886,0.1307879244008434,0.1455762441702655,0.12588848883318193,0.11195606891219945,0.12515373592872114
2023-02-28,0.13876016243981515,0.1394121600642222,0.16791504955765713,0.1362901724667862,0.15155856742453944,0.14178263128143231
2023-03-31,0.17517493018377017,0.15565281264278763,0.2304519823684834,0.1503469435312086,0.21006441512374763,0.15642893433425642
2023-04-30,0.1501477975497536,0.16378630505068825,0.1907959341546117,0.1541209117413338,0.18290368793746525,0.16484323887207086
2023-05-31,0.11930014129191746,0.15113401758832934,0.15631265174786346,0.139028067159231,0.15345859586406618,0.15499606076437678
2023-06-30,0.1288056360375689,0.1512607102696364,0.17123245007655075,0.1427364422015336,0.18412403622590867,0.15989472428837903
2023-07-31,0.09861529214444809,0.14983623996093276,0.15072444849717748,0.1429618697951247,0.16364731252972997,0.15263107539357845
2023-08-31,0.09720024936458205,0.1546304896113937,0.13980156334589555,0.14524094401757348,0.14600402252058298,0.14921855660037253
2023-09-30,0.11692746571191326,0.1530915810452982,0.1657917620923992,0.1429405479386483,0.15625906992104022,0.14135379422172067
2023-10-31,0.14184690076924533,0.15977508938757823,0.17580271628493938,0.15145263539174336,0.16918291689899023,0.14759206084162235
2023-11-30,0.14306687235320514,0.1654628506447704,0.1553838093839235,0.15723502884006169,0.15423667407007513,0.15728889620961106
2023-12-31,0.1444717875560655,0.18156995607301574,0.1543658060506048,0.18077905094044389,0.16057034028750494,0.18759663935939197
2024-01-31,0.1544778895753829,0.17640238441696887,0.1508860719480427,0.1683744400603866,0.176138068821039,0.18351921233287594
2024-02-29,0.17970125892515743,0.18316928887093908,0.15708171234282586,0.1747264702744349,0.1849515123279395,0.18792213824029758
2024-03-31,0.20313077396498724,0.1942922206054405,0.17734259683715714,0.18342643677136783,0.1821244659260446,0.19015522928729123
2024-04-30,0.20019206612055807,0.18983420814168217,0.17430951804220762,0.1753583212992993,0.16327552876960638,0.17119105758059394
2024-05-31,0.19455085977793596,0.19688288928825415,0.17722556315800309,0.19381175293388497,0.17343001873905162,0.19168733345590927
2024-06-30,0.20617299278153212,0.19632350479014526,0.18042708527868956,0.1923941868614516,0.17724854104849785,0.1925580636178863
2024-07-31,0.19696015609670314,0.19028465648627235,0.1791443535083832,0.18413592808493817,0.1628488569853077,0.18232439469722483
2024-08-31,0.18221237182820427,0.1783759367901696,0.1651679390486287,0.17997718257776651,0.14502461505768705,0.18152299133361827
2024-09-30,0.19489738785256372,0.18707030702798622,0.17454800361887912,0.18268038933235897,0.15793846767221642,0.18054945999787364
2024-10-31,0.20886729289501083,0.20575440353717434,0.17706425622485233,0.19755208084861664,0.15181487135581606,0.19126533271015278
2024-11-30,0.21676116707375903,0.21015933989105529,0.192329742453895,0.20104463081969492,0.1738291834764607,0.19642762013956538
2024-12-31,0.223641927471266,0.21520550201840027,0.19436865507213175,0.20056018444790014,0.16718066323926362,0.20038794241346647
2025-01-31,0.24740194844038754,0.2097808792014888,0.20503198143336765,0.2012051685602927,0.1860569970755137,0.19630260348437334
2025-02-28,0.2409443261859361,0.21929367303674985,0.20675933565230276,0.21651508251682672,0.19848508411556653,0.20958259375995336
2025-03-31,0.2352963943822708,0.2398841498136517,0.19277675886115264,0.24845322983452856,0.16185321135370412,0.23075778167288719
2025-04-30,0.2374940243414858,0.2106210549277754,0.18131570619931492,0.2024328509964084,0.1631581058296676,0.19235293994056524
2025-05-31,0.2531528175513136,0.19985204815859725,0.1883140738381246,0.19365336316646742,0.1806643068224505,0.18185961740176282
2025-06-30,0.2697090878395316,0.2049779158944227,0.22302426822559362,0.2024192718452349,0.21406868358775233,0.19347851339986488
2025-07-31,0.2698558239404145,0.1973791292650653,0.22140026791756862,0.19904218511085947,0.19811419443766543,0.1945146872967325
2025-08-31,0.2783443808934378,0.19420760976392892,0.22755085002920672,0.1920187198379173,0.20658099191268775,0.18259316042704876
2025-09-30,0.31399126960382806,0.2300637480517509,0.26901541157785713,0.2281633360227826,0.24001989029190773,0.20802817155511732
2025-10-31,0.3119272708970202,0.2533824585389828,0.2575742409367314,0.2475078803740023,0.2261092320278617,0.23081903881465604
2025-11-30,0.33757801580576774,0.26309473872380384,0.2653276504936628,0.23817599639995923,0.24417673902261638,0.2178791527947157
2025-12-31,0.3607009982281262,0.25269115162625444,0.2968793110721615,0.23082563433038672,0.2839159347309903,0.20927859642510782
2026-01-31,0.38083037186047863,0.265227867742305,0.32246399914072654,0.243014271059379,0.2712858748435112,0.2080593373446984
2026-02-28,0.39059066067406234,0.28060929906653476,0.3323575384467501,0.24242191103870536,0.25074236866150446,0.19849392096607876
2026-03-31,0.35980130947386635,0.27029840261882554,0.3151388654470664,0.23710481911625902,0.24162543276054538,0.18565841796354876
2026-04-30,0.36152923375151946,0.27718907964230843,0.3304246528109782,0.250583607357286,0.2548577418563944,0.19686954613568264
2026-05-31,0.4004831464510099,0.2800442288064786,0.37885823492686166,0.26122548715250726,0.28631618110027324,0.20877281715628349
2026-06-30,0.38829946501942114,0.27674149754726884,0.3646238417799652,0.2562247149755321,0.2696596756507115,0.20673500137743606
2026-07-31,0.3388132387224574,0.2398271185953511,0.3152640566921834,0.23132078536170342,0.23483848703069166,0.1778655235899358
2026-08-31,0.3385061028284415,0.2399931364546375,0.3166623773909407,0.23130667380833425,0.2271477293883597,0.16784541060528668
