point,ex_ante_sharpe,ex_post_sharpe,cagr_pct,monthly_gain_to_pain_ratio,pain_ratio,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_cagr_pct,delta_sharpe,delta_monthly_gain_to_pain_ratio,delta_pain_ratio,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
1,0.6057099492317801,1.1167513253993087,8.421884160638115,1.22346128694454,4.675199981146723,8.39021586019651,7.513056550164809,-7.203932675014036,7.203932675014036,63.793103448275865,104.48093841692736,1.8013954899470235,23,58,,,,,,,,,,,gmv_to_max_sharpe
2,0.6281973525102248,1.1391707547894532,8.604649265396546,1.2538967391258877,4.987740332881247,8.55979284367699,7.514055998794536,-7.130577878565747,7.130577878565747,62.06896551724138,100.05927014743052,1.7251598301281126,23,58,0.1827651047584311,0.02241942939014452,0.03043545218134769,0.31254035173452355,-0.0733547964482888,-1.724137931034484,-0.0762356598189109,-0.327192968080335,-7.6903738316926455,-0.34004281952164117,gmv_to_max_sharpe
3,0.6504799195195942,1.1612292273909908,8.787520710842722,1.2844526565268666,5.323387000042281,8.729369827157472,7.517352837191598,-7.055993380003489,7.055993380003489,62.06896551724138,95.74284214633084,1.6507386576953593,23,58,0.1828714454461764,0.022058472601537593,0.03055591740097885,0.33564666716103453,-0.0745844985622579,0.0,-0.07442117243275326,-0.3381217725703228,0.0,-0.3373813490040362,gmv_to_max_sharpe
4,0.6725586232082308,1.182944152469989,8.97046314775929,1.3147727179644622,5.632896785905707,8.898946810637952,7.522710849922152,-6.954557123475835,6.954557123475835,62.06896551724138,92.36577241604516,1.59251331751802,23,58,0.18294243691656753,0.021714925078998304,0.03032006143759558,0.30950978586342615,-0.10143625652765387,0.0,-0.05822534017733938,-0.4671269007773757,0.0,-0.2681351188895066,gmv_to_max_sharpe
5,0.6944547404460029,1.204366019490121,9.153556239280313,1.345292622935194,5.925596667198052,9.06852379411843,7.52970745385001,-6.850524913660672,6.850524913660672,60.3448275862069,89.59540982888055,1.5447484453255267,15,58,0.18309309152102315,0.021421867020131824,0.03051990497073187,0.2926998812923447,-0.10403220981516359,-1.724137931034484,-0.04776487219249326,-0.48563558777298116,-8.04849516344292,-0.22297249883777556,gmv_to_max_sharpe
6,0.7161551924836879,1.2254828582625343,9.33680502670111,1.3760625585074617,6.187421574167492,9.238100777598913,7.538335371493085,-6.7464465144998265,6.7464465144998265,60.3448275862069,87.5218675594328,1.508997716541945,15,58,0.18324878742079775,0.021116838772413438,0.030769935572267704,0.26182490696943983,-0.10407839916084516,0.0,-0.03575072878358165,-0.49286922291044266,0.0,-0.16929962466865828,gmv_to_max_sharpe
7,0.7376544500462141,1.2462953186798862,9.520196608082166,1.4056457300497647,6.452947128465993,9.407677761079391,7.54851408014939,-6.634413553884066,6.634413553884066,60.3448275862069,85.56887144371022,1.4753253697191417,15,58,0.1833915813810556,0.020812460417351852,0.029583171542302944,0.26552555429850155,-0.1120329606157604,0.0,-0.03367234682280329,-0.5382975312344898,0.0,-0.161789361505427,gmv_to_max_sharpe
8,0.7589548005674133,1.266816367477346,9.703755894892074,1.435105971370879,6.728991540452979,9.577254744559871,7.560097098864757,-6.520671855616611,6.520671855616611,60.3448275862069,83.64074148707472,1.4420817497771503,15,58,0.18355928680990807,0.020521048797459862,0.029460241321114244,0.2760444119869856,-0.1137416982674555,0.0,-0.03324361994199143,-0.5542684459750161,0.0,-0.16199766527579426,gmv_to_max_sharpe
9,0.7800463030589115,1.2870375688575744,9.887486913931,1.4647364645882515,7.018210825743447,9.746831728040352,7.573074760119107,-6.4068626469204855,6.4068626469204855,60.3448275862069,81.71231318734988,1.408832985988791,15,58,0.18373101903892497,0.020221201380228315,0.029630493217372544,0.2892192852904678,-0.1138092086961251,0.0,-0.03324876378835939,-0.5628212021438268,0.0,-0.16442526417282527,gmv_to_max_sharpe
10,0.8009191541350031,1.3069505435553148,10.071389635309247,1.494538689817336,7.316637304793399,9.916408711520834,7.587439907668654,-6.292985926209482,6.292985926209482,58.620689655172406,79.83730428529569,1.3765052462982015,15,58,0.1839027213782476,0.01991297469774045,0.0298022252290846,0.2984264790499518,-0.11387672071100319,-1.724137931034491,-0.03232773969058944,-0.571871970107635,-8.658364494532961,-0.1623451050447913,gmv_to_max_sharpe
11,0.8215640158214152,1.326547509141795,10.255464028758965,1.524514144380319,7.557797055954287,10.085985695001314,7.603184677137122,-6.179041691921439,6.179041691921439,56.896551724137936,78.70241940399858,1.3569382655861824,12,58,0.184074393449718,0.019596965586480275,0.029975454562982895,0.24115975116088872,-0.11394423428804323,-1.7241379310344698,-0.019566980712019122,-0.5814381506423223,-8.797984174774145,-0.09984699225842476,gmv_to_max_sharpe
