series,QQQ,SPMO,AIA,GLD,XLE,144600,SCHD,optimized,provided,benchmark
QQQ,1.0,0.8307431532754078,0.48121219842274743,0.03869646925883177,0.25973021385462175,0.10476895074455932,0.5603519896492206,0.724423265996654,0.7961552618438567,0.9086912383479804
SPMO,0.8307431532754078,1.0,0.39782019756284526,-0.003470597960833272,0.3214114501379718,0.03988843479722801,0.6032431751144751,0.7390164389092768,0.7884580668360178,0.8543601269091606
AIA,0.48121219842274743,0.39782019756284526,1.0,0.1803393761275348,0.1917795760499787,0.3204392682439326,0.32473511865637505,0.4601427147572639,0.6395974989902314,0.43189883222251974
GLD,0.03869646925883177,-0.003470597960833272,0.1803393761275348,1.0,-0.02238646682952373,0.537130049965586,0.0861095142637146,0.6357273797900685,0.2905913394393182,0.04691014590942376
XLE,0.25973021385462175,0.3214114501379718,0.1917795760499787,-0.02238646682952373,1.0,0.08067234506911547,0.7341812107027286,0.3634035900907225,0.6452385364153916,0.5171140974031581
144600,0.10476895074455932,0.03988843479722801,0.3204392682439326,0.537130049965586,0.08067234506911547,1.0,0.11177949490084342,0.39733587853430297,0.3743749797716791,0.117065790174787
SCHD,0.5603519896492206,0.6032431751144751,0.32473511865637505,0.0861095142637146,0.7341812107027286,0.11177949490084342,1.0,0.6223292499103193,0.7972251300355984,0.7956089466655881
optimized,0.724423265996654,0.7390164389092768,0.4601427147572639,0.6357273797900685,0.3634035900907225,0.39733587853430297,0.6223292499103193,1.0,0.8701783139426796,0.7619597226843986
provided,0.7961552618438567,0.7884580668360178,0.6395974989902314,0.2905913394393182,0.6452385364153916,0.3743749797716791,0.7972251300355984,0.8701783139426796,1.0,0.8856609213427612
benchmark,0.9086912383479804,0.8543601269091606,0.43189883222251974,0.04691014590942376,0.5171140974031581,0.117065790174787,0.7956089466655881,0.7619597226843986,0.8856609213427612,1.0
