metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,5.137086565777068,5.282151532409946,4.394560197716654
CAGR,pct,19.941242278307115,20.312933867315742,17.87862094852435
Annualized Return,pct,19.210169234724944,19.287343821707424,17.690013987018148
Expected Return,pct,19.210169234724944,19.28734382170742,17.690013987018148
Standard Deviation,pct,13.398110287703297,11.499993539945274,15.064733392790608
Best Year,pct,40.376509825952354,47.746528874466776,43.41166427249519
Worst Year,pct,-2.7990404613035924,0.2474643367012863,-13.336264980823575
Maximum Drawdown,pct,-15.67104426808168,-11.221149409492304,-17.40988125346956
Sharpe Ratio (ex-post),ratio,1.1472279408097856,1.3432930209420144,0.9194010187412798
Sortino Ratio,ratio,1.8858336185265394,2.420393289536247,1.4655842538076798
