series,QQQ,SPMO,AIA,GLD,XLE,144600,SCHD,optimized,provided,benchmark
QQQ,1.0,0.8307432637896053,0.48121208349851247,0.038697127171267984,0.25973016795810155,0.10476922990984738,0.5603522753358222,0.7244234146120005,0.796155367082262,0.9086909663014424
SPMO,0.8307432637896053,1.0,0.3978207662432991,-0.003470810487550275,0.3214116063536893,0.03988790742494425,0.6032433740221769,0.7390164431546444,0.7884581275278103,0.8543603714019806
AIA,0.48121208349851247,0.3978207662432991,1.0,0.18033947860119776,0.19177945879060665,0.3204390955926803,0.3247350705677322,0.4601428136244669,0.6395975637075566,0.4318984367145942
GLD,0.038697127171267984,-0.003470810487550275,0.18033947860119776,1.0,-0.02238622213624089,0.537130049965586,0.08610964224003691,0.6357274231361328,0.2905915578994394,0.046910175754695756
XLE,0.25973016795810155,0.3214116063536893,0.19177945879060665,-0.02238622213624089,1.0,0.08067264886641305,0.734181019779596,0.36340370551546136,0.6452385222519881,0.5171146442881711
144600,0.10476922990984738,0.03988790742494425,0.3204390955926803,0.537130049965586,0.08067264886641305,1.0,0.11177950649505224,0.397335635704207,0.3743749517095473,0.11706602869152331
SCHD,0.5603522753358222,0.6032433740221769,0.3247350705677322,0.08610964224003691,0.734181019779596,0.11177950649505224,1.0,0.6223295428475155,0.7972251136984304,0.7956092218105472
optimized,0.7244234146120005,0.7390164431546444,0.4601428136244669,0.6357274231361328,0.36340370551546136,0.397335635704207,0.6223295428475155,1.0,0.8701783456629983,0.7619596979770337
provided,0.796155367082262,0.7884581275278103,0.6395975637075566,0.2905915578994394,0.6452385222519881,0.3743749517095473,0.7972251136984304,0.8701783456629983,1.0,0.8856610005409682
benchmark,0.9086909663014424,0.8543603714019806,0.4318984367145942,0.046910175754695756,0.5171146442881711,0.11706602869152331,0.7956092218105472,0.7619596979770337,0.8856610005409682,1.0
