series,QQQ,SPMO,AIA,GLD,XLE,144600,SCHD,138920,optimized,provided,benchmark
QQQ,1.0,0.823629930593623,0.4800281275212924,0.007366632198098332,0.24735153631092363,0.05652979508753654,0.5643641903273962,-0.14194222784172775,0.768524848645749,0.774216896408074,0.8997011807718311
SPMO,0.823629930593623,1.0,0.3874170787233223,0.014388661636089565,0.3252477854842686,0.011461350107938213,0.6155154223074706,-0.1214549561669169,0.7488567903341335,0.7808996797849673,0.8543584429322124
AIA,0.4800281275212924,0.3874170787233223,1.0,0.14407716893059028,0.17849491341602716,0.293179480848039,0.310969216800969,0.09981739404127132,0.5416980651696747,0.6413165542243464,0.4228556974449306
GLD,0.007366632198098332,0.014388661636089565,0.14407716893059028,1.0,-0.03130217496570573,0.5137104269041929,0.08537801077162913,-0.024839458998929698,0.5838435401151812,0.2963835836462527,0.03274030041195821
XLE,0.24735153631092363,0.3252477854842686,0.17849491341602716,-0.03130217496570573,1.0,0.0651249692648929,0.7170352423990961,0.14312544532699176,0.3223180975734092,0.6343055766049632,0.5145950341293939
144600,0.05652979508753654,0.011461350107938213,0.293179480848039,0.5137104269041929,0.0651249692648929,1.0,0.0656990554146793,0.12530350262884596,0.3582320324923718,0.36365705178981733,0.07006673743305507
SCHD,0.5643641903273962,0.6155154223074706,0.310969216800969,0.08537801077162913,0.7170352423990961,0.0656990554146793,1.0,0.0286757652419655,0.6477182668284514,0.7713937047412787,0.8033955958961252
138920,-0.14194222784172775,-0.1214549561669169,0.09981739404127132,-0.024839458998929698,0.14312544532699176,0.12530350262884596,0.0286757652419655,1.0,-0.020402752628390797,0.08374309033916977,-0.05244289435487997
optimized,0.768524848645749,0.7488567903341335,0.5416980651696747,0.5838435401151812,0.3223180975734092,0.3582320324923718,0.6477182668284514,-0.020402752628390797,1.0,0.8917545346683992,0.7913587033254573
provided,0.774216896408074,0.7808996797849673,0.6413165542243464,0.2963835836462527,0.6343055766049632,0.36365705178981733,0.7713937047412787,0.08374309033916977,0.8917545346683992,1.0,0.8662396199282151
benchmark,0.8997011807718311,0.8543584429322124,0.4228556974449306,0.03274030041195821,0.5145950341293939,0.07006673743305507,0.8033955958961252,-0.05244289435487997,0.7913587033254573,0.8662396199282151,1.0
