portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
optimized,1,2026-07-31,0,0.0,-0.10492354292908324,-0.10492354292908324,False
optimized,1,2026-08-31,1,27.443144289948222,-0.07612922364892916,-0.10492354292908324,False
optimized,2,2020-10-31,0,0.0,-0.08968987442675991,-0.08968987442675991,True
optimized,2,2020-11-30,1,25.19596826354111,-0.0670916421305836,-0.08968987442675991,True
optimized,2,2020-12-31,2,66.94285508367679,-0.029648911764522334,-0.08968987442675991,True
optimized,2,2021-01-31,3,83.06895373810822,-0.015185434131427367,-0.08968987442675991,True
optimized,2,2021-02-28,4,71.44500171178181,-0.025610942107266332,-0.08968987442675991,True
optimized,2,2021-03-31,5,91.53063430574821,-0.007596163455917515,-0.08968987442675991,True
optimized,2,2021-04-30,6,100.0,0.0,-0.08968987442675991,True
optimized,3,2020-03-31,0,0.0,-0.0721904311326742,-0.0721904311326742,True
optimized,3,2020-04-30,1,100.0,0.0,-0.0721904311326742,True
optimized,4,2022-06-30,0,0.0,-0.0672444455808705,-0.0672444455808705,True
optimized,4,2022-07-31,1,55.45660135699478,-0.029952961460365857,-0.0672444455808705,True
optimized,4,2022-08-31,2,57.420107514332294,-0.028632612630917986,-0.0672444455808705,True
optimized,4,2022-09-30,3,44.931226696659635,-0.03703069129601766,-0.0672444455808705,True
optimized,4,2022-10-31,4,84.78596968446675,-0.010230590336185896,-0.0672444455808705,True
optimized,4,2022-11-30,5,94.42575195865199,-0.0037483721907070056,-0.0672444455808705,True
optimized,4,2022-12-31,6,12.276554248864484,-0.05898914473978678,-0.0672444455808705,True
optimized,4,2023-01-31,7,45.6085587966424,-0.03657522308064298,-0.0672444455808705,True
optimized,4,2023-02-28,8,82.51033930023621,-0.011760825371531558,-0.0672444455808705,True
optimized,4,2023-03-31,9,100.0,0.0,-0.0672444455808705,True
optimized,5,2018-12-31,0,0.0,-0.0599346347852151,-0.0599346347852151,True
optimized,5,2019-01-31,1,90.57916610072766,-0.005646342391250614,-0.0599346347852151,True
optimized,5,2019-02-28,2,100.0,0.0,-0.0599346347852151,True
optimized,6,2018-03-31,0,0.0,-0.046734494641809454,-0.046734494641809454,True
