series,QQQ,SPMO,AIA,GLD,XLE,144600,SCHD,138920,optimized,provided,benchmark
QQQ,1.0,0.8236302516718367,0.4800282369809069,0.007367023877655302,0.24735160482189578,0.0565300251757628,0.5643644288137633,-0.1419418078165289,0.8098364544015938,0.7742172035403733,0.8997014954165208
SPMO,0.8236302516718367,1.0,0.3874171061814767,0.014389571395454312,0.32524729017786225,0.011461313619805936,0.615515584706075,-0.12145540502119281,0.7819648818811278,0.7808998057205894,0.8543586556783114
AIA,0.4800282369809069,0.3874171061814767,1.0,0.14407699184690667,0.17849435132893,0.2931793542329548,0.3109690873021724,0.099817366419973,0.5196330518651529,0.6413162843676765,0.42285542404367144
GLD,0.007367023877655302,0.014389571395454312,0.14407699184690667,1.0,-0.03130223363279335,0.5137104269041929,0.08537772342973761,-0.024839458998929698,0.5489313194991292,0.29638382687247056,0.032740053600139464
XLE,0.24735160482189578,0.32524729017786225,0.17849435132893,-0.03130223363279335,1.0,0.06512485598307617,0.7170348260682974,0.14312521069117343,0.30648466323019746,0.6343052947784167,0.5145952075775241
144600,0.0565300251757628,0.011461313619805936,0.2931793542329548,0.5137104269041929,0.06512485598307617,1.0,0.06569945441420916,0.12530350262884596,0.3304683767689962,0.3636569906400432,0.07006713567267107
SCHD,0.5643644288137633,0.615515584706075,0.3109690873021724,0.08537772342973761,0.7170348260682974,0.06569945441420916,1.0,0.028676217989398293,0.6091470704827567,0.7713937161462415,0.8033954011206775
138920,-0.1419418078165289,-0.12145540502119281,0.099817366419973,-0.024839458998929698,0.14312521069117343,0.12530350262884596,0.028676217989398293,1.0,-0.10167582270246169,0.08374299341776947,-0.05244271646792592
optimized,0.8098364544015938,0.7819648818811278,0.5196330518651529,0.5489313194991292,0.30648466323019746,0.3304683767689962,0.6091470704827567,-0.10167582270246169,1.0,0.8843997014365715,0.8054794160296688
provided,0.7742172035403733,0.7808998057205894,0.6413162843676765,0.29638382687247056,0.6343052947784167,0.3636569906400432,0.7713937161462415,0.08374299341776947,0.8843997014365715,1.0,0.8662398228781916
benchmark,0.8997014954165208,0.8543586556783114,0.42285542404367144,0.032740053600139464,0.5145952075775241,0.07006713567267107,0.8033954011206775,-0.05244271646792592,0.8054794160296688,0.8662398228781916,1.0
