portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
optimized,1,2026-07-31,2026-07-31,,-0.11635141707257624,2,1,,2,
optimized,2,2020-09-30,2020-10-31,2021-05-31,-0.107296708035586,9,2,7.0,9,0.21479236041185734
optimized,3,2022-04-30,2022-06-30,2023-03-31,-0.0808874012850409,12,3,9.0,12,0.11902994342265316
optimized,4,2020-02-29,2020-03-31,2020-04-30,-0.07659764242582712,3,2,1.0,3,1.6020057481333132
optimized,5,2018-09-30,2018-12-31,2019-02-28,-0.0730445623960988,6,4,2.0,6,0.5763289861038361
optimized,6,2018-02-28,2018-03-31,2018-06-30,-0.04688516996127501,5,2,3.0,5,0.21176691823597182
optimized,7,2016-03-31,2016-03-31,2016-07-31,-0.04593501012516388,5,1,4.0,5,0.15150577894193118
optimized,8,2022-01-31,2022-01-31,2022-03-31,-0.04203604518299742,3,1,2.0,3,0.29391274457264904
optimized,9,2026-03-31,2026-03-31,2026-04-30,-0.026728022229230763,2,1,1.0,2,0.38416979087697234
optimized,10,2017-11-30,2017-11-30,2018-01-31,-0.023794646783177442,3,1,2.0,3,0.15545461303042862
optimized,11,2021-09-30,2021-09-30,2021-10-31,-0.02002069996082556,2,1,1.0,2,0.27466826366468644
optimized,12,2019-09-30,2019-10-31,2019-12-31,-0.018270400034143153,4,2,2.0,4,0.1169884613219665
optimized,13,2016-08-31,2016-08-31,2016-10-31,-0.01602221740929688,3,1,2.0,3,0.10176315538852698
optimized,14,2023-09-30,2023-09-30,2023-11-30,-0.015795149714419532,3,1,2.0,3,0.10023889607250891
optimized,15,2017-03-31,2017-03-31,2017-04-30,-0.012931173149417607,2,1,1.0,2,0.1690437455630902
optimized,16,2016-11-30,2016-11-30,2016-12-31,-0.012498753363508364,2,1,1.0,2,0.16291552734752401
optimized,17,2019-05-31,2019-05-31,2019-06-30,-0.01185997070318856,2,1,1.0,2,0.15392633854788107
optimized,18,2025-04-30,2025-04-30,2025-05-31,-0.01043488187275976,2,1,1.0,2,0.13414207469122696
optimized,19,2023-05-31,2023-05-31,2023-06-30,-0.009322006463719279,2,1,1.0,2,0.11894775534359425
optimized,20,2024-08-31,2024-08-31,2024-09-30,-0.006547115954837257,2,1,1.0,2,0.08201355484018302
optimized,21,2023-07-31,2023-07-31,2023-08-31,-0.004687494758753963,2,1,1.0,2,0.05800196021277748
optimized,22,2025-12-31,2025-12-31,2026-01-31,-0.0035571848125051098,2,1,1.0,2,0.04368980082024887
optimized,23,2017-01-31,2017-01-31,2017-02-28,-6.738113551052471e-05,2,1,1.0,2,0.0008089278744691786
provided,1,2020-02-29,2020-03-31,2020-05-31,-0.14861442642764355,4,2,2.0,4,1.6256829156381278
provided,2,2018-10-31,2018-12-31,2019-03-31,-0.10850521350417663,6,3,3.0,6,0.5831598561497391
provided,3,2020-09-30,2020-10-31,2020-12-31,-0.10640309601768883,4,2,2.0,4,0.9640388196487122
provided,4,2026-07-31,2026-07-31,,-0.09203618504634148,2,1,,2,
provided,5,2022-04-30,2022-06-30,2022-10-31,-0.06849463208717499,7,3,4.0,7,0.23721140342208114
provided,6,2018-02-28,2018-03-31,2018-06-30,-0.05658856960865388,5,2,3.0,5,0.2623955778793503
provided,7,2022-12-31,2022-12-31,2023-03-31,-0.052645558066604314,4,1,3.0,4,0.24150941370741763
provided,8,2025-04-30,2025-04-30,2025-06-30,-0.04562767578905447,3,1,2.0,3,0.32340563469539796
provided,9,2019-05-31,2019-05-31,2019-06-30,-0.03601641298663805,2,1,1.0,2,0.5529745016092473
provided,10,2023-05-31,2023-05-31,2023-06-30,-0.03599894899081768,2,1,1.0,2,0.5526369280596715
provided,11,2023-09-30,2023-10-31,2023-12-31,-0.027408297016756955,4,2,2.0,4,0.1814535126770116
provided,12,2017-01-31,2017-03-31,2017-06-30,-0.022368954142574782,6,3,3.0,6,0.0947124602433207
provided,13,2015-12-31,2016-01-31,2016-02-29,-0.021572108512765475,3,2,1.0,3,0.2991344736894428
provided,14,2024-07-31,2024-08-31,2024-10-31,-0.021146003669064828,4,2,2.0,4,0.13682205496279254
