portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
optimized,1,2026-07-31,2026-07-31,,-0.11635146648359218,2,1,,2,
optimized,2,2020-09-30,2020-10-31,2021-05-31,-0.10729666909478897,9,2,7.0,9,0.2147922695706428
optimized,3,2022-04-30,2022-06-30,2023-03-31,-0.08088730102970021,12,3,9.0,12,0.11902978067333136
optimized,4,2020-02-29,2020-03-31,2020-04-30,-0.07659752600564096,3,2,1.0,3,1.6020018114865047
optimized,5,2018-09-30,2018-12-31,2019-02-28,-0.07304471362492071,6,4,2.0,6,0.57633052913278
optimized,6,2018-02-28,2018-03-31,2018-06-30,-0.04688521200399831,5,2,3.0,5,0.2117671320443617
optimized,7,2016-03-31,2016-03-31,2016-07-31,-0.0459350472600234,5,1,4.0,5,0.1515059134013521
optimized,8,2022-01-31,2022-01-31,2022-03-31,-0.04203609108147066,3,1,2.0,3,0.293913116540482
optimized,9,2026-03-31,2026-03-31,2026-04-30,-0.026727976410700238,2,1,1.0,2,0.384169008929792
optimized,10,2017-11-30,2017-11-30,2018-01-31,-0.023794529295844025,3,1,2.0,3,0.1554537786697674
optimized,11,2021-09-30,2021-09-30,2021-10-31,-0.020020651232199427,2,1,1.0,2,0.27466750308356125
optimized,12,2019-09-30,2019-10-31,2019-12-31,-0.01827029013525261,4,2,2.0,4,0.11698771108028416
optimized,13,2016-08-31,2016-08-31,2016-10-31,-0.016022042281068183,3,1,2.0,3,0.10176197883934202
optimized,14,2023-09-30,2023-09-30,2023-11-30,-0.015795188851590924,3,1,2.0,3,0.10023915858032484
optimized,15,2017-03-31,2017-03-31,2017-04-30,-0.01293123220344039,2,1,1.0,2,0.16904458485730078
optimized,16,2016-11-30,2016-11-30,2016-12-31,-0.012498743159462533,2,1,1.0,2,0.162915383147898
optimized,17,2019-05-31,2019-05-31,2019-06-30,-0.011860080195852163,2,1,1.0,2,0.1539278729040121
optimized,18,2025-04-30,2025-04-30,2025-05-31,-0.010434859191238322,2,1,1.0,2,0.1341417627473629
optimized,19,2023-05-31,2023-05-31,2023-06-30,-0.009322011034389122,2,1,1.0,2,0.11894781729317971
optimized,20,2024-08-31,2024-08-31,2024-09-30,-0.006547100384680871,2,1,1.0,2,0.08201335134243859
optimized,21,2023-07-31,2023-07-31,2023-08-31,-0.004687542336897943,2,1,1.0,2,0.0580025671110318
optimized,22,2025-12-31,2025-12-31,2026-01-31,-0.003557198673206363,2,1,1.0,2,0.04368997503524885
optimized,23,2017-01-31,2017-01-31,2017-02-28,-6.747030936526954e-05,2,1,1.0,2,0.0008099988991383533
provided,1,2020-02-29,2020-03-31,2020-05-31,-0.1486143183147821,4,2,2.0,4,1.625680915111158
provided,2,2018-10-31,2018-12-31,2019-03-31,-0.10850523825083658,6,3,3.0,6,0.5831600319350474
provided,3,2020-09-30,2020-10-31,2020-12-31,-0.106403019521364,4,2,2.0,4,0.9640378108602587
provided,4,2026-07-31,2026-07-31,,-0.09203618504634148,2,1,,2,
provided,5,2022-04-30,2022-06-30,2022-10-31,-0.06849452595121797,7,3,4.0,7,0.23721098051763811
provided,6,2018-02-28,2018-03-31,2018-06-30,-0.05658860152855538,5,2,3.0,5,0.26239574872971194
provided,7,2022-12-31,2022-12-31,2023-03-31,-0.052645531240094856,4,1,3.0,4,0.2415092730827051
provided,8,2025-04-30,2025-04-30,2025-06-30,-0.045627687617958324,3,1,2.0,3,0.3234057331125766
provided,9,2019-05-31,2019-05-31,2019-06-30,-0.03601652948163514,2,1,1.0,2,0.5529767536878656
provided,10,2023-05-31,2023-05-31,2023-06-30,-0.03599891390204346,2,1,1.0,2,0.5526362498847215
provided,11,2023-09-30,2023-10-31,2023-12-31,-0.027408336597855798,4,2,2.0,4,0.18145380116333976
provided,12,2017-01-31,2017-03-31,2017-06-30,-0.02236892540051405,6,3,3.0,6,0.09471233150645264
