portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
Current Portfolio,1,2026-07-31,2026-07-31,,2,1,,2,-10.45851526207695,
Current Portfolio,2,2022-04-30,2022-06-30,2023-03-31,12,3,9.0,12,-8.28914467780022,12.229150317648841
Current Portfolio,3,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-3.5173758387619602,23.966790620124613
Current Portfolio,4,2023-09-30,2023-10-31,2023-11-30,3,2,1.0,3,-1.9099591111497172,26.03785782198791
Current Portfolio,5,2025-04-30,2025-04-30,2025-06-30,3,1,2.0,3,-1.8806332976221363,12.06540920702912
Current Portfolio,6,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-1.6247257829167694,21.721845582067534
Current Portfolio,7,2024-07-31,2024-08-31,2024-09-30,3,2,1.0,3,-1.4864079485617632,19.686768727416304
Current Portfolio,8,2023-05-31,2023-05-31,2023-06-30,2,1,1.0,2,-0.9471622472895791,12.097760103641209
Current Portfolio,9,2025-12-31,2025-12-31,2026-01-31,2,1,1.0,2,-0.8328304010961629,10.556679174879546
KAW Native Proxy,1,2022-01-31,2022-12-31,2024-02-29,26,12,14.0,26,-13.834181894654607,13.612764973577729
KAW Native Proxy,2,2026-06-30,2026-07-31,,3,2,,3,-8.93930100334962,
KAW Native Proxy,3,2026-03-31,2026-03-31,2026-05-31,3,1,2.0,3,-5.300697923396392,38.649826393253186
KAW Native Proxy,4,2025-04-30,2025-05-31,2025-07-31,4,2,2.0,4,-1.3913600711661478,8.770265167930624
KAW Native Proxy,5,2024-08-31,2024-08-31,2024-09-30,2,1,1.0,2,-0.8826679250582448,11.225599615350479
QQQ 100%,1,2022-01-31,2022-12-31,2023-06-30,18,12,6.0,18,-27.8234388925815,91.95862391901474
QQQ 100%,2,2026-07-31,2026-07-31,,2,1,,2,-14.296595749996888,
QQQ 100%,3,2025-01-31,2025-04-30,2025-07-31,7,4,3.0,7,-10.723151430753664,57.4144492042427
QQQ 100%,4,2023-09-30,2023-10-31,2023-11-30,3,2,1.0,3,-5.396165163035949,94.57861397264398
QQQ 100%,5,2024-07-31,2024-08-31,2024-10-31,4,2,2.0,4,-4.468133706460586,31.555929442262133
QQQ 100%,6,2025-12-31,2026-03-31,2026-04-30,5,4,1.0,5,-3.874885612900647,60.67842448552743
QQQ 100%,7,2024-04-30,2024-04-30,2024-05-31,2,1,1.0,2,-1.8474665877850183,25.078261516902845
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,6,10.0,16,-13.40306703767431,18.849398240850167
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,3,3.0,6,-8.727139198411615,44.0898363029367
benchmark,3,2026-07-31,2026-07-31,,2,1,,2,-8.234183406494822,
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,2,2.0,4,-5.16301878719112,37.44649576504349
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,4,1.0,5,-1.5483721436609477,20.59385630134065
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,1,1.0,2,-1.4966215822457163,19.835774888681733
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,1,1.0,2,-0.862244003544621,10.95094050020069
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,2,1.0,3,-0.46211123581548774,5.715556547418599
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,1,1.0,2,-0.2500989304618506,3.050550565045884
