metric,unit,Current Portfolio,KAW Native Proxy,QQQ 100%,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,25871.01214693216,15575.283568443929,22584.10184024141,21127.965610355954
CAGR,pct,21.73337788294363,9.6009546643133,18.358808403619253,16.737915469204733
Annualized Return,pct,20.493224125561802,9.667326318977329,18.965914365875268,16.581394949821973
Standard Deviation,pct,11.592705177398864,9.704670438022331,20.06000673415896,14.302206735307024
Best Year,pct,40.185837293037665,21.437253943508683,57.92847246746433,43.41167375810251
Worst Year,pct,-5.086948707898021,-13.834181894654607,-27.823438892581464,-13.336267609924802
Maximum Drawdown,pct,-10.45851526207695,-13.834181894654607,-27.8234388925815,-13.40306703767431
Sharpe Ratio (ex-post),ratio,1.436570766882716,0.6005194712767875,0.7540591490179661,0.890905328598423
Sortino Ratio,ratio,2.409251912033349,0.8976131342705181,1.1844610045876145,1.4704371693953773
