series,QQQ,SPMO,AIA,XLE,SCHD,GLD,138920,EWY,192090,200250,EWJ,TLT
QQQ,1.0,0.8236306375541751,0.48002810970732185,0.24735117004359544,0.5643643286607064,0.007366910914717901,-0.14194176465302474,0.5061574914038671,0.2903874273865986,0.408071459597195,0.6579731671338038,0.19948319384765412
SPMO,0.8236306375541751,1.0,0.3874171496651901,0.32524753633372305,0.6155159537464127,0.01438909231357,-0.12145509987666706,0.48541337872140305,0.22472121518114221,0.4002527595326703,0.6318194881661083,0.2146152786846321
AIA,0.48002810970732185,0.3874171496651901,1.0,0.1784947362555049,0.31096920266623296,0.14407705874463206,0.0998174138900157,0.7506563681437098,0.5954304003010682,0.2682779184202038,0.49324054910420917,0.06545297547179968
XLE,0.24735117004359544,0.32524753633372305,0.1784947362555049,1.0,0.7170357764531093,-0.03130233630205849,0.14312538355446325,0.23011718612434043,0.08446393700798396,0.3588721783916321,0.40511513535165233,-0.18938136334990352
SCHD,0.5643643286607064,0.6155159537464127,0.31096920266623296,0.7170357764531093,1.0,0.08537779573257524,0.028676340821760387,0.3692099445230487,0.21435396336479473,0.4244062228712309,0.6321337891103787,0.06476473900947413
GLD,0.007366910914717901,0.01438909231357,0.14407705874463206,-0.03130233630205849,0.08537779573257524,1.0,-0.024839458998929698,0.14822505669175645,0.06567614721952543,-0.0051172412225428295,0.06611508080457566,0.39926835809977007
138920,-0.14194176465302474,-0.12145509987666706,0.0998174138900157,0.14312538355446325,0.028676340821760387,-0.024839458998929698,1.0,0.13294397880860476,0.08763086029010099,-0.015834666938916695,0.027404058635201428,-0.24586031794777147
EWY,0.5061574914038671,0.48541337872140305,0.7506563681437098,0.23011718612434043,0.3692099445230487,0.14822505669175645,0.13294397880860476,1.0,0.25071913923709466,0.3107367642197007,0.5838352921135636,0.0630793718783525
192090,0.2903874273865986,0.22472121518114221,0.5954304003010682,0.08446393700798396,0.21435396336479473,0.06567614721952543,0.08763086029010099,0.25071913923709466,1.0,0.1809161168993243,0.29005973877486896,0.001210106884817213
200250,0.408071459597195,0.4002527595326703,0.2682779184202038,0.3588721783916321,0.4244062228712309,-0.0051172412225428295,-0.015834666938916695,0.3107367642197007,0.1809161168993243,1.0,0.4655535813447155,-0.01359339729071986
EWJ,0.6579731671338038,0.6318194881661083,0.49324054910420917,0.40511513535165233,0.6321337891103787,0.06611508080457566,0.027404058635201428,0.5838352921135636,0.29005973877486896,0.4655535813447155,1.0,0.13750855596071068
TLT,0.19948319384765412,0.2146152786846321,0.06545297547179968,-0.18938136334990352,0.06476473900947413,0.39926835809977007,-0.24586031794777147,0.0630793718783525,0.001210106884817213,-0.01359339729071986,0.13750855596071068,1.0
